latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.7967,-1.55331,H W JOINERY PROJECTS LTD,www.hwjoineryprojects.co.uk,LS1 2AY,Total Exemption Small,"Other builders  carpentry, joinery"
53.89651,-1.53317,TIMBER WINDOWS NORTH LIMITED,www.yorkshiretimberwindows.com,LS17 9LF,Total Exemption Small,"Other builders  carpentry, joinery"
53.763,-0.38589,WINDOW OPTIONS (YORKSHIRE) LIMITED,,HU5 4JY,Total Exemption Small,Builders' ware of plastic
53.7744,-0.32833,VISTA FRAMES (HULL) LIMITED,www.vistaframes.co.uk,HU7 0XD,Total Exemption Small,Builders' ware of plastic
54.00109,-1.013139,YO1 UPVC SOLUTIONS LIMITED,,YO32 9TN,Total Exemption Small,Builders' ware of plastic
53.71113,-1.05341,ADVANCED DOOR SOLUTIONS LIMITED,www.composite-doorcentre.co.uk,DN14 9PZ,Total Exemption Small,"Other builders  carpentry, joinery"
53.5573,-1.08181,DONCASTER TRADE WINDOWS LIMITED,www.doncaster-trade-windows.co.uk,DN3 1QR,Total Exemption Small,Builders' ware of plastic
54.50953,-1.35505,TRULY HOMES LTD,,TS15 9BG,,"Other builders  carpentry, joinery"
53.69134,-1.62515,EASTFIELD ENTERPRISES LIMITED,www.eastfieldltd.co.uk,WF12 8AT,Total Exemption Small,"Other builders  carpentry, joinery"
53.679401,-1.500734,KERBHOLZ LTD.,,WF1 5PF,Micro-entity accounts,"Other builders  carpentry, joinery"
54.09999,-2.27464,THE WONDER OF WOOD LIMITED,,BD24 9PB,Total Exemption Small,"Other builders  carpentry, joinery"
53.73806,-1.86808,NORTHWOOD JOINERY LIMITED,,HX3 6TS,Total Exemption Small,"Other builders  carpentry, joinery"
54.24567,-0.77749,RMH JOINERY LTD,,YO18 7AE,Total Exemption Small,"Other builders  carpentry, joinery"
53.87647,-1.71631,PRO-FIT NORTHERN LTD,www.profitnorthern.com,LS20 8BX,Total Exemption Small,Builders' ware of plastic
54.55872,-1.29893,REBMIT TIMBER LTD,www.rebmittimber.com,TS17 7AQ,Total Exemption Small,"Veneer sheets, wood-based panels"
54.01351,-1.06974,YORKSHIRE BEAVER LTD,,YO32 3NU,Not Available,"Other builders  carpentry, joinery"
53.57194,-1.65755,SMITHSON & LITTLEWOOD LIMITED,www.smithsonandlittlewood.co.uk,HD8 8TH,Total Exemption Small,"Other builders  carpentry, joinery"
53.72418,-1.86435,E BULMER & SONS LIMITED,,HX1 5SP,Total Exemption Small,"Other builders  carpentry, joinery"
53.83958,-0.41231,COTTINGHAM JOINERY COMPANY LIMITED,www.cottjoinery.co.uk,HU17 0PR,Total Exemption Small,"Other builders  carpentry, joinery"
54.28325,-0.40671,EAST YORKSHIRE ALUMINIUM & GLASS LIMITED,www.eygwindows.co.uk,YO12 7ST,Full accounts,Builders' ware of plastic
53.76917,-1.83335,WILTON & SON JOINERY LTD,,BD13 1DF,Not Available,"Other builders  carpentry, joinery"
54.60162,-1.57622,CVS JOINERY LIMITED,,DL5 6SN,Not Available,"Other builders  carpentry, joinery"
54.27321,-0.41711,FLIXTON SAWMILLS LIMITED,,YO12 4DX,Total Exemption Small,"Veneer sheets, wood-based panels"
53.97548,-1.56692,SJM JOINERY UK LIMITED,www.sjmjoinery.co.uk,HG3 1GY,Total Exemption Small,"Other builders  carpentry, joinery"
53.9359,-0.77487,GWJB LIMITED,,YO42 2JD,Micro-entity accounts,"Other builders  carpentry, joinery"
53.91694,-1.3204,LONGWOOD JOINERY LIMITED,www.longwood-joinery.co.uk,LS23 7BJ,Total Exemption Small,"Other builders  carpentry, joinery"
53.52589,-0.82191,CLARMAN JOINERY (LINCOLN) LTD,,DN9 1EP,Micro-entity accounts,"Other builders  carpentry, joinery"
54.00604,-0.43796,WALLACE & LUND LIMITED,,YO25 6LJ,Micro-entity accounts,"Other builders  carpentry, joinery"
54.52264,-1.56137,SANSOM JOINERY LTD,,DL3 7EH,Total Exemption Small,"Other builders  carpentry, joinery"
54.15952,-0.69671,RYEDALE JOINERY LTD,,YO17 8JW,Not Available,"Other builders  carpentry, joinery"
53.96889,-1.07808,FORM AND FUNCTION ENTERTAINMENT SERVICES LTD,,YO31 8NP,Total Exemption Small,"Other builders  carpentry, joinery"
54.05929,-1.09434,PETER THOMPSON JOINERY LIMITED,www.peterthompsonjoinery.co.uk,YO61 1ET,Total Exemption Small,"Other builders  carpentry, joinery"
53.74803,-1.92029,OVERGREEN JOINERY LTD,,HX2 0UA,Total Exemption Small,"Other builders  carpentry, joinery"
53.50296,-1.12783,A RATED WINDOWS LTD,www.aratedwindowsltd.co.uk,DN4 8DE,Total Exemption Small,Builders' ware of plastic
53.82286,-1.58528,SKILLBECK LIMITED,,LS6 3PH,Not Available,"Other builders  carpentry, joinery"
53.90705,-0.30417,TURNER TIMBER ENGINEERING LIMITED,,YO25 8RT,Total Exemption Small,"Other builders  carpentry, joinery"
53.68522,-1.83143,TBT JOINERY LIMITED,www.tbtjoinery.co.uk,HX5 9AU,Total Exemption Small,"Other builders  carpentry, joinery"
53.59016,-1.69952,LEODS CONTRACTS LIMITED,www.leodscontracts.co.uk,HD8 8BJ,Small company,"Other builders  carpentry, joinery"
53.79971,-1.71194,KRONOSPAN LIMITED,www.kronospan.co.uk,BD3 8JT,Full accounts,"Veneer sheets, wood-based panels"
54.52576,-1.60123,CFG FINISHES LTD,www.cfgfinishes.com,DL3 8UN,Total Exemption Small,"Other builders  carpentry, joinery"
53.98591,-2.101,CARR'S WINDOWS LIMITED,www.carrswindows.co.uk,BD23 3SE,Total Exemption Small,"Other builders  carpentry, joinery"
53.48201,-1.0857,ACORN TIMBER SOLUTIONS LTD,,DN11 0PS,Micro-entity accounts,"Other builders  carpentry, joinery"
53.74815,-1.61379,GRALYN JOINERY LTD,www.gralynjoinery.co.uk,LS27 9LR,Total Exemption Small,"Other builders  carpentry, joinery"
53.68777,-1.84368,T.SEVERN (FIBRE GLASS PRODUCTS) LIMITED,,HX5 0SH,Total Exemption Small,Builders' ware of plastic
53.72256,-0.52707,MCINTYRE JOINERY LTD,,HU14 3RS,Not Available,"Other builders  carpentry, joinery"
53.57103,-0.54578,TIMBAR DESIGNS LIMITED,,DN20 0HD,Total Exemption Small,"Other builders  carpentry, joinery"
54.01751,-1.48714,JOINERYWORKSHOP.COM (BRISTOL) LIMITED,,HG5 9DA,Total Exemption Small,"Other builders  carpentry, joinery"
53.72664,-0.5706,CONCEPT FITTING SERVICES LIMITED,,HU15 1BD,Total Exemption Small,"Other builders  carpentry, joinery"
