latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.68821,-1.60817,FILLTEX LIMITED,www.filtex.co.uk,WF12 8HX,Total Exemption Small,Other textiles nec
53.72824,-1.86398,A.W. (EUROPE) LIMITED,www.carpetyourlife.com,HX3 5AX,Full accounts,Carpets and rugs
54.52355,-1.59212,MONBELLO BLINDS & INTERIORS LIMITED,,DL3 8AZ,Not Available,Made-up textile exc apparel
54.09897,-1.19565,CROMARTY LIMITED,,YO61 3EQ,Total Exemption Small,Other products
53.97548,-1.56692,AUGUSTUS HARE LIMITED,www.augustushare.com,HG3 1GY,Total Exemption Small,Finishing of textiles
54.24267,-1.0535,LAND ENERGY GIRVAN LIMITED,www.land-energy.com,YO62 5DQ,Group,Other products
53.51955,-1.16625,PRISTINE TRADING COMPANY LIMITED,,DN5 7AA,Micro-entity accounts,Other products
53.79822,-0.99066,JUST PAPER TUBES LTD,www.jptcores.com,YO8 6EF,Total Exemption Small,"Corrugated paper, containers"
53.66385,-1.68095,CAMIRA YARNS LIMITED,www.storkbrothers.co.uk,WF14 8HE,Full accounts,"Textile fibres preparation, spinning"
53.72976,-1.84904,THE LOOSE COVER COMPANY LIMITED,www.loosecovercompany.com,HX3 6AS,Total Exemption Small,Made-up textile exc apparel
53.63036,-1.84795,HUDDERSFIELD PALLETS LIMITED,www.huddersfieldpallets.co.uk,HD7 5QX,Total Exemption Small,Wooden containers
53.86951,-1.706,W.MACHELL JOINERY LIMITED,www.machells.co.uk,LS20 9LT,Total Exemption Small,Other products
53.84992,-1.83498,I.M.T. (U.K.) LIMITED,www.laycockinternational.com,BD16 4JH,Total Exemption Small,"Textile fibres preparation, spinning"
53.58995,-1.30994,PERRY SCENIC CREATIVE LIMITED,www.perryscenic.co.uk,WF9 3AP,Full accounts,Other textiles nec
53.53078,-0.65359,EMPIRE TAPES PLC,www.empiretapes.com,DN17 3RY,Full accounts,Other textiles nec
53.64006,-1.80205,BARGAIN BOX (UK) LIMITED,www.bargainbox.co.uk,HD4 5AA,Total Exemption Small,Wooden containers
53.97548,-1.56692,HARRISON GARDNER DYERS & WINDERS LIMITED,,HG3 1GY,Total Exemption Small,Finishing of textiles
