latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity (if known)
53.67585,-1.67996,ATOMIC SUPPLIES LTD,,WF14 9NS,Total Exemption Small,
53.78267,-1.06708,HEY RENEWABLES LIMITED,,YO8 4PW,Total Exemption Small,
53.47509,-0.58911,S1000 LTD,,DN21 4NS,Micro-entity accounts,
53.74828,-0.33476,NUNKEELING RENEWABLES LIMITED,,HU2 8BA,Total Exemption Small,
53.83464,-1.64285,TETRAGEN (KNAPTON) (UK) LTD,,LS18 4RA,Total Exemption Small,
54.25568,-1.02135,RYEPOWER LTD,,YO62 7TD,Total Exemption Small,
54.00413,-0.43998,S & S ASSOCIATES LIMITED,,YO25 6RA,Total Exemption Small,
53.937756,-1.072797,MAXWELL RENEWABLES LIMITED,,YO10 4HW,Not Available,
54.28346,-0.43189,BROADLAND RENEWABLE ENERGY LIMITED,www.countrycottageholiday.com,YO12 6TB,Full accounts,
53.67664,-1.17396,BREEZE POWER LTD,,DN6 9BW,Total Exemption Small,
54.28346,-0.43189,BROADLAND ENERGY (DONICH) LIMITED,www.countrycottageholiday.com,YO12 6TB,Full accounts,
53.73781,-0.33792,DARKSTAR ENERGY LIMITED,www.thespencergroup.co.uk,HU1 2BN,Full accounts,
53.73058,-0.99467,DRAX POWER LIMITED,www.drax.com,YO8 8PH,Full accounts,biomass and coal
53.58648,-0.36446,LAYNES GREEN ENERGY LIMITED,www.singletonbirch.co.uk,DN38 6AE,Small company,
53.72323,-1.8628,JET RENEWABLES LIMITED,,HX1 1HU,Total Exemption Small,
54.12971,-0.48608,SYCHPANT POWER LIMITED,,YO17 8HF,Total Exemption Small,
54.28346,-0.43189,BROADLAND RENEWABLE CONSTRUCTION LIMITED,www.countrycottageholiday.com,YO12 6TB,Full accounts,
53.73781,-0.33792,ENERGY WORKS (HULL) LIMITED,http://energyworkshull.co.uk/,HU1 2BN,Small company,AD
53.83988,-0.40088,P & R ENERGY LIMITED,,HU17 0LF,Total Exemption Small,
54.20507,-0.7576,FW & JM DOUGLAS LTD,www.farming.me.uk,YO17 6UJ,Total Exemption Small,biomass
54.46305,-1.17692,JFS HOWLA HAY BIOGAS LTD,,TS9 5JZ,Small company,AD
54.08486,-0.20088,ELTERWATER ENERGY LIMITED,,YO16 4LZ,Total Exemption Small,
53.74497,-0.32237,GET GREEN LIMITED,,HU9 1LP,Total Exemption Small,
53.96379,-1.3121,VERDENERGY LIMITED,,YO26 7RD,Total Exemption Small,biomass
53.81462,-0.99077,HEADLEY GREEN LIMITED,,YO8 6EG,Total Exemption Small,
54.00829,-1.7688,THRUSCROSS ENERGY LTD.,,HG3 4BB,Total Exemption Small,
