latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.7623,-1.41385,TISSUE REGENIX GROUP PLC,www.tissueregenix.com,LS26 8XT,Group,"other natural sciences, engineering"
53.94908,-1.04736,THE NATIONAL NON-FOOD CROPS CENTRE LIMITED,www.nnfcc.co.uk,YO10 5DG,Total Exemption Full,"other natural sciences, engineering"
54.61964,-1.2857,RENIUM LIMITED,,TS23 3UL,Total Exemption Small,"other natural sciences, engineering"
53.63391,-1.79431,DESIGNER PAWS LIMITED,,HD1 3TG,Not Available,Veterinary activities
54.12925,-1.50725,BIO-GENESYS LIMITED,www.bio-genesys.com,HG4 1AJ,Total Exemption Small,Veterinary activities
54.13296,-1.54592,RAFT SOLUTIONS LIMITED,www.raftsolutions.co.uk,HG4 2QR,Total Exemption Small,Veterinary activities
53.80796,-1.55333,INTERNATIONALSOCIETY FOR NEUROCHEMISTRY LIMITED(THE),,LS2 9JT,Micro-entity accounts,"other natural sciences, engineering"
53.94822,-1.07439,YORKVETS LIMITED,,YO10 4DA,Total Exemption Small,Veterinary activities
53.92864,-0.77338,AEDSTEM LIMITED,,YO42 2QE,Total Exemption Small,Biotechnology
54.5476,-1.58229,DARLINGTON VET CLINIC LIMITED,,DL3 0GA,Total Exemption Small,Veterinary activities
53.8466,-1.63247,MORRIS & PLUMLEY (NORTHUMBERLAND) LIMITED,,LS18 5NT,Not Available,Veterinary activities
53.71445,-1.92834,INFUSION CONCEPTS LIMITED,www.infusionconcepts.com,HX2 6BW,Total Exemption Small,Veterinary activities
53.67053,-1.48941,CVS (UK) LIMITED,www.cvsukltd.co.uk,WF1 5PN,Full accounts,Veterinary activities
53.68563,-1.87583,BINNS & SONS (GREETLAND) LIMITED,,HX4 8NF,Total Exemption Small,"other natural sciences, engineering"
53.95726,-1.10856,HADRIAN VETS LIMITED,www.hadrianvets.co.uk,YO26 4GB,Total Exemption Small,Veterinary activities
53.68692,-1.3126,GREENWOOD & BROWN VETERINARY CLINICS LIMITED,www.pontefractvet.co.uk,WF8 4HT,Total Exemption Small,Veterinary activities
53.80744,-1.56055,ULTRAMATIS LIMITED,,LS2 9DF,Total Exemption Small,"other natural sciences, engineering"
53.76428,-0.29284,HAVEN VETS LIMITED,www.lidl.co.uk,HU9 3JA,Total Exemption Small,Veterinary activities
53.94968,-1.04766,THE CONCUSSION NETWORK LTD,,YO10 5NY,Full accounts,"other natural sciences, engineering"
53.81131,-1.67956,DESIGN 2 SUSTAIN LIMITED,,LS28 5HL,Total Exemption Full,"other natural sciences, engineering"
54.55498,-1.2639,CAMBRIDGE CONSULTANTS LIMITED,www.cambridgeconsultants.com,TS5 4JX,Full accounts,"other natural sciences, engineering"
53.84945,-1.18514,SOPHIA RUTH LIMITED,,LS24 9DZ,Not Available,Veterinary activities
53.99296,-1.55097,ANIPOC LIMITED,,HG1 2PW,Not Available,Veterinary activities
54.47115,-0.8043,MENZA COMMUNICATIONS LIMITED,,YO21 2AB,Total Exemption Small,"other natural sciences, engineering"
53.50817,-1.12163,VETRES SERVICES LIMITED,,DN4 5NU,Not Available,Veterinary activities
53.78721,-1.39139,RGL INNOVATIONS LIMITED,www.wheelchair-liberator.com,LS25 1LJ,Total Exemption Small,"other natural sciences, engineering"
54.52355,-1.59212,LYKKE RESEARCH LIMITED,,DL3 8AZ,Total Exemption Small,"other natural sciences, engineering"
54.137431,-1.522427,VETSCORE LIMITED,,HG4 1XW,Total Exemption Small,Veterinary activities
53.70846,-1.90597,INFUSION CONCEPTS LIMITED,www.infusionconcepts.com,HX6 3LD,Total Exemption Small,Veterinary activities
54.245,-1.06669,HELMSLEY WALLED GARDEN LIMITED,,YO62 5AH,Total Exemption Small,Plant propagation
53.79124,-1.76623,ARTERIUS LIMITED,www.arterius.co.uk,BD7 1DP,Total Exemption Small,"other natural sciences, engineering"
53.95986,-1.54311,POWDER RESEARCH LTD.,www.powderresearch.co.uk,HG3 1LU,Total Exemption Small,"other natural sciences, engineering"
53.98127,-1.14998,GENOMEX LTD,,YO26 6JA,Not Available,Biotechnology
53.80744,-1.56055,CERYX MEDICAL LIMITED,,LS2 9DF,Not Available,Biotechnology
53.95692,-2.02659,APPLIED PHOTONICS LTD,www.appliedphotonics.co.uk,BD23 2DE,Total Exemption Full,"other natural sciences, engineering"
53.80589,-1.62423,HIGH WYCOMBE VETS4PETS LIMITED,,LS13 4BN,Full accounts,Veterinary activities
53.6446,-1.76235,GS EQUINE LTD,,HD5 8AA,Total Exemption Small,Veterinary activities
53.71076,-1.89994,PROSPECT VETERINARY CENTRE LIMITED,www.donaldsonsvets.co.uk,HX6 2AP,Total Exemption Small,Veterinary activities
53.95726,-1.10856,PRINCE BISHOP VETERINARY CENTRE LIMITED,www.princebishopvets.co.uk,YO26 4GB,Total Exemption Small,Veterinary activities
53.86769,-1.91144,AIREDALE ANIMALS LIMITED,www.keighleywilsdenvets.co.uk,BD21 2AU,Total Exemption Small,Veterinary activities
54.1263,-0.97828,CHIMERADNA LTD,,YO60 6PW,Not Available,Biotechnology
53.96478,-1.10823,R & S DOWDING LIMITED,,YO26 4YN,Total Exemption Small,Veterinary activities
53.50023,-1.08801,TWO COUNTIES VETS LIMITED,www.twocountiesvets.co.uk,DN4 7JA,Total Exemption Small,Veterinary activities
54.14621,-0.7797,EQUINE REPRODUCTIVE SERVICES (UK) LIMITED,,YO17 7HE,Total Exemption Small,Veterinary activities
54.27321,-0.41711,FILEY VETERINARY PRACTICE LIMITED,www.fileyvets.com,YO12 4DX,Total Exemption Small,Veterinary activities
53.96107,-1.00689,HOLMEFIELD FARM SERVICES LIMITED,www.yorkvetsupplies.co.uk,YO19 5UF,Total Exemption Small,Veterinary activities
53.93646,-0.77335,MGJG LTD.,,YO42 2TH,Total Exemption Small,"other natural sciences, engineering"
54.57651,-1.10056,BIOSOURCE WALES LIMITED,www.businessprofessionalinsurance.co.uk,TS10 4RF,Full accounts,"other natural sciences, engineering"
53.95726,-1.10856,WILSON VETERINARY LIMITED,www.wilsonvetgroup.co.uk,YO26 4GB,Total Exemption Small,Veterinary activities
53.98657,-1.50504,DE POLYMERS LTD,,HG2 8QG,Total Exemption Small,"other natural sciences, engineering"
53.9792,-1.98568,CATS ONLY LIMITED,,BD23 6RR,Total Exemption Small,Veterinary activities
