latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.77971,-1.74484,KEMIRA CHEMICALS (UK) LIMITED,www.kemira.com,BD4 7TT,Full accounts,Other chemical products nec
53.81351,-1.54338,SECURIMAX LIMITED,,LS7 2AH,Total Exemption Small,Refined petroleum products
54.54964,-1.18889,B MATTHEWS 1955 LIMITED,,TS3 0LZ,Total Exemption Small,Refined petroleum products
54.587,-1.2759,MC IONIC SOLUTIONS UK LIMITED,www.luciteinternational.com,TS23 1LE,Full accounts,Other chemical products nec
53.81221,-1.76113,ECLIPSE COLOURS LIMITED,www.eclipsecolours.com,BD2 1QN,Total Exemption Small,Other chemical products nec
53.70059,-1.40229,SNF OIL AND GAS LTD,www.snf.co.uk,WF6 1TB,Full accounts,Other organic basic chemicals
54.63579,-1.32896,HUNTSMAN POLYURETHANES (UK) LIMITED,www.huntsman.com,TS22 5FD,Full accounts,Other chemical products nec
53.73268,-0.88425,JABLITE LIMITED,www.jablite.eu,DN14 7EA,Full accounts,Other inorganic basic chemicals
53.71224,-1.64808,MK BIO FUELS LTD,,WF17 7SH,Total Exemption Small,Refined petroleum products
53.61164,-1.81363,PERPOL LIMITED,www.liquidgoldaromas.co.uk,HD4 7DR,Total Exemption Small,Other chemical products nec
53.62412,-1.86531,E-LAB DIRECT LIMITED,,HD7 5QE,Full accounts,"Pesticides, other agrochemical"
53.5649,-0.08586,SHIELD TECHNOLOGY LIMITED,www.shieldtechnology.co.uk,DN31 1LW,Total Exemption Small,Other chemical products nec
53.92578,-0.80298,EXPLOSIVE DEVELOPMENTS LIMITED,,YO42 1NP,Total Exemption Small,Explosives
53.57525,-0.11793,BOC LIMITED,www.boc.com,DN31 2TG,Full accounts,Industrial gases
53.92559,-1.81817,LUBCON LUBRICANTS UK LIMITED,www.lubcon.com,LS29 8HS,Total Exemption Small,Other chemical products nec
54.57603,-1.22093,CHEMOXY INTERNATIONAL LIMITED,www.chemoxy.com,TS3 6AF,Full accounts,Other chemical products nec
53.68509,-1.5653,KILLGERM CHEMICALS LIMITED,www.killgerm-manufacturing.com,WF5 9AJ,Full accounts,Other chemical products nec
53.82067,-1.72382,FANTAS-TAK LIMITED,www.fantastak.co.uk,BD2 2EE,Total Exemption Small,Glues
54.59966,-1.27434,INTERNATIONAL PROCESSPLANTS (EUROPE) LIMITED,www.ippe.com,TS23 1LG,Small company,Other chemical products nec
53.8763,-1.84696,IMPRESSIONS ENGRAVING AND CHEMICAL ETCHING LTD,www.impressionsengraving.co.uk,BD20 5UU,Total Exemption Small,Other chemical products nec
53.85606,-1.82404,KINNACTIA LTD,,BD16 3DG,Total Exemption Small,Other chemical products nec
53.73095,-0.37526,EAST YORKSHIRE BIOFUELS LIMITED,www.eybiofuels.co.uk,HU3 4UU,Total Exemption Small,Refined petroleum products
53.90413,-1.98464,AIREDALE CHEMICAL COMPANY LIMITED,www.airedalechemical.com,BD20 7BX,Full accounts,Other inorganic basic chemicals
53.62412,-1.86531,WHYTE AGROCHEMICALS LIMITED,,HD7 5QE,Full accounts,Other inorganic basic chemicals
53.98735,-2.31004,J & R GASES LIMITED,www.jrgases.co.uk,BD23 4SN,Total Exemption Small,Industrial gases
