latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
54.23141,-1.3311,MONARCH EXTRACTION (UK) LTD,,YO7 3TD,Not Available,Essential oils
54.68649,-1.20512,A.F. ATKINSON (PRINTER) LIMITED,www.atkinsonprint.co.uk,TS24 7DJ,Total Exemption Small,Paper stationery
53.69439,-1.76344,JOHN DRURY & CO. LIMITED,www.john-drury.co.uk,HD6 1NJ,Total Exemption Small,"Soap and detergents, cleaning"
53.9763,-1.55397,CATER-LYNE LIMITED,www.zenithhygiene.co.uk,HG2 9JL,Total Exemption Small,"Soap and detergents, cleaning"
54.52259,-1.50829,AVB LIQUIDS LTD,,DL1 4QZ,Not Available,Tobacco products
53.67798,-1.57794,DENYKEM LIMITED,www.denykem.com,WF5 8AY,Total Exemption Small,"Soap and detergents, cleaning"
54.32936,-1.42919,NORSKE SKOG (UK) LIMITED,www.norskeskog.com,DL7 8XN,Full accounts,"Paper, paperboard"
53.68003,-1.76237,STELLAR PUBLICATIONS LTD,,HD2 1GQ,Total Exemption Small,Paper stationery
53.85856,-1.5336,HAPPY DAYS GREETINGS LIMITED,www.happydaysgreetings.co.uk,LS17 7EA,Total Exemption Small,Paper stationery
53.7645,-0.70468,DIGIHUB (UK) LIMITED,,HU15 2RN,Total Exemption Small,Paper stationery
53.66803,-1.89686,SONOCO LIMITED,www.sonoco-trident.com,HX4 9PY,Full accounts,"Paper, paperboard"
53.76453,-1.54896,PROVENTUS (UK) LTD,www.proventusuk.com,LS11 5SS,Total Exemption Small,Essential oils
53.92198,-1.84349,CONSUMER PACKAGING MANUFACTURERS ALLIANCE LIMITED,www.mrbusiness-services.com,LS29 9NR,Total Exemption Small,"Paper, paperboard"
53.70385,-1.63028,OTTIMO SUPPLIES LIMITED,www.ottimo-supplies.com,WF17 6JH,Total Exemption Small,"Soap and detergents, cleaning"
53.67604,-1.49806,ALGOIL 99 LTD,,WF2 8EE,Total Exemption Small,Essential oils
53.74506,-0.33861,RBL LABORATORIES LTD,,HU1 3ES,Not Available,"Soap and detergents, cleaning"
53.70381,-1.39959,THE PROTON GROUP LIMITED,www.proton-group.co.uk,WF6 1QT,Total Exemption Small,"Soap and detergents, cleaning"
53.67965,-1.70063,S T PAPER LIMITED,www.stpaper.co.uk,WF14 9AW,Total Exemption Small,"Paper, paperboard"
53.79255,-1.70754,MIBELLE LTD,www.mibellegroup.com,BD4 8JP,Full accounts,"Perfumes, toilet preparations"
53.94139,-2.014819,PIONEER PRESS LIMITED,www.pioneerpress.co.uk,BD23 2TZ,Total Exemption Small,Paper stationery
53.69896,-1.4142,VAPARAMA LTD,,WF6 1NW,Not Available,Tobacco products
53.83612,-1.52072,LUSH LTD.,www.lush.co.uk,LS8 1HR,Full accounts,"Perfumes, toilet preparations"
53.86544,-1.69243,NICHOLAS JAMES (UK) LIMITED,www.nicholasjamesuk.co.uk,LS19 7LX,Total Exemption Small,"Perfumes, toilet preparations"
53.61374,-1.62893,LEMON SPRING LTD,,HD8 9RX,Not Available,"Soap and detergents, cleaning"
53.80405,-1.77269,STEPHENSON GROUP LTD,www.stephensongroup.co.uk,BD8 8DA,Medium Company,"Soap and detergents, cleaning"
53.78532,-1.5606,STANTONDOWN LIMITED,www.stantondown.com,LS11 9QY,Total Exemption Small,"Perfumes, toilet preparations"
53.66614,-1.77871,SOAP SCHOOL LTD,www.soapschool.com,HD2 1BL,Total Exemption Small,"Soap and detergents, cleaning"
53.54524,-0.16785,THEONESTOP.CO.UK LTD,,DN37 7AQ,Total Exemption Small,Paper stationery
53.60048,-1.60526,ADARE SEC LIMITED,www.adare.com,HD8 9QQ,Full accounts,Paper stationery
53.82209,-1.76954,CUMMINS AND PAPYRUS LIMITED,www.cumminspapyrus.co.uk,BD2 1AJ,Total Exemption Small,Paper stationery
53.79517,-1.22006,WICKHAM INDUSTRIES LIMITED,www.wickhamindustries.co.uk,LS25 6NS,Total Exemption Small,"Soap and detergents, cleaning"
53.77212,-0.334,ROBERT MCBRIDE LTD,www.mcbride.co.uk,HU7 0BU,Full accounts,"Soap and detergents, cleaning"
53.77237,-1.80788,T & P PRINT LIMITED,,BD6 3NB,Not Available,Paper stationery
54.68722,-1.2155,ORD OFFICE LIMITED,www.ords.co.uk,TS24 8AT,Total Exemption Small,Paper stationery
53.78643,-1.49866,IN LINE HEALTH AND BEAUTY LIMITED,www.inlinehealthandbeauty.com,LS9 0SL,Total Exemption Small,"Perfumes, toilet preparations"
53.86328,-0.4822,EAST RIDING CHEMICALS LIMITED,,HU17 7RA,Not Available,"Soap and detergents, cleaning"
54.51921,-1.36204,TOTAL LIQUID SOLUTIONS LTD,,TS16 0NX,Not Available,"Soap and detergents, cleaning"
53.53542,-0.04471,RMX-GLOBAL LIMITED,,DN36 4AS,Not Available,"Soap and detergents, cleaning"
53.77738,-0.34664,D3 OFFICE GROUP LIMITED,www.d3workwear.co.uk,HU7 0YF,Total Exemption Small,Paper stationery
53.80296,-1.75999,LIBRA SPECIALITY CHEMICALS LIMITED,www.librachem.co.uk,BD8 7JT,Full accounts,"Soap and detergents, cleaning"
53.9564,-2.03709,NORTHERN PAPER BOARD LIMITED,www.northernpaperboard.co.uk,BD23 1TX,Full accounts,"Paper, paperboard"
53.53456,-1.1256,G.P. SERVICES (U.K.) LIMITED,www.gpservicesuk.co.uk,DN1 2TF,Total Exemption Small,"Soap and detergents, cleaning"
53.72625,-1.86047,POT OF GOLD COSMETICS LIMITED,,HX1 1YH,Total Exemption Small,"Perfumes, toilet preparations"
53.78643,-1.49866,IN LINE HEALTH AND BEAUTY LIMITED,www.inlinehealthandbeauty.com,LS9 0SL,Total Exemption Small,"Perfumes, toilet preparations"
53.77002,-1.8785,VAPERS ENVY LTD,,HX2 9XB,Not Available,Tobacco products
53.97548,-1.56692,JANIE WILSON LIMITED,www.janiewilson.co.uk,HG3 1GY,Total Exemption Small,Paper stationery
53.83171,-1.4667,HAPPY DAYS GREETINGS LIMITED,www.happydaysgreetings.co.uk,LS14 1NF,Total Exemption Small,Paper stationery
53.77247,-1.7262,ROBERT MCBRIDE LTD,www.mcbride.co.uk,BD4 9NU,Full accounts,"Soap and detergents, cleaning"
53.76688,-1.57254,STAR BRANDS LIMITED,www.starbrandsltd.co.uk,LS11 8PR,Full accounts,"Soap and detergents, cleaning"
54.57837,-1.23199,UNILEVER UK LIMITED,www.unilever.com,TS1 1HG,Full accounts,"Soap and detergents, cleaning"
53.60907,-1.91147,CREATEYOURSELFDESIGNS LIMITED,,HD7 6LY,Total Exemption Small,Paper stationery
53.69656,-1.76351,BEEHIVE GREETING CARDS LTD,,HD6 1QF,Total Exemption Small,Paper stationery
53.95709,-1.07708,DOODLEDAH LTD,,YO1 9TX,Not Available,Paper stationery
53.80732,-1.63236,BRAMCHEM LTD.,www.bramchem.com,LS13 3BB,Total Exemption Small,"Soap and detergents, cleaning"
54.0003,-1.54166,FLAVORSHOT LIMITED,,HG1 2QS,Not Available,Tobacco products
53.68003,-1.76237,HEARTSTRINGS PUBLICATIONS LIMITED,www.heartstringspublications.com,HD2 1GQ,Total Exemption Small,Paper stationery
