latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.69978,-1.77065,TOTAL POLYFILM LIMITED,www.totalpolyfilm.com,HD6 1PT,Full accounts,Plastic packing goods
53.79154,-1.86801,JAMMPAC LTD,www.jammpac.co.uk,BD13 3NW,Total Exemption Small,Plastic packing goods
53.7623,-1.41385,J F PLASTICS LTD,www.jfplastics.co.uk,LS26 8XT,Total Exemption Small,"Plastic plates, sheets, tubes etc"
54.3596,-1.42925,RACE CASK VENTILATORS LIMITED,,DL6 2RP,Total Exemption Small,Other plastic
53.73328,-1.8951,CHOCOLATE MOULD DESIGNS UK LIMITED,www.chocolatemoulddesigns.co.uk,HX2 0TG,Total Exemption Small,Other plastic
54.5197,-1.29083,PROFLEX PACKAGING CO LTD,,TS17 9JY,Small company,Plastic packing goods
53.679401,-1.500734,KID KUNSTSTOFFINDUSTRIE-DIENSTLEISTUNG LTD.,,WF1 5PF,Total Exemption Small,Other plastic
54.23156,-0.74289,THE DERWENT HUNT LIMITED,,YO18 7SJ,Total Exemption Small,"Hunting, trapping, related activities"
53.55468,-0.83296,WATCHMAN PACKAGING (FLEXIBLES) LIMITED,,DN9 1PG,Total Exemption Small,Plastic packing goods
53.91637,-1.31299,GROUND-GUARDS LTD,,LS23 7AU,Total Exemption Small,Other plastic
53.5354,-1.04594,ROUNDBRAND LIMITED,www.bifoldaspect.co.uk,DN3 3EE,Full accounts,Other plastic
53.79624,-1.76384,PLASTIC DISPLAYS (BRADFORD) LIMITED,www.butterfieldsigns.co.uk,BD1 2RZ,Full accounts,Other plastic
53.75875,-0.80417,TRU GROUP LIMITED,www.trugroup.co.uk,DN14 7PL,Total Exemption Small,Other plastic
53.70057,-1.63162,CONSERVATORY SOLUTIONS LIMITED,www.conservatorysolutions.co.uk,WF13 2HE,Total Exemption Small,Other plastic
53.8702,-1.90677,BRYANT PLASTICS LTD,www.bryantplastics.co.uk,BD21 3BB,Total Exemption Small,Other plastic
54.13227,-1.45686,FABRICANT LIMITED,www.fabricant.co.uk,HG4 5AY,Total Exemption Small,Other plastic
53.66906,-1.68857,TECHNOPARTS ELECTRICAL LTD,www.technoparts.co.uk,WF14 8NA,Total Exemption Small,Other plastic
