latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.74856,-1.62206,EVO JOINERY LIMITED,,LS27 7JQ,Total Exemption Small,"Other builders  carpentry, joinery"
54.4618,-1.17569,GARY BIBBY TRADITIONAL JOINERY LTD,www.garybibbyjoinery.co.uk,TS9 5PT,Total Exemption Small,"Other builders  carpentry, joinery"
54.46182,-0.9146,S D TINDALL LIMITED,,YO21 2LB,Micro-entity accounts,Crop production support activities
54.49247,-1.23962,LOWFIELDS CONTRACTORS LTD,,TS9 5NB,Micro-entity accounts,Crop production support activities
53.62536,-0.78635,M & R EVERATT FARMING LTD,,DN17 4PY,Total Exemption Small,Crop production support activities
54.48953,-1.76548,LESLIE BROWN CONTRACTING SERVICES LTD,,DL11 7RJ,Total Exemption Small,Crop production support activities
53.70218,-1.39251,DOORS CUBICLES AND BOARDS (LEEDS) LIMITED,www.dcb.co.uk,WF6 1RL,Total Exemption Small,"Other builders  carpentry, joinery"
54.43001,-1.15421,R D ALDERSON LIMITED,,TS9 7HP,Micro-entity accounts,Crop production support activities
54.58586,-1.23818,ACT PRODUCTS LIMITED,,TS2 1DN,Total Exemption Small,"Other builders  carpentry, joinery"
53.43627,-1.015409,CARR GRANGE JOINERY LIMITED,www.carrgrange.co.uk,DN10 6QD,Total Exemption Small,"Other builders  carpentry, joinery"
53.58707,-0.65338,R H CHANTRY & SON LTD,,DN15 7PA,Total Exemption Small,Crop production support activities
53.68866,-0.59545,D. JACKLIN LIMITED,,DN15 9NR,Total Exemption Small,Crop production support activities
53.69134,-1.62515,EASTFIELD ENTERPRISES LIMITED,www.eastfieldltd.co.uk,WF12 8AT,Total Exemption Small,"Other builders  carpentry, joinery"
54.44731,-1.08808,DISTINCTIVE WOOD DESIGN LTD,,TS9 6LP,Total Exemption Small,"Other builders  carpentry, joinery"
53.57893,-0.92984,BRIER HILLS RECYCLING LIMITED,,DN7 6HA,Total Exemption Small,Crop production support activities
54.06272,-0.27652,MARK WARKUP LIMITED,,YO25 4NX,Total Exemption Small,Crop production support activities
53.69563,-0.39402,HELSTON TIMBER FRAME LIMITED,,DN19 7EU,Total Exemption Small,"Other builders  carpentry, joinery"
53.68635,-1.6259,CT WILLOW JOINERY LIMITED,www.willowstairsandjoinery.co.uk,WF12 9AQ,Total Exemption Small,"Other builders  carpentry, joinery"
53.75657,-1.66001,TINGLEY BOXES LIMITED,www.tingleyboxesltd.co.uk,BD11 1LH,Total Exemption Small,Other
53.73806,-1.86808,NORTHWOOD JOINERY LIMITED,,HX3 6TS,Total Exemption Small,"Other builders  carpentry, joinery"
54.03017,-0.35081,CLEVER PASTURE LTD,,YO25 4AS,Not Available,Crop production support activities
53.99006,-1.1009,HARDGRAVE JOINERY LIMITED,www.hardgravejoinery.co.uk,YO30 4WT,Micro-entity accounts,"Other builders  carpentry, joinery"
53.92563,-0.80105,YARA UK LIMITED,www.yara.co.uk,YO42 1DN,Full accounts,Fertilisers and nitrogen compounds
53.93368,-1.29227,PRECISION APPLICATION TECHNOLOGY LTD,,LS24 8BN,Total Exemption Small,Crop production support activities
54.0186,-0.93821,JOHN GOODRICK EQUESTRIAN DEVELOPMENTS LIMITED,www.johngoodrick-equestrian.co.uk,YO41 1LB,Total Exemption Small,"Other builders  carpentry, joinery"
53.62195,-1.88045,WHITE GHOST LIMITED,www.crownfast.com,HD7 5HE,Total Exemption Small,Other
53.78989,-1.6724,CALAMITY65JAYNE LIMITED,,LS28 8PS,Not Available,Other
53.58155,-1.18084,JAMIE PAGE CONTRACTS LTD,,DN6 8HQ,Total Exemption Small,"Other builders  carpentry, joinery"
53.56973,-0.056,PARKINSON JOINERY LIMITED,,DN35 7NP,Total Exemption Small,"Other builders  carpentry, joinery"
54.1386,-0.80936,PEARSON ENTERPRISES LIMITED,,YO17 7NQ,Total Exemption Small,Crop production support activities
53.70818,-0.75874,METHAM LIMITED,,DN14 7XY,Total Exemption Small,Crop production support activities
53.79474,-1.42981,QUARMBY PROMOTIONS LIMITED,www.thekatzgroup.com,LS15 8ZA,Small company,Other
53.68522,-1.83143,TBT JOINERY LIMITED,www.tbtjoinery.co.uk,HX5 9AU,Total Exemption Small,"Other builders  carpentry, joinery"
53.56909,-1.79021,RICHARD O'HARA JOINERY LIMITED,,HD9 2JT,Total Exemption Small,"Other builders  carpentry, joinery"
53.97405,-1.30239,SPRUCE & HAWE LIMITED,,YO26 7QJ,Total Exemption Small,Crop production support activities
53.75222,-1.7077,RM SIMPSON (AG) LIMITED,,BD4 6RL,Total Exemption Small,Crop production support activities
53.685335,-0.416387,KIMBERLY - CLARK LIMITED,www.kimberly-clark.com,DN18 5RX,Full accounts,Other
53.77589,-1.78501,HTR SHOPFITTING LTD,,BD7 3NT,Not Available,"Other builders  carpentry, joinery"
53.82286,-1.58528,SKILLBECK LIMITED,,LS6 3PH,Not Available,"Other builders  carpentry, joinery"
