latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
54.46137,-1.17888,PETCH WATERS LIMITED,www.petchwaters.co.uk,TS9 5QT,Total Exemption Small,Non-hazardous waste collection
53.78199,-1.34035,CAIRD PECKFIELD LIMITED,www.cairdpeckfield.com,LS25 4DW,Full accounts,"Non-hazardous treatment, disposal"
53.56674,-0.08115,SJP SKIP HIRE LIMITED,,DN31 1NX,Total Exemption Small,Non-hazardous waste collection
53.6026,-1.79786,HONLEY ENVIRONMENTAL SERVICES LIMITED,,HD9 6JP,Total Exemption Small,Hazardous waste collection
53.98622,-1.10025,UNIT 2 MANAGEMENT LIMITED,www.u2myork.co.uk,YO30 4XG,Total Exemption Small,"Hazardous treatment, disposal"
53.53044,-1.12829,SUEZ RECYCLING AND RECOVERY UK LTD,www.sita.co.uk,DN1 2SG,Full accounts,Non-hazardous waste collection
53.85417,-1.53051,T. O`SHEA LIMITED,,LS17 8DR,Total Exemption Small,Non-hazardous waste collection
53.71224,-1.38208,DIAMOND & BRIGHT LTD,,WF10 5PQ,Not Available,"Non-hazardous treatment, disposal"
54.52035,-1.3973,THE GRAB MAN LTD,,TS16 0QH,Total Exemption Small,Non-hazardous waste collection
53.75535,-0.33395,CLEANTANK (HULL) LIMITED,,HU2 0PU,Not Available,"Non-hazardous treatment, disposal"
53.78269,-1.57155,INNOVATIVE WATER MANAGEMENT LIMITED,www.iwmlimited.co.uk,LS11 0DS,Not Available,Non-hazardous waste collection
53.59016,-1.69952,3E SERVICING AND MAINTENANCE LIMITED,,HD8 8BJ,Total Exemption Small,"Non-hazardous treatment, disposal"
54.23788,-0.41197,RB RECYCLING SCARBOROUGH LIMITED,,YO11 3UZ,Total Exemption Small,Hazardous waste collection
54.27366,-1.35756,TWC FACILITIES LTD,www.twc-group.com,YO7 4DY,Total Exemption Small,Non-hazardous waste collection
53.91645,-1.31437,ASB ENVIRONMENTAL LIMITED,www.asbenvironmental.co.uk,LS23 7BF,Full accounts,"Hazardous treatment, disposal"
53.67812,-1.91472,P. CASEY ENVIRO LIMITED,www.casey.co.uk,HX4 0AJ,Medium Company,"Non-hazardous treatment, disposal"
53.7837,-1.51347,LSS WASTE MANAGEMENT LIMITED,www.lsswaste.co.uk,LS9 0PF,Medium Company,Non-hazardous waste collection
53.79744,-1.55144,GREAT GREEN SYSTEMS LIMITED,www.greatgreensystems.com,LS1 2RY,Total Exemption Small,"Non-hazardous treatment, disposal"
53.74926,-1.60222,MLAS COLLECTIONS LTD,,LS27 9DQ,Micro-entity accounts,Non-hazardous waste collection
54.5741,-1.18573,BIFFA WASTE SERVICES LIMITED,www.r3mc.co.uk,TS6 6JA,Full accounts,Non-hazardous waste collection
53.6607,-1.57618,T.C. TEXTILES LIMITED,www.icwukltd.co.uk,WF4 5HX,Total Exemption Small,Non-hazardous waste collection
53.76916,-0.32942,LWOL LIMITED,,HU7 0BH,Total Exemption Small,Hazardous waste collection
53.76275,-0.616,GELDOF RECYCLING LTD,,HU15 2HG,Total Exemption Small,"Non-hazardous treatment, disposal"
53.69679,-0.42673,THE KNOTTED NOTE LIMITED,www.carltoneducation.org.uk,DN18 5RD,Total Exemption Full,Non-hazardous waste collection
53.78354,-0.40718,SANDSTOP QUARRIES LTD,,HU16 4LL,Total Exemption Small,"Non-hazardous treatment, disposal"
54.52967,-1.57729,COMPASS ENVIRONMENTAL SERVICES LIMITED,,DL3 9NF,Micro-entity accounts,Non-hazardous waste collection
53.65532,-1.77789,SUEZ RECYCLING AND RECOVERY KIRKLEES LTD,www.suez.com,HD1 6BZ,Full accounts,Non-hazardous waste collection
53.76383,-0.32401,THE DRAIN COMPANY (HULL) LIMITED,www.thedraincompany.co.uk,HU8 8HL,Total Exemption Small,Non-hazardous waste collection
54.06544,-1.09227,HPL ENVIRONMENTAL LTD,,YO61 1EY,Not Available,"Non-hazardous treatment, disposal"
53.52805,-0.88761,TAYLOR & SON AUTOMOTIVE COMPONENTS LTD,,DN9 1EF,Not Available,Non-hazardous waste collection
53.98247,-0.506569,TOTAL ENVIRONMENTAL TECHNOLOGY LIMITED,www.totalenvironmental.co.uk,YO25 9DU,Total Exemption Small,Non-hazardous waste collection
53.79438,-1.59642,OATES ENVIRONMENTAL LIMITED,www.oatesenvironmental.co.uk,LS12 3AL,Total Exemption Small,Hazardous waste collection
53.49487,-1.13743,SIMPLAS WASTE MANAGEMENT LTD,,DN4 8GD,Total Exemption Small,Non-hazardous waste collection
54.55618,-1.30802,SORTOLOGY LIMITED,,TS17 6SB,Total Exemption Small,Non-hazardous waste collection
53.43167,-1.02189,OVERLAND INTERNATIONAL ENERGY COMPANY LTD,,DN10 6TF,Not Available,Non-hazardous waste collection
54.46862,-0.62815,WILF NOBLE RECYCLING LTD,,YO22 5HL,Not Available,Non-hazardous waste collection
53.784309,-1.742442,ASSOCIATED WASTE MANAGEMENT LIMITED,www.awm.uk.com,BD4 7DY,Full accounts,Non-hazardous waste collection
53.96046,-1.10282,AUTOHORN ENVIRONMENTAL LIMITED,,YO26 4XD,Full accounts,Non-hazardous waste collection
53.70299,-1.24659,K.M.R. WASTE MANAGEMENT LIMITED,www.kmrskiphire.co.uk,WF11 0JP,Total Exemption Small,Non-hazardous waste collection
53.73636,-1.52388,STAN ELLIS WASTE PAPER COLLECTIONS LIMITED,,WF3 3BX,Total Exemption Small,Non-hazardous waste collection
53.64954,-1.49699,DRY CLEANING WORLD LTD,,WF2 7JE,Total Exemption Small,"Non-hazardous treatment, disposal"
53.77268,-1.79207,ARM GRAB HIRE LTD,,BD7 4LB,Total Exemption Small,Non-hazardous waste collection
53.86776,-1.94811,WASTE MANAGER LTD,,BD22 0PT,Total Exemption Small,Hazardous waste collection
53.78947,-1.54993,NUCO OIL LIMITED,,LS11 9BU,Not Available,Non-hazardous waste collection
54.53376,-1.53528,H & R WARD LIMITED,,DL1 2LD,Total Exemption Small,Non-hazardous waste collection
53.91645,-1.31437,AUGEAN NORTH LIMITED,WWW.AUGEANPLC.COM,LS23 7BF,Full accounts,Non-hazardous waste collection
53.5968,-0.64153,THOMPSON WASTE RECYCLING LTD,,DN15 0DH,Not Available,Non-hazardous waste collection
53.74323,-1.66068,FOX HALL ENVIRONMENTAL SERVICES LTD,www.foxhall-ltd.co.uk,WF17 9BW,Total Exemption Small,"Hazardous treatment, disposal"
54.17039,-0.63057,KNAPTON QUARRY LIMITED,,YO17 8JA,Not Available,"Non-hazardous treatment, disposal"
53.67564,-1.74583,KWIKCLEAR (PVT) LIMITED,,HD2 1TN,Not Available,Non-hazardous waste collection
53.65511,-1.54056,RGN (TEXTILES) LIMITED,www.rgntextiles.com,WF4 5ER,Total Exemption Small,Non-hazardous waste collection
53.8585,-1.50706,RIPON RECYCLING (HESSAY) LIMITED,,LS17 8SH,Not Available,Non-hazardous waste collection
54.24406,-1.49223,ALAN OXTOBY LIMITED,,YO7 4JY,Total Exemption Small,Non-hazardous waste collection
