latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.83988,-0.40088,WANSFORD ENVIRONMENTAL SERVICES LIMITED,www.wes-uk.net,HU17 0LF,Total Exemption Small,Sewerage
53.77558,-1.55971,HOWICK DRAINAGE LTD,,LS11 7LT,Not Available,Sewerage
54.26414,-1.88367,MELMERBY WATER TRUST LIMITED,,DL8 4TW,Total Exemption Full,"Water collection, treatment, supply"
53.72406,-1.34723,STUART GARWOOD ASSOCIATES LIMITED,,WF10 4DZ,Total Exemption Small,"Water collection, treatment, supply"
53.85453,-1.91568,AGRICULTURAL WATER SOLUTIONS LIMITED,,BD21 5AX,Not Available,"Water collection, treatment, supply"
53.77362,-0.92615,OSMOTIC SOLUTIONS LTD,www.osmoticsolutions.co.uk,YO8 6ES,Total Exemption Small,"Water collection, treatment, supply"
53.7728,-0.32807,NEVILLE TUCKER SERVICES LIMITED,www.nevilletuckerservices.co.uk,HU7 0AN,Total Exemption Small,"Water collection, treatment, supply"
54.3527,-1.21719,INGLEBY WATER COMPANY LIMITED,,DL6 3QD,Total Exemption Small,"Water collection, treatment, supply"
53.93997,-2.01287,ACWA SERVICES LIMITED,www.acwa.co.uk,BD23 2UE,Full accounts,"Water collection, treatment, supply"
54.56159,-1.24282,BORED WATER SERVICES LIMITED,,TS5 6HH,Total Exemption Small,"Water collection, treatment, supply"
53.81337,-1.61077,DRAIN-RIGHT DRAIN-CARE LTD,www.drainrightdraincareltd.co.uk,LS5 3DW,Micro-entity accounts,Sewerage
53.72824,-1.86398,HYDROSERVE LIMITED,www.hydroserve.ltd.uk,HX3 5AX,Total Exemption Small,"Water collection, treatment, supply"
53.78778,-1.7224,DIRT BAGS LTD,www.dirtbagsuk.com,BD4 8UF,Total Exemption Small,"Water collection, treatment, supply"
53.68229,-1.10976,ACUMEN SOLUTIONS LIMITED,,DN14 0BQ,Total Exemption Small,"Water collection, treatment, supply"
54.10579,-2.04057,KILNSEY PRIVATE WATER SUPPLY LIMITED,,BD23 5PS,Total Exemption Small,"Water collection, treatment, supply"
53.67523,-1.68427,TOTAL WATER MANAGEMENT SOLUTIONS LIMITED,,WF14 9NG,Total Exemption Small,"Water collection, treatment, supply"
53.94842,-1.05354,YORK UNIVERSITY ENERGY SUPPLY COMPANY LIMITED,www.yorkcenturions.org.uk,YO10 5DD,Full accounts,"Water collection, treatment, supply"
53.73921,-1.87354,CALDERDALE SEWER SERVICES LIMITED,www.calderdalesewerservices.com,HX3 5QN,Total Exemption Small,Sewerage
54.00575,-1.57607,A L ENGINEERING SERVICES LTD,,HG3 2SH,Total Exemption Small,"Water collection, treatment, supply"
