latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
54.04765,-1.3636,J RENNISON TREE CONTRACTORS LIMITED,,YO51 9PS,Total Exemption Small,Support services to forestry
53.57186,-0.55418,N.R.H. (CONTRACTORS) LIMITED,,DN20 0BB,Total Exemption Small,Logging
53.75634,-0.29122,PRESTIGE TIMBER PRODUCTS & SERVICES LIMITED,www.prestigetimber-hull.co.uk,HU9 3RL,Total Exemption Small,"Sawmilling, planing of wood"
53.76604,-0.48857,HESSLE TREE NURSERIES LIMITED,,HU16 5ZA,Total Exemption Small,"Silviculture, other forestry activities"
53.65025,-1.53978,SAWMILLING SERVICES LIMITED,,WF4 3DS,Total Exemption Small,Logging
54.54694,-1.3152,W G DODDS & SON LIMITED,www.doddsfencingandsheds.com,TS18 3HJ,Total Exemption Small,"Sawmilling, planing of wood"
54.54631,-1.58944,WILDAIR (TREE MAINTENANCE) LIMITED,,DL2 2FN,Total Exemption Small,"Silviculture, other forestry activities"
54.06962,-2.27732,FOREST INDUSTRIES INTELLIGENCE LIMITED,,BD24 9JE,Total Exemption Small,Support services to forestry
53.77812,-0.99548,RED KITE TREE SERVICES LIMITED,,YO8 6PW,Not Available,Support services to forestry
53.76109,-1.69269,THORNDENE FORESTRY SERVICES LTD,,BD4 0SW,Total Exemption Small,Support services to forestry
54.5827,-1.32968,A.B. WOODLANDS SERVICES LIMITED,,TS19 0NW,Not Available,Logging
53.71418,-1.34011,CRENDON TIMBER ENGINEERING LIMITED,www.crendon.co.uk,WF10 4PS,Full accounts,"Sawmilling, planing of wood"
53.84626,-1.94452,FIREWOOD (KEIGHLEY) LTD,,BD22 7HS,Total Exemption Small,Logging
53.5219,-1.13258,MJG FORESTRY LIMITED,,DN1 3LW,Micro-entity accounts,Support services to forestry
53.7986,-1.55352,COLIN STEVENS FORESTRY LIMITED,,LS1 2JT,Total Exemption Small,Support services to forestry
54.30655,-1.05923,JP LOGGING LIMITED,,YO62 5HJ,Total Exemption Small,Logging
54.24504,-0.77474,DALBY FIREWOOD LIMITED,,YO18 7AW,Total Exemption Small,Logging
53.50294,-0.08221,J MELTON TREE SURGERY LIMITED,,DN37 0HZ,Total Exemption Small,"Silviculture, other forestry activities"
53.5219,-1.13258,WHEELER FORESTRY SERVICES LIMITED,,DN1 3LW,Micro-entity accounts,Support services to forestry
54.1357,-0.18868,GO PRO TREECARE LTD,,YO15 1HU,Total Exemption Small,Support services to forestry
54.11306,-1.21684,DAWNAY FARM CHRISTMAS TREES LTD,,YO61 3NZ,Total Exemption Small,"Silviculture, other forestry activities"
53.72813,-1.88148,GARRARDS (HUDDERSFIELD) LIMITED,www.garrards-timber.co.uk,HX1 4PX,,"Sawmilling, planing of wood"
53.71449,-1.72484,GREEN CANOPY TREE SPECIALISTS LIMITED,,WF15 8HU,Total Exemption Small,Support services to forestry
54.01909,-1.4647,FARM & LAND SERVICES LIMITED,,HG5 9DP,Total Exemption Small,Support services to forestry
53.56348,-0.0945,L.J. DRINKALL LIMITED,,DN31 2AB,Total Exemption Small,"Silviculture, other forestry activities"
53.71254,-1.5263,JOHN GORDON & SON LIMITED,,WF2 0UT,Medium Company,Logging
54.3444,-1.38271,BINKS WOODLAND SERVICES LIMITED,,DL6 3RA,Not Available,Logging
53.58276,-1.61951,BENEFICIAL TREE CARE LIMITED,,HD8 9LG,Total Exemption Small,Support services to forestry
54.09363,-1.68716,ARBORTECH TREE SPECIALISTS LIMITED,,HG3 5EU,Total Exemption Small,"Silviculture, other forestry activities"
53.65453,-1.77909,GARRARDS (HUDDERSFIELD) LIMITED,www.garrards-timber.co.uk,HD1 6BR,,"Sawmilling, planing of wood"
53.68669,-1.48881,ARMITAGE (UK) LIMITED,,WF1 4LH,Total Exemption Small,Support services to forestry
53.51684,-1.14573,"ALLEN & ORR,LIMITED",www.allenandorr.co.uk,DN4 0BJ,Small company,"Sawmilling, planing of wood"
53.5506,-0.67195,HALLMARK MANUFACTURING LIMITED,,DN17 2SX,Not Available,"Sawmilling, planing of wood"
53.66465,-1.11473,WEEDFREE LIMITED,,DN14 0EP,Small company,Support services to forestry
53.87126,-1.89769,AJI TECHNOLOGY LTD,,BD21 4BH,Micro-entity accounts,Support services to forestry
54.28065,-0.87162,APPLETON AND SPAUNTON COMMUNITY ENERGY COMMUNITY INTEREST COMPANY,,YO62 6TE,Total Exemption Full,"Silviculture, other forestry activities"
53.71971,-1.94544,BELLS TREE SURGEONS LIMITED,,HX2 6ET,Total Exemption Small,Support services to forestry
53.81371,-1.67051,YORKSHIRE TREE CONTRACTORS LIMITED,,LS28 5LF,Total Exemption Small,"Silviculture, other forestry activities"
53.78519,-1.37764,MATT SELLARS TREE SURGEON LIMITED,,LS25 2AN,Total Exemption Small,"Silviculture, other forestry activities"
53.55283,-0.12084,ALMAX ENTERPRISES LIMITED,,DN34 5NL,Total Exemption Small,"Silviculture, other forestry activities"
53.64789,-1.6011,M POTTS TREE SERVICES LIMITED,,WF4 4QN,Total Exemption Small,Support services to forestry
54.08403,-1.40164,SCURRAH ASSOCIATES LIMITED,,YO51 9HY,Total Exemption Small,Support services to forestry
53.83482,-1.9318,UTILITY TREE SERVICES LIMITED,,BD22 9DH,Total Exemption Small,"Silviculture, other forestry activities"
53.52078,-1.11642,ADVANCED TREE CARE LIMITED,,DN2 6BZ,Micro-entity accounts,"Silviculture, other forestry activities"
54.39835,-1.6925,WATT FENCES LIMITED,,DL10 7EY,Micro-entity accounts,"Silviculture, other forestry activities"
53.80614,-0.90721,SWANTECH LIMITED,www.swantechtimber.co.uk,YO8 6DJ,Total Exemption Small,"Sawmilling, planing of wood"
53.59326,-1.62339,GREENER ALTERNATIVE LTD,,HD8 9JA,Micro-entity accounts,"Silviculture, other forestry activities"
53.73986,-2.031159,BEAVER TREE SERVICES CALDERDALE LTD,,HX7 6NG,Not Available,Support services to forestry
54.248946,-1.063792,JAMES JONES & SONS LIMITED,www.jamesjones.co.uk,YO6 5AR,Group,"Sawmilling, planing of wood"
53.73684,-1.25526,MASTERS CONSTRUCTION POOLE LTD,,LS25 5JX,Total Exemption Small,Logging
53.96224,-2.01022,CRAVEN FORESTRY LTD,,BD23 1HS,Total Exemption Small,Support services to forestry
53.79248,-1.39582,MATT SELLARS TREE SURGEON LIMITED,,LS25 1AU,Total Exemption Small,"Silviculture, other forestry activities"
54.52105,-1.54826,MUNRO SAWMILLS LTD.,www.munrosawmills.com,DL1 5JN,Total Exemption Small,"Sawmilling, planing of wood"
53.51573,-0.10499,J MELTON TREE SURGERY LIMITED,,DN37 0JP,Total Exemption Small,"Silviculture, other forestry activities"
53.95947,-1.07998,FOREST PLANS (UK) LTD,,YO1 7LZ,Total Exemption Small,Support services to forestry
53.73146,-0.4568,NORTHWOOD ESTATES (HESSLE) LIMITED,,HU13 0TB,Total Exemption Small,"Silviculture, other forestry activities"
53.79819,-1.55292,T KIRK FORESTRY,,LS1 2TE,Not Available,Logging
54.44731,-1.08808,SIMON WELBY LTD,,TS9 6LP,Total Exemption Small,"Silviculture, other forestry activities"
54.05965,-1.38697,RURAL FIREWOOD SUPPLIES LIMITED,,YO51 9QQ,Total Exemption Small,Logging
53.50059,-1.11911,BSW TIMBER SYSTEMS LIMITED,,DN4 5JT,Full accounts,Support services to forestry
54.23256,-1.34374,FFT LUMBER LIMITED,www.fftlumber.co.uk,YO7 1HD,Total Exemption Small,"Sawmilling, planing of wood"
54.5521,-0.85689,OAKDALE (NE) LIMITED,,TS13 4NE,Total Exemption Small,Support services to forestry
53.95848,-2.012309,DES PICKARD & SONS LTD,,BD23 2EN,Total Exemption Small,Logging
54.17777,-1.48927,R.E. AND R. DUFFIELD AND SONS LIMITED,www.duffieldtimber.com,HG4 5JB,Medium Company,"Sawmilling, planing of wood"
53.65121,-1.66699,M. RHODES (TIMBER CONTRACTORS & TREE SURGEONS) LIMITED,,WF12 0NE,Total Exemption Small,Logging
53.8833,-1.3571,M. RHODES (TIMBER CONTRACTORS & TREE SURGEONS) LIMITED,,LS23 6RE,Total Exemption Small,Logging
53.98005,-1.13268,A. BINNS & CO LIMITED,,YO26 6RW,Total Exemption Small,Support services to forestry
54.46797,-0.64155,CARR MOUNT ESTATE LIMITED,,YO21 1RP,Total Exemption Small,Support services to forestry
54.5349,-1.05222,SAUNDERS SAWMILL LIMITED,,TS14 6QD,Micro-entity accounts,Logging
53.5219,-1.13258,SUNNYSIDE FORESTRY SERVICES LIMITED,,DN1 3LW,Micro-entity accounts,Support services to forestry
54.24494,-2.05473,ARBORCUT TREE SERVICES LIMITED,,DL8 3TG,Total Exemption Small,Support services to forestry
53.57296,-0.09355,J.W. PLATER LIMITED,www.jwplater.co.uk,DN31 1SQ,Total Exemption Small,"Sawmilling, planing of wood"
53.63007,-1.6452,DAVE PICKLES (TIMBER) LIMITED,,WF4 4DW,Total Exemption Small,"Silviculture, other forestry activities"
53.679401,-1.500734,KAMINHOLZ NORDHEIDE LTD.,,WF1 5PF,Total Exemption Small,Support services to forestry
53.83988,-0.40088,BERKELEY COURT (BATH) LIMITED,,HU17 0LF,Total Exemption Full,Logging
54.13249,-1.51326,A WHITEHEAD ASSOCIATES LIMITED,,HG4 1NN,Total Exemption Small,Support services to forestry
53.91539,-1.6942,"RWC TREES, STUMPS & LOGS LTD",,LS21 2AR,Not Available,Logging
54.24456,-0.78797,REDMILL TIMBER COMPANY LTD,,YO18 8BQ,Micro-entity accounts,"Sawmilling, planing of wood"
53.58922,-0.65353,HOLMES FORESTRY LIMITED,,DN15 7PQ,Not Available,"Silviculture, other forestry activities"
54.12825,-0.78045,DUKES & SONS FORESTRY LTD,,YO17 9BL,Total Exemption Small,Logging
53.92435,-1.37385,TREE CARE COMPANY (YORKSHIRE) LIMITED,,LS22 5DZ,Not Available,"Silviculture, other forestry activities"
54.44951,-1.27754,TROTTERS LOGS LTD,,TS15 0ET,Total Exemption Small,Logging
