latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.84322,-1.52935,BHHS BAKERY LIMITED,www.bhhs.co.uk,LS17 6HQ,Micro-entity accounts,"Bread; pastry goods, cakes"
54.01993,-1.46565,EASY AGRI LIMITED,,HG5 9EL,Total Exemption Small,Animal production support activities
53.79716,-1.58914,HARDAKERS (HORSFORTH) LIMITED,,LS12 1UG,Micro-entity accounts,"Bread; pastry goods, cakes"
53.70218,-1.7794,X.L.PROPERTIES(BRIGHOUSE)LIMITED,,HD6 1RW,Total Exemption Small,"Bread; pastry goods, cakes"
53.73255,-0.5739,BLUE MOON MEATS LIMITED,,HU15 1AH,Not Available,"Meat, poultry meat production"
53.99211,-1.53471,BOVITEMP LIMITED,,HG1 5PD,Total Exemption Small,Animal production support activities
53.55531,-0.07203,SCLA LIMITED,www.lion-noodle.com,DN32 9NQ,Total Exemption Small,"Pasta, other farinaceous"
53.99998,-0.46238,YORKSHIRE WOLD SAUSAGES LIMITED,,YO25 9DJ,Micro-entity accounts,"Meat processing, preserving"
53.59258,-0.64461,GREGGS PLC,www.greggs.co.uk,DN15 6SX,Group,"Bread; pastry goods, cakes"
53.67525,-1.70345,CHUBBY PET PRODUCTS LTD,,WF14 8JJ,Micro-entity accounts,Animal production support activities
53.73364,-0.35607,BHJ UK SEAFOOD LIMITED,www.bhjfood.co.uk,HU3 2BP,Full accounts,Prepared pet foods
54.53265,-1.52546,C M VARLEY & CO LIMITED,www.cmvarley.co.uk,DL1 2RL,Full accounts,Prepared farm animals feeds
53.70625,-1.38792,FORZA AW LIMITED,www.ipl-ltd.com,WF6 1TN,Full accounts,"Meat, poultry meat production"
53.9048,-1.69385,A.TEALE & SON LIMITED,,LS21 3HJ,Total Exemption Small,"Bread; pastry goods, cakes"
53.72256,-0.52707,PREMIUM STANDARD FARMS LTD,,HU14 3RS,Total Exemption Small,Animal production support activities
53.80032,-1.76941,WEST YORKSHIRE MEAT SUPPLIERS LIMITED,,BD8 8DR,Not Available,"Meat, poultry meat production"
54.58691,-1.31039,GREGGS PLC,www.greggs.co.uk,TS20 1AH,Group,"Bread; pastry goods, cakes"
53.93122,-1.40561,THE GREATEST STORE ON EARTH LIMITED,,LS22 6YT,Total Exemption Small,"Cocoa, choc and sugar confectionaries"
53.80555,-1.77916,FATIMA'S SAMOSAS LIMITED,,BD8 8QQ,Not Available,"Meat, poultry meat production"
53.79835,-1.54145,CHARBONNEL ET WALKER LIMITED,www.charbonnel.co.uk,LS1 6BW,Full accounts,"Cocoa, choc and sugar confectionaries"
54.403544,-1.735062,AGRIFFIN FEEDS LIMITED,,DL10 9SF,Micro-entity accounts,Animal production support activities
53.69221,-1.62787,FOSTERS BAKERY (STAINCROSS) LIMITED,www.bake-it.com,WF13 1QQ,Medium Company,"Bread; pastry goods, cakes"
53.91694,-1.3204,OPENFIELD AGRICULTURE LIMITED,,LS23 7BJ,Full accounts,Post-harvest crop activities
53.93535,-0.40064,ICECO EUROPE LIMITED,www.bluekeld.co.uk,YO25 9RE,Small company,Other food products nec
54.23233,-1.34172,GREGGS PLC,www.greggs.co.uk,YO7 1LH,Group,"Bread; pastry goods, cakes"
53.99289,-1.53979,GREGGS PLC,www.greggs.co.uk,HG1 1RP,Group,"Bread; pastry goods, cakes"
53.83621,-1.76481,ARLA FOODS LIMITED,www.arlafoods.co.uk,BD18 1QG,Full accounts,Dairy
53.75403,-1.81468,THE CAKE EMPORIUM LTD,www.thecakeemporium.net,HX3 7PB,Total Exemption Small,"Bread; pastry goods, cakes"
53.71046,-0.11479,THE ROLLING PIN 2011 LTD.,,HU12 9SX,Total Exemption Small,"Bread; pastry goods, cakes"
53.99369,-1.49631,BETTYS & TAYLORS OF HARROGATE LTD,www.bettys.co.uk,HG2 7LD,Full accounts,"Bread; pastry goods, cakes"
53.71905,-0.4239,AUNT BESSIE'S LIMITED,www.auntbessies.co.uk,HU13 0DZ,Full accounts,Other food products nec
53.89059,-2.033529,AFRIKA PRODUCTS LIMITED,,BD22 0NU,Not Available,"Meat processing, preserving"
53.58995,-1.30994,THE ICE CO LONDON LIMITED,www.theiceco.co.uk,WF9 3AP,Small company,Other food products nec
53.67078,-1.23427,EXTRA DETAIL LIMITED,,WF8 3DD,Group,"Meat processing, preserving"
54.28272,-0.39869,CROFTS CHOCOLATES LTD,www.croftschocolates.com,YO11 1NA,Total Exemption Small,"Cocoa, choc and sugar confectionaries"
53.76255,-1.50613,ARLA FOODS LIMITED,www.arlafoods.co.uk,LS10 1AB,Full accounts,Dairy
53.93217,-0.78424,GENTLE BAKEHOUSE LIMITED,,YO42 2DP,Not Available,"Bread; pastry goods, cakes"
53.93833,-1.37946,FILMORE AND UNION (HQ) LIMITED,www.filmoreandunion.co.uk,LS22 7TW,Total Exemption Small,Other food products nec
53.54956,-0.47286,LADYBIRD FOODS LTD,,DN20 9HD,Total Exemption Small,"Meat, poultry meat production"
54.00602,-1.55356,CURLEW TECHNOLOGY LTD,,HG1 2BB,Total Exemption Small,Animal production support activities
53.43167,-1.02189,EASTFIELD PROCESS EQUIPMENT LTD,,DN10 6TF,Total Exemption Small,Post-harvest crop activities
53.78629,-1.72839,GLOBAL HALAL FOODS UK LIMITED,www.global-foods.co.uk,BD4 8SX,Small company,"Poultry meat processing, preserving"
53.683091,-1.504233,ARLA FOODS UK PLC,www.arla.com,WF1 2TQ,Full accounts,Dairy
54.58428,-1.25384,D A ELLIOTT FARRIERS LIMITED,,TS2 1RU,Total Exemption Small,Animal production support activities
54.0821,-0.19759,MALCOLM TYLER PIES LIMITED,,YO15 3EG,Total Exemption Small,"Bread; pastry goods, cakes"
53.67604,-1.49806,FIVE STAR FISH LIMITED,www.fivestarfish.co.uk,WF2 8EE,Full accounts,"Fish processing, preserving"
54.17418,-1.48073,NIBNIBS LTD,www.nibnibs.com,HG4 5NB,Micro-entity accounts,"Rusks, biscuits; preserved pastry"
53.99349,-1.54148,GREGGS PLC,www.greggs.co.uk,HG1 1PB,Group,"Bread; pastry goods, cakes"
53.75401,-1.66217,ASTON FOOD MANAGEMENT LTD,,BD11 1EX,Micro-entity accounts,Other food products nec
53.78186,-0.41569,SUGAR 'N' SPICE CAKES LIMITED,www.sugarnspicecakes.co.uk,HU16 4BB,Total Exemption Small,"Bread; pastry goods, cakes"
53.92999,-1.3944,SWEET REVOLUTION LIMITED,www.sweetrevolution.co.uk,LS22 6SS,Total Exemption Small,"Cocoa, choc and sugar confectionaries"
53.61305,-0.46739,THE PASTRY ROOM LTD,www.thepastryroom.co.uk,DN20 0NH,Total Exemption Small,Other food products nec
53.80098,-1.55163,GREGGS PLC,www.greggs.co.uk,LS1 3BB,Group,"Bread; pastry goods, cakes"
53.79332,-1.55083,E.PARK & SONS LIMITED,www.epark.co.uk,LS1 4GH,Full accounts,"Potato processing, preserving"
53.7453,-0.34177,COOPLAND & SON (SCARBOROUGH) LIMITED,www.cooplands-bakery.co.uk,HU1 3RW,Full accounts,"Bread; pastry goods, cakes"
53.52902,-1.1356,THE TOPPING PIE COMPANY LIMITED,www.toppingspies.co.uk,DN1 2RF,Total Exemption Small,Other food products nec
53.64011,-1.77847,FORTHGLADE FOODS LIMITED,www.forthglade.com,HD1 3BD,Full accounts,Prepared pet foods
54.53543,-1.0521,COOPLAND & SON (SCARBOROUGH) LIMITED,www.cooplands-bakery.co.uk,TS14 6BG,Full accounts,"Bread; pastry goods, cakes"
53.71863,-1.87302,PGM BAKERIES LTD,,HX1 1EB,Total Exemption Small,"Bread; pastry goods, cakes"
53.85275,-1.05152,YORVALE LIMITED,www.yorvale.co.uk,YO19 6ED,Total Exemption Small,Ice cream
54.28421,-0.39122,HARBOUR BAR LIMITED,www.jimmycorrigans.com,YO11 1PE,Small company,Ice cream
53.77423,-1.75658,K&M CATERING BUTCHERS LIMITED,,BD5 8DY,Not Available,"Meat, poultry meat production"
54.23406,-0.41724,GRIMES SHELLFISH LTD,,YO11 3YS,Total Exemption Small,"Fish processing, preserving"
53.63331,-1.79625,LORD HODGE LIMITED,www.hadfields-bakers.co.uk,HD1 3TW,Total Exemption Small,"Bread; pastry goods, cakes"
53.66369,-1.79301,DEBRIAR LIMITED,www.debriar.co.uk,HD2 2SH,Total Exemption Small,"Meat, poultry meat production"
53.679401,-1.500734,TRUFFELICIOUS LTD.,,WF1 5PF,Not Available,Prepared pet foods
53.80891,-1.76884,REFRESHMENT CENTRE LTD,,BD9 4PU,Total Exemption Small,"Rusks, biscuits; preserved pastry"
53.79324,-1.57003,NAZA LIMITED,,LS12 1YJ,Not Available,Grain mill products
53.72174,-1.88121,TUBZEE LIMITED,www.tubzee.co.uk,HX1 4DX,Total Exemption Small,Ice cream
54.6091,-1.26481,UNITED BISCUITS (UK) LIMITED,www.unitedbiscuits.com,TS23 4DU,Full accounts,"Rusks, biscuits; preserved pastry"
53.79015,-1.71894,ARCADIA FOOD INDUSTRIES LIMITED,www.famos.co.uk,BD4 8AJ,Small company,Other food products nec
53.79703,-1.52216,MIDLAND BAKERY LIMITED,www.countrystyle.co.uk,LS9 8HY,Small company,"Bread; pastry goods, cakes"
53.99998,-0.46238,"JAMES MORTIMER,LIMITED",,YO25 9DJ,Full accounts,Post-harvest crop activities
53.93217,-0.78424,PERSONAL CUISINE LIMITED,,YO42 2DP,Not Available,Prepared meals and dishes
53.79613,-1.76104,WORLD BREAD LOTTERY (KLA) LIMITED,,BD1 2PX,Not Available,"Bread; pastry goods, cakes"
54.26751,-1.40729,SHEPHERD'S PURSE CHEESES LIMITED,www.shepherdspurse.co.uk,YO7 4DJ,Total Exemption Small,Dairy
53.63867,-1.84563,THE SUGAR VELVET CAKE COMPANY LIMITED,,HD7 4AR,Micro-entity accounts,"Bread; pastry goods, cakes"
54.48913,-1.13598,A SUGGITT LIMITED,,TS9 6NF,Total Exemption Small,Ice cream
54.137457,-1.522434,VOAKES PIES LIMITED,www.voakespies.co.uk,HG4 1XW,Total Exemption Small,"Meat, poultry meat production"
54.30357,-2.19471,TANSEY BAKERY LTD,,DL8 3NH,Micro-entity accounts,"Bread; pastry goods, cakes"
54.00358,-1.44748,AGGLOMERATION TECHNOLOGY LIMITED,www.aggtech.co.uk,HG5 8NQ,Total Exemption Small,Starches and starch products
54.29255,-1.44838,NEWBY FOODS LIMITED,www.newbyfoods.com,DL7 9ER,Full accounts,"Meat, poultry meat production"
53.55252,-0.02508,RED STAR CHOCOLATE LIMITED,,DN35 0BH,Total Exemption Small,"Cocoa, choc and sugar confectionaries"
54.34254,-1.4361,JOHN STANLEY FARRIERS LIMITED,,DL7 8EG,Micro-entity accounts,Animal production support activities
54.00752,-0.37554,CARR LANE KENNELS LIMITED,,YO25 8HB,Total Exemption Small,Animal production support activities
53.78432,-1.75275,ABF GRAIN PRODUCTS LIMITED,www.alliedbakeries.co.uk,BD5 7RN,Full accounts,"Bread; pastry goods, cakes"
53.69966,-1.29771,TANGERINE CONFECTIONERY LIMITED,www.tangerineuk.net,WF8 2JS,Full accounts,"Cocoa, choc and sugar confectionaries"
54.68427,-1.21394,GREGGS PLC,www.greggs.co.uk,TS24 7RS,Group,"Bread; pastry goods, cakes"
53.72173,-1.54006,CHOCBOUQUET LIMITED,,WF3 2AA,Not Available,"Cocoa, choc and sugar confectionaries"
53.95157,-0.44775,FORFARMERS UK LIMITED,www.bocmpauls.co.uk,YO25 9PF,Full accounts,Prepared farm animals feeds
53.98005,-1.13268,VISTULA INVESTMENT LIMITED,,YO26 6RW,Not Available,"Oil, fat manufacture"
54.16634,-1.63591,WENSLEYDALE DAIRY PRODUCTS LIMITED,www.wensleydale.co.uk,HG4 3QD,Medium Company,Dairy
53.68704,-1.85521,LEADINGFORCE LIMITED,www.yorkshirebakery.co.uk,HX4 8AB,Total Exemption Small,"Bread; pastry goods, cakes"
54.2091,-0.29393,ROBERT DALE & SONS (FILEY) LIMITED,,YO14 0AA,Total Exemption Small,Ice cream
53.71583,-1.38646,PETER'S FOOD SERVICE LIMITED,www.petersfood.co.uk,WF10 5NP,Full accounts,"Meat, poultry meat production"
53.81332,-1.60687,LAUDEN CHOCOLATE LIMITED,www.laudenchocolate.com,LS5 3BT,Total Exemption Small,"Cocoa, choc and sugar confectionaries"
53.96275,-2.01693,J.WILD(CONFECTIONERS)LIMITED,www.grandmawilds.co.uk,BD23 1JZ,Full accounts,"Bread; pastry goods, cakes"
53.93058,-1.98801,SIREBANK TRADING LTD,www.yellisons.co.uk,BD20 9HG,Total Exemption Small,Dairy
53.77762,-1.55455,WIGTON DISTRIBUTION LTD,,LS11 6BH,Not Available,Ice cream
53.74858,-1.6023,GREGGS PLC,www.greggs.co.uk,LS27 8EG,Group,"Bread; pastry goods, cakes"
54.2824,-0.41089,JACONELLI (SCARBOROUGH) LIMITED,www.jaconelli.co.uk,YO12 7BG,Total Exemption Small,Ice cream
53.76275,-0.616,CRISP SALES DEVELOPMENT LTD,,HU15 2HG,Total Exemption Small,Starches and starch products
54.43247,-1.46303,TSW BUSINESS DEVELOPMENT LIMITED,,DL6 2EX,Total Exemption Small,Other food products nec
53.78621,-1.06697,ABF GRAIN PRODUCTS LIMITED,www.alliedbakeries.co.uk,YO8 4EG,Full accounts,"Bread; pastry goods, cakes"
53.68718,-1.83825,JOSEPH DOBSON & SONS LIMITED,www.dobson.co.uk,HX5 0RU,Total Exemption Small,"Cocoa, choc and sugar confectionaries"
53.5337,-1.13797,SARVAL (HARTSHILL) LIMITED,www.pdm-group.co.uk,DN5 9TL,Full accounts,Prepared farm animals feeds
54.24267,-1.0535,LAND ENERGY ESCO 2 LTD,,YO62 5DQ,Small company,Animal production support activities
53.8707,-1.88622,ARLA FOODS LIMITED,www.arlafoods.co.uk,BD21 4LW,Full accounts,Dairy
54.00362,-0.43721,YORKSHIRE GRAIN LIMITED,,YO25 6PS,Small company,Post-harvest crop activities
54.28546,-0.39032,THE TRAVELLING CUPCAKE COMPANY LTD,www.thetravellingcupcakecompany.co.uk,YO11 1QY,Total Exemption Small,"Rusks, biscuits; preserved pastry"
54.47976,-1.63198,THE HONEYBCOMPANY LTD,,DL10 6HQ,Total Exemption Small,Other food products nec
53.92901,-1.38479,THOMAS OF YORK LIMITED,,LS22 6FL,Full accounts,"Bread; pastry goods, cakes"
53.97722,-1.52225,THE SERIOUS SWEET COMPANY LIMITED,www.serioussweets.co.uk,HG2 8QT,Full accounts,"Cocoa, choc and sugar confectionaries"
54.20962,-0.28705,STERCHI'S CHOCOLATIERS LIMITED,www.sterchis.co.uk,YO14 9DJ,Total Exemption Small,"Cocoa, choc and sugar confectionaries"
53.85945,-0.65884,P & M KENDRA MARKET WEIGHTON LIMITED,,YO43 3DB,Total Exemption Small,Post-harvest crop activities
53.77615,-0.33642,POTTERDALE FOODS LIMITED,www.cranswick.co.uk,HU7 0YW,Full accounts,"Meat, poultry meat production"
53.73079,-1.71345,LA BAKE LIMITED,,BD19 4EW,Total Exemption Small,Dairy
54.13242,-0.77276,KARRO FOOD STOKE LIMITED,www.karro.co.uk,YO17 9HG,Full accounts,"Meat processing, preserving"
53.83901,-0.43332,TWO C PATISSERIE LIMITED,,HU17 8LH,Not Available,"Bread; pastry goods, cakes"
54.61826,-1.06604,COOPLAND & SON (SCARBOROUGH) LIMITED,www.cooplands-bakery.co.uk,TS10 3DR,Full accounts,"Bread; pastry goods, cakes"
54.12921,-1.51338,DENIS BRINICOMBE GROUP LIMITED,,HG4 1TT,Full accounts,Animal production support activities
53.79247,-1.77307,MUMTAZ FOOD PRODUCTS LIMITED,www.mumtazonline.co.uk,BD7 1ND,Group,Prepared meals and dishes
53.95923,-1.04978,THOMAS OF YORK LIMITED,,YO10 3SD,Full accounts,"Bread; pastry goods, cakes"
54.56054,-1.24315,GREGGS PLC,www.greggs.co.uk,TS5 6HX,Group,"Bread; pastry goods, cakes"
53.97722,-1.52225,CLEARPOINT ANIMAL FEEDS LIMITED,,HG2 8QT,Not Available,Prepared farm animals feeds
53.82342,-0.84892,PALEO JERKY LIMITED,,YO8 6PX,Not Available,"Meat processing, preserving"
53.72212,-1.85986,GREGGS PLC,www.greggs.co.uk,HX1 1DL,Group,"Bread; pastry goods, cakes"
53.7836,-1.56968,JEITA FOODS (UK) LIMITED,,LS11 0DN,Not Available,Condiments and seasonings
53.67642,-1.27117,CHOCOLATE DIVISION LTD,,WF8 3AR,Total Exemption Small,"Cocoa, choc and sugar confectionaries"
