latitude,longitude,name,url,postcode,subactivity
53.74302,-0.80631,RP KERR & SON LIMITED,,DN14 7XH,Raising of poultry
53.68055,-0.32293,NICK BRADLEY BLOODSTOCK LIMITED,,DN19 7NN,"Raising of horses, equines"
54.27883,-0.41062,BURDASS LAMB LTD,,YO12 5ED,"Raising of sheep, goats"
53.85279,-1.76718,BATLEY HALL FARM RIDING CENTRE LIMITED,,BD17 5EJ,"Raising of horses, equines"
53.52856,-1.04274,CLARENCE COURT EGGS LIMITED,,DN3 3TU,Raising of poultry
54.11066,-1.15058,CR & J PIERCY LTD,,YO61 1LT,"Raising of swine, pigs"
54.61553,-1.34805,OASIS RESOURCES LIMITED,,TS21 3JJ,"Raising of sheep, goats"
54.22329,-0.55448,A.H. MUDD AGRICULTURAL SERVICES LIMITED,,YO13 9DJ,"Raising of sheep, goats"
53.5714,-0.0622,OAKLAND FARMS LIMITED,,DN32 7RG,Raising of poultry
54.00322,-0.95119,HELMSLEY HORSE RACING LTD.,,YO41 1JX,Raising of other animals
53.78386,-1.08742,CROSSHILLS PIGS LIMITED,,YO8 4RU,"Raising of swine, pigs"
54.04958,-0.78245,PORKWELL LIMITED,,YO17 9LW,"Raising of swine, pigs"
54.25119,-0.90416,J & E M GILL & SON LIMITED,,YO62 6NY,Raising of dairy cattle
53.54397,-1.03379,ARMTHORPE FALCONRY LIMITED,,DN3 3EA,Raising of other animals
53.72976,-1.84904,HOLLY TREE FARM LIMITED,,HX3 6AS,"Raising of sheep, goats"
54.36612,-1.39491,HALLIKELD LIMITED,,DL6 2UF,"Raising of swine, pigs"
54.14048,-0.76785,NORTON GROVE STUD LIMITED,,YO17 8EF,"Raising of horses, equines"
54.23295,-1.34061,ALLANSON LIMITED,,YO7 1DA,"Raising of other cattle, buffaloes"
54.43691,-1.70165,D.H. WILLIS & SONS LIMITED,,DL10 5LN,"Raising of other cattle, buffaloes"
54.29156,-1.58834,MUSTERFIELD POULTRY GROWERS LTD,,DL8 1AU,Raising of poultry
53.79522,-0.79977,JOHN OLIVER (MOORS FARM) LIMITED,,DN14 7NB,"Raising of swine, pigs"
53.5598,-1.73241,C RHODES FARM LIMITED,,HD8 8YE,Raising of dairy cattle
53.90949,-0.85194,WOODLAND PIGS LIMITED,,YO42 4RU,"Raising of swine, pigs"
53.57025,-0.9726,RHUBARB AND MUSTARD NURSERY LTD,,DN7 6NX,"Raising of swine, pigs"
53.66325,-1.84689,LEWIS J. RILEY LIMITED,,HD3 3TQ,Raising of dairy cattle
54.46535,-1.69768,T.J FARMS LIMITED,,DL10 5PR,"Raising of swine, pigs"
53.70666,0.03354,C. DRESCHER LIMITED,,HU19 2RS,"Raising of swine, pigs"
53.64958,-1.05228,T J GREENWOOD LIMITED,,DN14 9BJ,"Raising of swine, pigs"
53.73744,-0.01072,K. FRESH LTD,,HU19 2BZ,Raising of poultry
54.19535,-0.45693,WILLERBY WOLD PIGGERIES LIMITED,,YO12 4SN,"Raising of swine, pigs"
54.02248,-0.44516,YORKWOLD PIGPRO LIMITED,,YO25 5UY,"Raising of swine, pigs"
53.64132,-1.03308,EGGS R US LTD,,DN14 9AN,Raising of poultry
54.46046,-1.70462,T.J FARMS LIMITED,,DL10 5NY,"Raising of swine, pigs"
