latitude,longitude,name,url,post.code,company.size
53.5858,-1.78915,SQUAWK BREWING COMPANY LIMITED,,HD9 3UF,Total Exemption Small
53.72011,-1.81069,HALIFAX STEAM BREWING COMPANY LIMITED,www.halifax-steam.co.uk,HX3 8EF,Total Exemption Small
54.26097,-0.92209,MOORSIDE BREWERY LTD,,YO62 6QR,Total Exemption Small
53.67265,-1.58145,HORBURY ALES LIMITED,,WF5 8LN,Not Available
53.95837,-1.08177,LITTLE BREW LTD,,YO1 8SU,Micro-entity accounts
53.92589,-1.82489,GHOST BREWING CO LIMITED,,LS29 9DX,Not Available
53.68229,-1.10976,GREAT HECK BREWING COMPANY LTD,www.greatheckbrewery.co.uk,DN14 0BQ,Total Exemption Small
53.68555,-1.83053,ELLAND BREWERY LIMITED,www.ellandbrewery.co.uk,HX5 9AE,Total Exemption Small
53.8503,-1.59283,KIRKSTALL BREWERY COMPANY LIMITED,www.kirkstallbrewerycompany.co.uk,LS16 6AL,Total Exemption Small
54.06782,-2.27718,DANIEL THWAITES PUBLIC LIMITED COMPANY,http://www.thwaites.co.uk/,BD24 9DU,Group
54.23114,-1.34488,THE NORTHALLERTON BREWERY LTD,,YO7 1QR,Not Available
53.55173,-0.49331,WETHERELLS CONTRACTS LIMITED,www.oldmillbrewery.co.uk,DN20 8LD,Total Exemption Small
53.95745,-1.07635,BREW YORK LIMITED,,YO1 9TT,Micro-entity accounts
53.99988,-1.50063,DALESIDE BREWERY LIMITED,www.dalesidebrewery.com,HG1 4PT,Total Exemption Full
53.96534,-1.30647,BREW BASE BREWERY LIMITED,,YO26 7QF,Not Available
53.88334,-1.27119,MOLSON COORS BREWING COMPANY (UK) LIMITED,www.carling.com,LS24 9JR,Full accounts
53.56446,-1.76242,HERE BE MONSTERS LIMITED,,HD9 1UA,Total Exemption Small
53.8584,-1.82033,BINGLEY BREWERY LIMITED,,BD16 3DA,Total Exemption Small
53.83859,-1.76583,SALTAIRE BREWERY LIMITED,www.saltairebrewery.co.uk,BD17 7AR,Total Exemption Small
53.7186,-0.01837,THE GREAT NEWSOME BREWERY LIMITED,,HU12 0NR,Total Exemption Small
53.84605,-1.95639,NIGHTOWL BREWING COMPANY LTD,,BD22 7PG,Not Available
53.7228,-0.57524,CRYSTALBREW LIMITED,,HU15 1EQ,Total Exemption Small
