latitude,longitude,name,url,post.code,company.size
53.8466,-1.63247,ESKIMO JOE'S LIMITED,,LS18 5NT,Total Exemption Small
53.73259,-1.60906,SEASONS SOFT DRINKS LIMITED,www.seasonssoftdrinks.co.uk,LS27 0SU,Total Exemption Small
53.82185,-1.50916,HSK BRANDS LIMITED,,LS8 2ST,Not Available
54.69639,-1.18345,HEALTHY THIRST DRINKS LIMITED,www.thorncroftdrinks.co.uk,TS24 4SJ,Total Exemption Small
53.93535,-0.40064,BLUE KELD SPRINGS LIMITED,www.bluekeld.co.uk,YO25 9RE,Small company
53.58677,-1.6289,SHEPLEY SPRING LIMITED,www.shepleyspring.co.uk,HD8 8WR,Full accounts
54.40349,-1.73991,NORTHERN PURE LIMITED,,DL10 4DR,Total Exemption Small
53.98752,-1.56378,THIRSTY PLANET LIMITED,www.thirsty-planet.com,HG2 0QB,Full accounts
53.72774,-1.98162,FLOWER OF LIFE LTD,,HX7 5HZ,Total Exemption Small
54.06488,-1.475,THE GOURMET WATER COMPANY LIMITED,,HG3 3SZ,Total Exemption Small
54.52914,-1.3564,HEALTHY THIRST DRINKS LIMITED,www.thorncroftdrinks.co.uk,TS16 0RB,Total Exemption Small
53.8059,-1.65107,BRITVIC SOFT DRINKS LIMITED,www.premierexpress.co.uk,LS13 4HT,Full accounts
53.81563,-1.52556,EXIGEN ELIXIR LTD,,LS7 4ED,Not Available
53.7699,-1.83191,REJUVENATION WATER LTD,,BD13 1BY,Total Exemption Small
54.06488,-1.475,CHILLAX DRINKS LIMITED,,HG3 3SZ,Total Exemption Small
53.97132,-2.05276,THE TEMPERANCE SPIRIT COMPANY LTD,,BD23 3LL,Total Exemption Small
53.58572,-1.69939,SHEPLEY SPRING LIMITED,www.shepleyspring.co.uk,HD8 8EA,Full accounts
53.70625,-1.38792,BRITVIC SOFT DRINKS LIMITED,www.premierexpress.co.uk,WF6 1TN,Full accounts
53.74297,-0.33774,NORWEGIAN GLACIER WATER LIMITED,www.isbrewater.no,HU1 2LD,Total Exemption Small
53.98752,-1.56378,HARROGATE SPRING WATER LIMITED,www.harrogatespringwater.co.uk,HG2 0QB,Full accounts
53.96398,-2.01749,THE ADULT SOFT DRINKS COMPANY LIMITED,,BD23 1NL,Not Available
53.70673,-1.85887,HIGHLAND SPRING LIMITED,www.highlandspring.com,HX3 0PB,Group
53.69771,-1.2973,COTT BEVERAGES LIMITED,www.cott.com,WF8 2LH,Full accounts
53.96398,-2.01749,THE ADULT SOFT DRINKS COMPANY LIMITED,,BD23 1NL,Not Available
53.85972,-1.83296,YOUR GREEN DRINKS COMPANY LIMITED,,BD16 4AZ,Not Available
53.98591,-2.101,VYKING ENERGY LIMITED,,BD23 3SE,Not Available
53.51244,-1.13302,SUTTON SPRING LIMITED,www.suttonspring.co.uk,DN4 5FB,Total Exemption Small
53.71879,-1.52141,COCA-COLA EUROPEAN PARTNERS GREAT BRITAIN LIMITED,www.ccep.com,WF2 0XR,Full accounts
54.40685,-1.7978,SWALEVALLEY SPRINGWATER LIMITED,www.swalevalleywater.co.uk,DL10 4SF,Total Exemption Small
53.58995,-1.30994,BLUE KELD SPRINGS LIMITED,www.bluekeld.co.uk,WF9 3AP,Small company
