latitude,longitude,name,url,post.code,company.size
53.97548,-1.56692,BEE-GINERS LIMITED,,HG3 1GY,Not Available
53.78159,-1.0618,YDC LTD,,YO8 8BE,Micro-entity accounts
53.61042,-0.96707,THE LITTLE GIN SHOP LIMITED,,DN8 5UQ,Not Available
53.57408,-1.73413,FRUITY TIPPLES LIMITED,,HD9 7DH,Total Exemption Small
53.84301,-1.51821,BARFORD IMPORTS LIMITED,,LS8 1AG,Total Exemption Small
53.83631,-1.78824,FANNY'S DISTILLING COMPANY LIMITED,,BD18 3JN,Total Exemption Small
54.0036,-1.49258,THE SPIRITED DRINKS COMPANY LTD,,HG2 7TF,Not Available
53.78329,-0.40587,LIBERTY GIN LIMITED,,HU16 4LU,Not Available
54.09615,-0.20296,TWISTED ROOTS DISTILLERY LTD,,YO16 7AE,Not Available
53.66095,-1.81684,CALIBRE COCKTAILS LTD,,HD3 3NS,Not Available
53.82505,-1.034319,BARCELONA SPIRIT BRANDS UK LIMITED,,YO19 6QR,Not Available
53.666,-1.53045,RHUCELLO LIMITED,,WF2 8JS,Not Available
53.91726,-1.14461,EOFORWIC DISTILLING COMPANY LIMITED,,YO23 3SW,Not Available
54.52914,-1.3564,RSM SOLUTIONS (NE) LIMITED,www.rsm-solutions.co.uk,TS16 0RB,Total Exemption Small
54.46046,-1.70462,50 DEGREES NORTH LIMITED,,DL10 5NY,Micro-entity accounts
53.74052,-0.4941,THE KINGSTON UPON HULL LIQOUR COMPANY LIMITED,,HU14 3QF,Not Available
53.97864,-1.52081,SPIRIT OF HARROGATE LIMITED,,HG2 8PB,
54.58952,-1.01891,THE LICKERISH TOOTH LTD,,TS11 7BE,Total Exemption Small
53.61785,-1.80625,JACQSON LIMITED,,HD4 7LA,Not Available
53.91993,-1.64879,BARFORD IMPORTS LIMITED,,LS21 2JX,Total Exemption Small
54.53724,-0.77537,WHITBY GIN LIMITED,,TS13 5HA,Not Available
54.28877,-1.58735,MASONS YORKSHIRE GIN LTD,www.masonsyorkshiregin.com,DL8 1BZ,Total Exemption Small
54.00533,-1.07749,3 BIG DOGS LIMITED,,YO32 3HE,Not Available
53.51244,-1.13302,THE GREAT YORKSHIRE SPIRIT COMPANY LIMITED,,DN4 5FB,Not Available
54.0141,-0.38948,THE YORKSHIRE RUM COMPANY LIMITED,,YO25 4PA,Not Available
54.06364,-1.71689,HARROGATE DISTILLERY LTD,,HG3 4HQ,Total Exemption Small
