latitude,longitude,name,url,post.code,company.size
53.97767,-1.52956,T PLUS LTD,www.tplusdrinks.com,HG2 8ER,Total Exemption Small
53.84744,-1.56011,SORY ENTREPRISE LTD,,LS17 5JS,Not Available
53.61344,-1.90558,DARK WOODS COFFEE LTD,www.darkwoodscoffee.co.uk,HD7 6LS,Total Exemption Small
53.98005,-1.13268,ICHAI LIMITED,www.ichaitea.com,YO26 6RW,Total Exemption Small
53.83271,-1.63524,DOGBURGS LTD,,LS18 4RZ,Micro-entity accounts
53.5999,-1.83063,BEWLEY'S TEA AND COFFEE UK LIMITED,www.grumpymule.co.uk,HD9 4EP,Full accounts
53.6767,-1.86316,WHITEHEADS (1858) LIMITED,www.whiteheads1858.co.uk,HX4 9BH,Total Exemption Small
54.17424,-1.48283,STEENBERGS LIMITED,www.steenbergs.co.uk,HG4 5GZ,Total Exemption Small
54.57371,-1.2364,ROUNTON COFFEE LIMITED,https://www.rountoncoffee.co.uk/,TS1 2LL,Total Exemption Small
53.77317,-1.37742,OLD LEODENSIAN LTD,,LS25 7DA,Not Available
53.679401,-1.500734,CREFELDER LTD.,,WF1 5PF,Total Exemption Small
53.80744,-1.56055,PUMP N GRIND LTD.,https://pumpngrind.co.uk/,LS2 9DF,Micro-entity accounts
53.69656,-1.76351,EXPRESS CATERING SUPPLIES LIMITED,,HD6 1QF,Total Exemption Small
54.36377,-1.37114,MOOR FRESH COFFEE COMPANY LIMITED,https://moorfreshcoffee.co.uk/,DL6 2TB,Micro-entity accounts
53.79166,-1.5527,MAKE MINE A BUILDERS LIMITED,www.makemineabuilders.com,LS11 5WD,Full accounts
53.76624,-0.35027,THE BLENDING ROOM LTD,www.theblendingroom.co.uk,HU5 1PT,Total Exemption Full
53.75121,-0.33193,FINLAY HULL LIMITED,www.finlays.net,HU8 7AF,Full accounts
53.99737,-1.47325,NORTH STAR COFFEE ROASTERS LIMITED,https://www.northstarroast.com/,HG5 8JP,Total Exemption Small
54.13889,-1.5186,QIMA COFFEE LTD,https://qimacoffee.com/,HG4 1TP,Not Available
54.54635,-1.57216,BEANIES THE FLAVOUR CO. LTD.,www.beaniesflavourco.co.uk,DL3 0PH,Total Exemption Small
53.60559,-0.42205,LINCOLN & YORK LIMITED,www.lincolnandyork.com,DN20 0SP,Full accounts
53.60256,-1.27507,FINLAY BEVERAGES LIMITED,www.finlays.net,WF9 2XS,Full accounts
