latitude,longitude,name,url,postcode,Registered_accounts_type
54.01993,-1.46565,EASY AGRI LIMITED,,HG5 9EL,Total Exemption Small
53.99211,-1.53471,BOVITEMP LIMITED,,HG1 5PD,Total Exemption Small
53.67525,-1.70345,CHUBBY PET PRODUCTS LTD,,WF14 8JJ,Micro-entity accounts
53.72256,-0.52707,PREMIUM STANDARD FARMS LTD,,HU14 3RS,Total Exemption Small
54.403544,-1.735062,AGRIFFIN FEEDS LIMITED,,DL10 9SF,Micro-entity accounts
54.00602,-1.55356,CURLEW TECHNOLOGY LTD,,HG1 2BB,Total Exemption Small
54.58428,-1.25384,D A ELLIOTT FARRIERS LIMITED,,TS2 1RU,Total Exemption Small
54.34254,-1.4361,JOHN STANLEY FARRIERS LIMITED,,DL7 8EG,Micro-entity accounts
54.00752,-0.37554,CARR LANE KENNELS LIMITED,,YO25 8HB,Total Exemption Small
54.24267,-1.0535,LAND ENERGY ESCO 2 LTD,,YO62 5DQ,Small company
54.12921,-1.51338,DENIS BRINICOMBE GROUP LIMITED,,HG4 1TT,Full accounts
53.82164,-1.31446,NORTHERN GAME FEEDS LIMITED,,LS25 3ED,Total Exemption Small
53.58267,-0.35152,AGRIMIN LIMITED,,DN39 6YH,Total Exemption Small
54.09024,-1.49999,TECHNICAL & COMMERCIAL SERVICES INTERNATIONAL LIMITED,,HG3 3RH,Total Exemption Small
54.51018,-0.93516,MOORSIDE FARM SUPPLIES LIMITED,,TS12 3LP,Total Exemption Small
54.36729,-1.6796,BRECKONBOROUGH EQUESTRIAN LIMITED,,DL10 7PL,Micro-entity accounts
53.58828,-0.65347,ROSENEATH ANIMAL FEEDS LIMITED,,DN15 7PG,Total Exemption Small
53.90083,-1.68475,WHARFEDALE FARMERS'AUCTION MART LIMITED,,LS21 3BD,Small company
54.0017,-1.45891,J KIRK LTD,,HG5 8EY,Total Exemption Small
53.97576,-0.49257,BEEF IMPROVEMENT GROUPING LIMITED,,YO25 9ED,Total Exemption Small
53.98659,-1.10162,EQUINE SUPPORT REHOMING AND REHABILITATION,,YO30 4WY,Not Available
53.96174,-1.00738,JUBILEE MILLING LIMITED,,YO19 5UT,Full accounts
53.90526,-0.16759,YORKSHIRE MEADOWS LTD,,HU18 1TF,Micro-entity accounts
53.76186,-0.78809,LESTER (FALLEN STOCK) LIMITED,,DN14 7QQ,Total Exemption Small
53.66236,-1.30953,E T L DEVELOPMENTS LIMITED,,WF8 3DZ,Total Exemption Small
54.52342,-1.58296,DOG FERTILITY LTD,,DL3 8RP,Not Available
53.68495,-1.54327,ASHWOOD PREMIER HOUSE LIMITED,,WF5 9TP,Total Exemption Small
53.67858,-1.76504,EVENT REMEDIES LTD,,HD2 1GN,Total Exemption Small
53.65506,-0.27426,PETER BELL FARM CLEANING SERVICES LIMITED,,DN40 3NT,Total Exemption Small
53.64787,-1.78649,HONLEY SHOW SOCIETY LIMITED,,HD1 5JP,Total Exemption Small
53.96325,-2.017049,DAVID HILL (SKIPTON) LIMITED,,BD23 1NJ,Total Exemption Small
54.08355,-1.76297,PATELEY BRIDGE & DISTRICT FARMERS AUCTION MART LIMITED,,HG3 5HN,Total Exemption Small
53.92484,-1.38681,HORSE NEXT DOOR EQUESTRIAN SERVICES LTD,,LS22 5HB,Total Exemption Small
53.55232,-0.08729,PAUL DYAS ENGINEERING LTD.,,DN32 0BS,Total Exemption Small
54.52758,-1.5681,AGRITRADE DIRECT LIMITED,,DL3 7BE,Total Exemption Small
54.28636,-1.81263,RDA CATTLE SERVICES LIMITED,,DL8 4RB,Total Exemption Small
53.61794,-0.65884,ENVISAGE PLANNING CONSULTANTS LIMITED,,DN15 9YG,Total Exemption Small
53.96249,-2.040169,CRAVEN CATTLE MARTS LIMITED,,BD23 1UD,Small company
