latitude,longitude,name,url,postcode,Registered_accounts_type
53.84322,-1.52935,BHHS BAKERY LIMITED,www.bhhs.co.uk,LS17 6HQ,Micro-entity accounts
53.79716,-1.58914,HARDAKERS (HORSFORTH) LIMITED,,LS12 1UG,Micro-entity accounts
53.70218,-1.7794,X.L.PROPERTIES(BRIGHOUSE)LIMITED,,HD6 1RW,Total Exemption Small
53.59258,-0.64461,GREGGS PLC,www.greggs.co.uk,DN15 6SX,Group
53.9048,-1.69385,A.TEALE & SON LIMITED,,LS21 3HJ,Total Exemption Small
54.58691,-1.31039,GREGGS PLC,www.greggs.co.uk,TS20 1AH,Group
53.69221,-1.62787,FOSTERS BAKERY (STAINCROSS) LIMITED,www.bake-it.com,WF13 1QQ,Medium Company
54.23233,-1.34172,GREGGS PLC,www.greggs.co.uk,YO7 1LH,Group
53.99289,-1.53979,GREGGS PLC,www.greggs.co.uk,HG1 1RP,Group
53.75403,-1.81468,THE CAKE EMPORIUM LTD,www.thecakeemporium.net,HX3 7PB,Total Exemption Small
53.71046,-0.11479,THE ROLLING PIN 2011 LTD.,,HU12 9SX,Total Exemption Small
53.99369,-1.49631,BETTYS & TAYLORS OF HARROGATE LTD,www.bettys.co.uk,HG2 7LD,Full accounts
53.93217,-0.78424,GENTLE BAKEHOUSE LIMITED,,YO42 2DP,Not Available
54.0821,-0.19759,MALCOLM TYLER PIES LIMITED,,YO15 3EG,Total Exemption Small
53.99349,-1.54148,GREGGS PLC,www.greggs.co.uk,HG1 1PB,Group
53.78186,-0.41569,SUGAR 'N' SPICE CAKES LIMITED,www.sugarnspicecakes.co.uk,HU16 4BB,Total Exemption Small
53.80098,-1.55163,GREGGS PLC,www.greggs.co.uk,LS1 3BB,Group
53.7453,-0.34177,COOPLAND & SON (SCARBOROUGH) LIMITED,www.cooplands-bakery.co.uk,HU1 3RW,Full accounts
54.53543,-1.0521,COOPLAND & SON (SCARBOROUGH) LIMITED,www.cooplands-bakery.co.uk,TS14 6BG,Full accounts
53.71863,-1.87302,PGM BAKERIES LTD,,HX1 1EB,Total Exemption Small
53.63331,-1.79625,LORD HODGE LIMITED,www.hadfields-bakers.co.uk,HD1 3TW,Total Exemption Small
53.79703,-1.52216,MIDLAND BAKERY LIMITED,www.countrystyle.co.uk,LS9 8HY,Small company
53.79613,-1.76104,WORLD BREAD LOTTERY (KLA) LIMITED,,BD1 2PX,Not Available
53.63867,-1.84563,THE SUGAR VELVET CAKE COMPANY LIMITED,,HD7 4AR,Micro-entity accounts
54.30357,-2.19471,TANSEY BAKERY LTD,,DL8 3NH,Micro-entity accounts
53.78432,-1.75275,ABF GRAIN PRODUCTS LIMITED,www.alliedbakeries.co.uk,BD5 7RN,Full accounts
54.68427,-1.21394,GREGGS PLC,www.greggs.co.uk,TS24 7RS,Group
53.68704,-1.85521,LEADINGFORCE LIMITED,www.yorkshirebakery.co.uk,HX4 8AB,Total Exemption Small
53.96275,-2.01693,J.WILD(CONFECTIONERS)LIMITED,www.grandmawilds.co.uk,BD23 1JZ,Full accounts
53.74858,-1.6023,GREGGS PLC,www.greggs.co.uk,LS27 8EG,Group
