latitude,longitude,name,url,postcode,Registered_accounts_type
53.93122,-1.40561,THE GREATEST STORE ON EARTH LIMITED,,LS22 6YT,Total Exemption Small
53.79835,-1.54145,CHARBONNEL ET WALKER LIMITED,www.charbonnel.co.uk,LS1 6BW,Full accounts
54.28272,-0.39869,CROFTS CHOCOLATES LTD,www.croftschocolates.com,YO11 1NA,Total Exemption Small
53.92999,-1.3944,SWEET REVOLUTION LIMITED,www.sweetrevolution.co.uk,LS22 6SS,Total Exemption Small
53.55252,-0.02508,RED STAR CHOCOLATE LIMITED,,DN35 0BH,Total Exemption Small
53.69966,-1.29771,TANGERINE CONFECTIONERY LIMITED,www.tangerineuk.net,WF8 2JS,Full accounts
53.72173,-1.54006,CHOCBOUQUET LIMITED,,WF3 2AA,Not Available
53.81332,-1.60687,LAUDEN CHOCOLATE LIMITED,www.laudenchocolate.com,LS5 3BT,Total Exemption Small
53.68718,-1.83825,JOSEPH DOBSON & SONS LIMITED,www.dobson.co.uk,HX5 0RU,Total Exemption Small
53.97722,-1.52225,THE SERIOUS SWEET COMPANY LIMITED,www.serioussweets.co.uk,HG2 8QT,Full accounts
54.20962,-0.28705,STERCHI'S CHOCOLATIERS LIMITED,www.sterchis.co.uk,YO14 9DJ,Total Exemption Small
53.67642,-1.27117,CHOCOLATE DIVISION LTD,,WF8 3AR,Total Exemption Small
53.69248,-1.31628,DUNHILLS (PONTEFRACT) P L C,www.haribo.co.uk,WF8 1NJ,Full accounts
54.52968,-1.21807,SUGAR FREE SOLUTIONS LIMITED,,TS8 0RU,Total Exemption Small
53.8149,-1.56847,BAXTER MURRAY LTD,www.baxtermurray.co.uk,LS6 1PF,Total Exemption Small
53.95633,-1.12496,YORK & DULGENT FUDGE LTD,,YO26 5LD,Not Available
53.97722,-1.52225,CONFECTION BY DESIGN LIMITED,www.confectionbydesign.co.uk,HG2 8QT,Full accounts
53.7249,-0.39838,THREE CROWNS CONFECTIONERY LIMITED,www.threecrownsconfectionery.co.uk,HU4 7EA,Small company
53.80333,-1.65324,TAYLOR + BENNETT LIMITED,,LS13 4PN,Not Available
53.55039,-0.48999,FIONA SCIOLTI LTD,,DN20 8JS,Total Exemption Small
53.96066,-1.08133,CHARBONNEL ET WALKER LIMITED,www.charbonnel.co.uk,YO1 7HY,Full accounts
53.98549,-1.9822,TOFFS CHOCS LIMITED,,BD23 6SF,Total Exemption Small
53.7972,-0.92467,HARVEST MOON CONFECTIONERY LTD,,YO8 6DH,Small company
53.96103,-1.08121,JIM GARRAHY'S FUDGE KITCHEN LIMITED,www.fudgekitchen.co.uk,YO1 7HZ,Total Exemption Small
54.48883,-0.61177,JUSTINS CONFECTIONERY LIMITED,,YO22 4DF,Total Exemption Small
53.96574,-0.44244,CRACKING CANDY COMPANY LIMITED,,YO25 9PU,Total Exemption Small
54.11678,-1.22614,BENTLEY OF YORK LIMITED,www.bentleysofyork.co.uk,YO61 3PA,Total Exemption Small
53.92604,-1.83224,THE ETHICAL FUDGE COMPANY LIMITED,,LS29 9AQ,Not Available
54.06004,-0.258079,JOHN BULL (CONFECTIONERS) LIMITED,www.john-bull.com,YO15 3QY,Full accounts
53.95638,-2.01927,WHITAKERS CHOCOLATES LIMITED,www.whitakerschocolates.com,BD23 2NA,Full accounts
53.70954,-1.66789,THORNE'S CONFECTIONERY LTD,,WF16 0AW,Total Exemption Small
53.58282,-1.00971,THE BLISSFUL CAKE PARLOUR LIMITED,,DN7 4GA,Not Available
53.70992,-1.66025,BYSEL LIMITED,www.byselcandy.com,WF16 9ND,Total Exemption Small
53.64487,-1.79499,VANILLA CAKERY LTD,,HD1 4EU,Micro-entity accounts
54.00326,-0.9728,MONK BAR CHOCOLATIERS LIMITED,www.monkbar.com,YO19 5XS,Micro-entity accounts
53.99922,-1.50026,FARRAH'S OF HARROGATE LIMITED,www.farrahs.com,HG1 4PY,Total Exemption Small
54.23406,-0.41724,PARRS FOODS LTD,,YO11 3YS,Not Available
53.96253,-1.07844,MONK BAR CHOCOLATIERS LIMITED,www.monkbar.com,YO1 7LJ,Micro-entity accounts
53.79769,-1.54289,HOTEL CHOCOLAT LIMITED,www.hotelchocolat.co.uk,LS1 6JS,Group
53.95924,-1.06561,CHOC AFFAIR LTD,www.choc-affair.com,YO10 3DR,Total Exemption Small
54.13448,-0.79848,THE CHOCOLATE FACTORY (HUTTON LE HOLE) LIMITED,www.the-chocolate-factory.co.uk,YO17 7AW,Total Exemption Small
54.47011,-1.19287,CHUNK CHOCOLATES LTD,,TS9 5DQ,Not Available
53.58282,-1.00971,THE BLISS BAKERY LIMITED,,DN7 4GA,Not Available
53.72237,-1.86534,ORKAD LTD,,HX1 5AS,Not Available
53.63189,-1.70939,MINISTRY OF CHOCOLATE LTD,www.ministryofchocolate.com,HD8 0HT,Total Exemption Small
53.64995,-1.76364,ACORN P & D LTD,,HD5 9PX,Not Available
53.84679,-1.63287,THE MARSHMALLOWISTS LTD,,LS18 5PA,Total Exemption Small
54.23406,-0.41724,BONNET'S CHOCOLATES LTD,,YO11 3YS,Micro-entity accounts
