latitude,longitude,name,url,postcode,Registered_accounts_type
53.7836,-1.56968,JEITA FOODS (UK) LIMITED,,LS11 0DN,Not Available
53.77788,-1.59998,SPICE BY NATURE LIMITED,,LS12 6JB,Not Available
54.56148,-1.32643,JINGJING WINGS LIMITED,,TS18 4AP,Not Available
53.65438,-1.82574,PASTE 2 PERFECTION LIMITED,,HD3 3HR,Total Exemption Small
53.72822,-1.58278,CURRY CUISINE LIMITED,www.currycuisinecookeryschool.co.uk,WF3 1AQ,Micro-entity accounts
53.84787,-1.64983,HOT HEADZ LIMITED,www.trampoilskimmers.co.uk,LS18 5RN,Total Exemption Small
53.59567,-0.43674,VERY CHILLI LIMITED,www.verychilli.com,DN20 0RB,Not Available
53.77473,-0.33349,MISTRY & CO. LIMITED,www.mistryandco.com,HU7 0XQ,Total Exemption Small
53.83656,-1.54262,BOMBAY STREET LIMITED,www.bombaystreetuk.com,LS17 5NU,Not Available
53.81387,-1.52073,TROPICS FOOD UK LIMITED,,LS8 5AN,Total Exemption Small
53.4276,-1.11703,POPPA G'S LTD,,DN11 9RE,Not Available
53.73885,-0.33556,WILSONS SEASONINGS LIMITED,www.sausageseasonings.co.uk,HU1 1UD,Total Exemption Small
53.97864,-1.52081,TEKNORD LIMITED,,HG2 8PB,Total Exemption Small
54.02423,-0.72926,THE CHILLI JAM MAN LIMITED,,YO17 9LS,Total Exemption Small
53.92672,-1.37728,SIGMACRAFTS LTD,,LS22 6JP,Not Available
53.93786,-1.38181,GOLDEN FRY FOODS LIMITED,www.goldenfry.co.uk,LS22 7DW,Full accounts
53.91415,-0.9601,BRACKEN HILL FINE FOODS LIMITED,www.brackenhillfinefoods.co.uk,YO41 4AZ,
53.67842,-1.83297,NEW IVORY LIMITED,www.newivory.com,HX5 9JP,Full accounts
53.95837,-1.08177,VINEGARS & CO LIMITED,,YO1 8SU,Total Exemption Small
53.83524,-1.7814,AAGRAH FOODS LIMITED,www.aagrah.com,BD18 3HN,Total Exemption Small
53.62376,-1.81333,THE LENTIL SOUP COMPANY LIMITED,www.spiceisright.co.uk,HD4 7AR,Total Exemption Small
53.87265,-1.91636,THE BRADFORDIAN CHILLI COMPANY C.I.C.,,BD20 6JA,Total Exemption Small
53.80845,-1.53607,TROPICS FOOD UK LIMITED,,LS7 2BB,Total Exemption Small
53.6448,-1.76917,SHAWS (HUDDERSFIELD) LIMITED,www.shaws1889.com,HD5 9AF,Small company
53.603929,-1.795601,PECKISH KITCHEN COMPANY LIMITED,,HD9 6GD,Not Available
53.77137,-1.75323,DALESMAN (MIDLANDS) LIMITED,,BD5 8HW,Total Exemption Full
