latitude,longitude,name,url,postcode,Registered_accounts_type
53.83621,-1.76481,ARLA FOODS LIMITED,www.arlafoods.co.uk,BD18 1QG,Full accounts
53.76255,-1.50613,ARLA FOODS LIMITED,www.arlafoods.co.uk,LS10 1AB,Full accounts
53.683091,-1.504233,ARLA FOODS UK PLC,www.arla.com,WF1 2TQ,Full accounts
54.26751,-1.40729,SHEPHERD'S PURSE CHEESES LIMITED,www.shepherdspurse.co.uk,YO7 4DJ,Total Exemption Small
54.16634,-1.63591,WENSLEYDALE DAIRY PRODUCTS LIMITED,www.wensleydale.co.uk,HG4 3QD,Medium Company
53.93058,-1.98801,SIREBANK TRADING LTD,www.yellisons.co.uk,BD20 9HG,Total Exemption Small
53.8707,-1.88622,ARLA FOODS LIMITED,www.arlafoods.co.uk,BD21 4LW,Full accounts
53.73079,-1.71345,LA BAKE LIMITED,,BD19 4EW,Total Exemption Small
53.76255,-1.50613,ARLA FOODS FINANCE LIMITED,www.arlafoodsuk.com,LS10 1AB,Full accounts
53.97201,-1.07742,ARLA FOODS LIMITED,www.arlafoods.co.uk,YO31 8JN,Full accounts
53.62044,-1.12801,ELMFIELD (DONCASTER) LIMITED,,DN6 0HE,Total Exemption Small
53.89722,-0.21476,CHESTNUT DAIRIES LIMITED,,HU11 5RJ,Total Exemption Small
53.81148,-1.66967,ARLA FOODS LIMITED,www.arlafoods.co.uk,LS28 5ET,Full accounts
54.61646,-1.40175,TOM WALKER AND SONS LIMITED,www.tomwalker.co.uk,TS21 3HZ,Full accounts
53.76255,-1.50613,ARLA FOODS INGREDIENTS UK LIMITED,www.arlafoods.co.uk,LS10 1AB,Full accounts
53.64185,-1.82075,YORKSHIRE DAMA CHEESE LIMITED,,HD3 4JN,Not Available
53.67876,-1.51627,ARLA FOODS LIMITED,www.arlafoods.co.uk,WF2 9BL,Full accounts
53.6378,-1.79817,EASTERN CURRY HOUSE LIMITED,,HD1 3JJ,Not Available
54.52264,-1.56137,THE SWALEDALE CHEESE COMPANY LIMITED,www.swaledalecheese.co.uk,DL3 7EH,Total Exemption Small
53.84392,-0.8218,ST HELEN'S FARM LIMITED,www.sthelensfarm.co.uk,YO42 4NP,Full accounts
53.66966,-1.55151,FP PROCESSING LIMITED,,WF5 0HW,Total Exemption Small
53.85484,-1.59163,NUTRITOR LTD,,LS16 7NR,Not Available
53.84085,-0.78939,MEADOW FOODS LIMITED,www.meadowfoods.com,YO43 4AN,Full accounts
53.75056,-0.96042,THE DAIRY KICK COMPANY LIMITED,,DN14 7HU,Not Available
53.76255,-1.50613,MV INGREDIENTS LIMITED,www.milklink.com,LS10 1AB,Full accounts
53.90581,-1.36715,ARLA FOODS UK PLC,www.arla.com,LS23 6ER,Full accounts
54.5732,-1.19192,NORTH LAKES FOODS LIMITED,www.northlakesfoods.com,TS3 8BL,Total Exemption Small
53.78105,-1.80605,MISHRI FOODS LIMITED,,BD14 6LX,Total Exemption Small
53.84085,-0.78939,ARLA FOODS UK PLC,www.arla.com,YO43 4AN,Full accounts
53.76255,-1.50613,ARLA FOODS UK PLC,www.arla.com,LS10 1AB,Full accounts
53.76506,-0.45992,PHD NUTRITION LIMITED,www.phd-supplements.com,HU10 6DN,Full accounts
54.30583,-2.19436,THE RIBBLESDALE CHEESE COMPANY 1978 LIMITED,,DL8 3UZ,Total Exemption Small
53.717377,-1.881377,ARLA FOODS UK PLC,www.arla.com,HX1 3NT,Full accounts
53.49618,-1.35098,ARLA FOODS LIMITED,www.arlafoods.co.uk,S63 6LL,Full accounts
54.30185,-2.20035,WENSLEYDALE DAIRY PRODUCTS LIMITED,www.wensleydale.co.uk,DL8 3RN,Medium Company
53.95937,-2.02604,ARLA FOODS LIMITED,www.arlafoods.co.uk,BD23 1RT,Full accounts
54.42111,-1.36205,THE YOGHURT COMPANY LTD,,DL6 2LJ,Not Available
53.5824,-1.71218,YORKSHIRE FINE CHEESE LIMITED,www.yorkshirefinecheese.co.uk,HD8 8DF,Total Exemption Small
53.53401,-1.29923,ARLA FOODS LIMITED,www.arlafoods.co.uk,S63 9HT,Full accounts
53.90581,-1.36715,ARLA FOODS LIMITED,www.arlafoods.co.uk,LS23 6ER,Full accounts
53.72574,-2.0619,PEXTENEMENT CHEESE COMPANY LIMITED,www.pextenement.co.uk,OL14 8RW,Total Exemption Small
54.088815,-1.415783,PAYNES DAIRIES LIMITED,www.paynesdairies.co.uk,YO51 9LU,Full accounts
53.76568,-1.49662,ARLA FOODS UK PLC,www.arla.com,LS10 1AX,Full accounts
53.90203,-1.69305,ARLA FOODS LIMITED,www.arlafoods.co.uk,LS21 3HX,Full accounts
53.76255,-1.50613,MILK LINK PROCESSING LIMITED,www.milklink.com,LS10 1AB,Full accounts
54.40282,-1.72905,LACEYS CHEESE LIMITED,,DL10 4LD,Total Exemption Small
53.717398,-1.0857,DAIRY CREST LIMITED,www.dairycrest.co.uk,HX1 3NT,Full accounts
53.55019,-1.44991,ARLA FOODS LIMITED,www.arlafoods.co.uk,S71 1HT,Full accounts
54.41204,-1.7489,THE SWALEDALE CHEESE COMPANY LIMITED,www.swaledalecheese.co.uk,DL10 4TQ,Total Exemption Small
53.91157,-1.98876,BRONTE CHEESE LIMITED,,BD20 9BJ,Not Available
54.06824,-2.28398,ARLA FOODS LIMITED,www.arlafoods.co.uk,BD24 9AF,Full accounts
