latitude,longitude,name,url,postcode,Registered_accounts_type
53.67604,-1.49806,FIVE STAR FISH LIMITED,www.fivestarfish.co.uk,WF2 8EE,Full accounts
54.23406,-0.41724,GRIMES SHELLFISH LTD,,YO11 3YS,Total Exemption Small
54.09776,-0.1979,STORMY C FISHING LIMITED,,YO16 7PX,Total Exemption Small
53.73307,-0.37149,ROACH BROS (CURERS) LIMITED,www.roachbros.co.uk,HU3 4JH,Total Exemption Small
53.74663,-0.43136,THE HULL FISH COMPANY LIMITED,www.hullcleaningservices.com,HU10 7BY,Total Exemption Small
54.0813,-0.19228,SEATASTE (INTERNATIONAL) LIMITED,,YO15 3AN,Total Exemption Small
54.47134,-0.59573,WHITBY SEAFOODS LIMITED,www.whitby-seafoods.com,YO22 4PU,Group
54.07576,-1.73879,BLEIKER'S SMOKE HOUSE LIMITED,www.bleikers.co.uk,HG3 5QH,Full accounts
53.74517,0.01045,G.W.S. SEAFOODS LIMITED,www.gwsseafoods.co.uk,HU19 2BJ,Total Exemption Small
54.28316,-0.39179,F. SMALES & SON (FISH MERCHANTS) LIMITED,www.smales.co.uk,YO11 1PD,Full accounts
53.73476,-0.35931,SEAFISH U.K. LIMITED,www.seafishuk.co.uk,HU3 4AN,Group
53.80625,-1.71375,INTERNATIONAL SEAFOODS LIMITED,www.morrisons.co.uk,BD3 7DL,Full accounts
53.73476,-0.35931,EUROPEAN SEAFOODS LIMITED,www.sheltie.co.uk,HU3 4AN,Total Exemption Small
53.91599,-0.30707,STARCARR LAKES LIMITED,,YO25 8QE,Not Available
54.08625,-0.20052,J. FANSHAW LIMITED,,YO16 4JB,Total Exemption Small
54.27883,-0.41062,THE YORKSHIRE LOBSTER COMPANY LIMITED,,YO12 5ED,Not Available
53.80091,-1.69928,WILLIAM HOBSON LIMITED,www.hobsonsfish.co.uk,LS28 8EX,Total Exemption Small
53.71967,-0.4594,ICE FRESH SEAFOOD LIMITED,www.samherji.is,HU13 0LH,Full accounts
54.06776,-1.50423,BLEIKER'S SMOKE HOUSE LIMITED,www.bleikers.co.uk,HG3 3RS,Full accounts
53.73137,-0.36756,F. SMALES & SON (FISH MERCHANTS) LIMITED,www.smales.co.uk,HU3 4HL,Full accounts
53.79187,-1.62023,PICK FISK LIMITED,www.pickfisk.co.uk,LS12 5AT,Full accounts
53.73282,-0.36938,THREE OCEANS FISH COMPANY LIMITED,www.3oceans.co.uk,HU3 4TT,Full accounts
54.26434,-0.4137,EDWIN JENKINSON LIMITED,www.edwinjenkinson.co.uk,YO11 2YH,Total Exemption Small
53.82965,-1.77978,PAPAS DINNER LIMITED,,BD18 3BY,Not Available
