latitude,longitude,name,url,postcode,Registered_accounts_type
53.79324,-1.57003,NAZA LIMITED,,LS12 1YJ,Not Available
53.95417,-1.08472,BLUEBIRD BAKERY LTD,,YO1 6HG,Not Available
53.698796,-1.159574,JAS BOWMAN & SONS LIMITED,www.bowmaningredients.co.uk,DN14 0LH,Group
53.95432,-1.10966,HOLGATE WINDMILL PRESERVATION SOCIETY,www.holgatewindmill.org,YO24 4JA,Total Exemption Small
54.00406,-1.44897,THE FRANK FOOD COMPANY LIMITED,www.thefrankfoodcompany.com,HG5 8LF,Total Exemption Small
54.17974,-1.49951,YORKSHIRE CEREALS LTD,,HG4 5EJ,Not Available
53.7972,-0.92467,THE BRECKS COMPANY LIMITED,www.brecksfood.com,YO8 6DH,Group
53.51236,-1.14155,TILDA LIMITED,www.tilda.com,DN4 0RA,Full accounts
53.4787,-0.58747,TRUE LOAF BAKERY LTD,www.trueloafbakery.co.uk,DN21 4NH,Total Exemption Small
53.99522,-0.43087,E.B.BRADSHAW & SONS,LIMITED,,YO25 6XL,Full accounts
53.75103,-0.33367,MAIZECOR FOODS LIMITED,www.maizecor.co.uk,HU2 0HB,Small company
53.95833,-1.11323,HOLGATE WINDMILL PRESERVATION SOCIETY,www.holgatewindmill.org,YO26 4UE,Total Exemption Small
53.96534,-1.30647,THE CEREAL CLUB LIMITED,,YO26 7QF,Not Available
54.14843,-1.35273,QUOATS LIMITED,,YO61 2RN,Total Exemption Small
