latitude,longitude,name,url,postcode,Registered_accounts_type
53.73255,-0.5739,BLUE MOON MEATS LIMITED,,HU15 1AH,Not Available
53.70625,-1.38792,FORZA AW LIMITED,www.ipl-ltd.com,WF6 1TN,Full accounts
53.80032,-1.76941,WEST YORKSHIRE MEAT SUPPLIERS LIMITED,,BD8 8DR,Not Available
53.80555,-1.77916,FATIMA'S SAMOSAS LIMITED,,BD8 8QQ,Not Available
53.54956,-0.47286,LADYBIRD FOODS LTD,,DN20 9HD,Total Exemption Small
53.77423,-1.75658,K&M CATERING BUTCHERS LIMITED,,BD5 8DY,Not Available
53.66369,-1.79301,DEBRIAR LIMITED,www.debriar.co.uk,HD2 2SH,Total Exemption Small
54.137457,-1.522434,VOAKES PIES LIMITED,www.voakespies.co.uk,HG4 1XW,Total Exemption Small
54.29255,-1.44838,NEWBY FOODS LIMITED,www.newbyfoods.com,DL7 9ER,Full accounts
53.71583,-1.38646,PETER'S FOOD SERVICE LIMITED,www.petersfood.co.uk,WF10 5NP,Full accounts
53.77615,-0.33642,POTTERDALE FOODS LIMITED,www.cranswick.co.uk,HU7 0YW,Full accounts
53.75878,-1.9075,J MALLINSON LTD,www.thecross.plus.com,HX2 8UL,Total Exemption Small
53.6537,-1.82063,COUNTRY PARK FOODS LIMITED,www.newsholmes.co.uk,HD3 4BZ,Full accounts
53.67604,-1.49806,JOHN RANNOCH LIMITED,,WF2 8EE,Full accounts
53.99127,-1.51931,J E AUDSLEY LTD,,HG2 8LT,Total Exemption Small
54.02567,-1.32035,VOAKES FREE FROM LIMITED,,YO26 8AY,Total Exemption Small
54.09949,-1.39531,RUSSELL HUME LIMITED,www.russellhume.com,YO51 9BL,Group
54.00611,-0.43835,T SOANES & SON (POULTRY) LTD,www.soanespoultry.co.uk,YO25 6LL,Total Exemption Small
53.94571,-2.01691,WILSON SON & DAUGHTERS LIMITED,,BD23 2QR,Total Exemption Small
54.25412,-1.18474,TASTE TRADITION LIMITED,www.tastetraditiondirect.co.uk,YO7 2HL,Total Exemption Small
53.79213,-1.54494,FORZA AW LIMITED,www.ipl-ltd.com,LS11 5AD,Full accounts
54.00196,-1.53754,FRANK WOOD (BUTCHERS) LIMITED,,HG1 5HY,Total Exemption Small
54.16498,-1.49518,TASTE TRADITION LIMITED,www.tastetraditiondirect.co.uk,HG4 5BF,Total Exemption Small
53.78401,-1.71607,ERIC RICHMOND LIMITED,,BD4 8NZ,Total Exemption Small
53.93376,-0.55859,T SOANES & SON (POULTRY) LTD,www.soanespoultry.co.uk,YO25 9UG,Total Exemption Small
53.81788,-0.92161,J A MOUNFIELD & SON LIMITED,www.mounfieldbutchersbubwith.co.uk,YO8 6LS,Total Exemption Small
53.74643,-1.86407,ROBINSON MITCHELL LIMITED,www.robinsonmitchell.co.uk,HX3 6UF,Small company
54.01109,-0.381,HOLMES POULTRY LIMITED,,YO25 8NN,Total Exemption Small
53.7968,-1.87235,ROBINSON MITCHELL LIMITED,www.robinsonmitchell.co.uk,BD13 3SG,Small company
53.67604,-1.49806,LLOYD MAUNDER LIMITED,www.2sfg.com,WF2 8EE,Full accounts
53.67604,-1.49806,BOPARAN FOODS LIMITED,,WF2 8EE,Full accounts
53.97377,-1.13381,THE YORK PIE COMPANY LTD,,YO26 6GA,Total Exemption Small
53.69376,-1.82876,DEBRIAR LIMITED,www.debriar.co.uk,HX5 9HB,Total Exemption Small
53.86502,-0.67042,KINGSWOOD MEATS LTD.,,YO43 3FH,Total Exemption Small
54.30633,-1.55963,VALE OF MOWBRAY LIMITED,www.valeofmowbray.co.uk,DL7 9AW,Medium Company
53.75402,-1.44502,HOWGATE & FARRAR OF WOODLESFORD LIMITED,www.howgateandfarrar.co.uk,LS26 8LQ,Total Exemption Small
53.7226,-1.87944,EAST WEST CATERING LIMITED,www.eastwestcatering.co.uk,HX1 5JE,Total Exemption Small
54.56101,-0.98237,PETER F. SHORT (BUTCHERS) LIMITED,,TS12 2EA,Total Exemption Small
54.17424,-1.48283,MASHAM SAUSAGES AND BURGERS LIMITED,,HG4 5GZ,Total Exemption Small
53.59927,-0.6795,OSI FOOD SOLUTIONS UK LIMITED,www.osi-foodsolutions.co.uk,DN15 8LP,Full accounts
53.5219,-1.13258,PAPPAS ORIGINAL PIZZA LTD,,DN1 3LW,Total Exemption Small
53.67078,-1.23427,DALQUINTO LIMITED,,WF8 3DD,Small company
53.61244,-0.22317,BURY LIMITED,www.davidbury.co.uk,DN40 1NJ,Full accounts
53.77615,-0.33642,MULBERRY HOUSE FOODS LIMITED,www.cranswick.co.uk,HU7 0YW,Full accounts
53.70625,-1.38792,KOBER LIMITED,,WF6 1TN,Full accounts
53.97548,-1.56692,GS GROUP (UK) LIMITED,,HG3 1GY,Group
53.86941,-1.90881,YORKSHIRE HALAL MEAT SUPPLIER LIMITED,,BD21 3JD,Total Exemption Small
53.42781,-1.02142,NORWOOD RENDERING SERVICES LIMITED,,DN10 6JH,Not Available
53.78886,-1.73461,YPP REALISATIONS LIMITED,www.yorkshirepoultry.com,BD3 9RD,Full accounts
53.53949,-1.0383,PARAGON QUALITY FOODS LTD,www.paragonqualityfoods.com,DN3 3FB,Full accounts
54.54613,-1.73433,TEES VIEW LIMITED,www.teesview.co.uk,DL2 3DX,Total Exemption Small
53.78849,-1.50029,TURKA DONER LIMITED,www.turkadoner.co.uk,LS9 0SH,Total Exemption Small
53.7911,-1.74489,PAKEEZAH MEAT SUPPLIES LIMITED,www.pakeezah.com,BD1 5LL,Total Exemption Small
