latitude,longitude,name,url,postcode,Registered_accounts_type
53.99998,-0.46238,YORKSHIRE WOLD SAUSAGES LIMITED,,YO25 9DJ,Micro-entity accounts
53.89059,-2.033529,AFRIKA PRODUCTS LIMITED,,BD22 0NU,Not Available
53.67078,-1.23427,EXTRA DETAIL LIMITED,,WF8 3DD,Group
54.13242,-0.77276,KARRO FOOD STOKE LIMITED,www.karro.co.uk,YO17 9HG,Full accounts
53.82342,-0.84892,PALEO JERKY LIMITED,,YO8 6PX,Not Available
53.79679,-1.53848,R. HEY & SONS (DEWSBURY) LIMITED,www.heystripe.com,LS2 7HW,Total Exemption Small
53.67301,-1.25663,YORKSHIRE GAME LIMITED,www.yorkshiregame.co.uk,WF8 3BT,Total Exemption Small
54.13242,-0.77276,KARRO FOOD FROZEN LIMITED,www.karro.co.uk,YO17 9HG,Full accounts
53.7375,-0.84266,ANNA'S HAPPY TROTTERS LIMITED,www.annashappytrotters.com,DN14 7TJ,Total Exemption Small
53.77603,-1.77173,OSSETT ABATTOIR SERVICES LIMITED,,BD5 9EH,Total Exemption Small
53.58995,-1.30994,GA INTERNATIONAL FOOD SERVICES LIMITED,www.georgeabrahams.co.uk,WF9 3AP,Full accounts
54.393,-1.65713,YORKSHIRE GAME 17 LIMITED,,DL10 7SN,Not Available
54.03555,-1.294,HOLME FARMED VENISON (PRODUCE) LIMITED,www.hfv.co.uk,YO26 9SR,Total Exemption Small
54.32082,-1.65005,YORKSHIRE DALES MEAT COMPANY LTD,www.yorkshiredalesmeat.co.uk,DL8 1JY,Total Exemption Small
53.79308,-1.22828,HOLME FARMED VENISON (PRODUCE) LIMITED,www.hfv.co.uk,LS25 6PD,Total Exemption Small
53.81705,-1.5173,MCTURK CATERING SUPPLIES LIMITED,www.mcturks.co.uk,LS8 4HS,Total Exemption Small
53.71428,-0.95203,OLLEY AND OLLEY LIMITED,,YO8 8PS,Micro-entity accounts
53.5219,-1.13258,KINGDOM QUALITY FOODS LTD,,DN1 3LW,Total Exemption Small
54.393,-1.65713,YORKSHIRE GAME LIMITED,www.yorkshiregame.co.uk,DL10 7SN,Total Exemption Small
53.69784,-1.63266,R. HEY & SONS (DEWSBURY) LIMITED,www.heystripe.com,WF13 2BE,Total Exemption Small
54.30667,-2.13137,MCINTYRE MEATS LIMITED,www.mcintyremeats.co.uk,DL8 3EP,Total Exemption Small
53.68459,-1.53964,KEPAK U.K. LIMITED,www.kepak.com,WF2 9LP,Full accounts
53.60845,-0.66442,NEW CENTURY FOODS LIMITED,www.newcenturyfoods.co.uk,DN15 8QW,Full accounts
53.75633,-0.2039,CRANSWICK COUNTRY FOODS PLC,www.cranswick.co.uk,HU12 8TB,Full accounts
53.63813,-1.78488,DAMIKA LIMITED,www.damikaltd.co.uk,HD1 3RR,Full accounts
53.78927,-1.76831,SHIMLAS KITCHEN LIMITED,,BD7 1PS,Not Available
54.21957,-1.42175,MACHIN YORKSHIRE LAMB LTD,,YO7 4EH,Total Exemption Small
53.76361,-0.35107,KALISIA MEAT PRODUCTS LIMITED,,HU5 1LN,Not Available
53.99151,-0.56598,THE YORKSHIRE WAGYU COMPANY LIMITED,www.yorkshirewagyucompany.co.uk,YO25 9JZ,Total Exemption Small
53.99541,-1.22069,NEW WORLD FOODS (EUROPE) LIMITED,www.newworldfoods.com.au,YO26 8LA,Total Exemption Small
53.59241,-1.28514,ZWANENBERG FOOD UK LIMITED,www.thebigkitchen.org,WF9 2JA,Group
54.5584,-1.35397,G A STADLER & CO LIMITED,,TS18 5LB,Total Exemption Small
53.92664,-1.81798,ROWLAND AGAR (SLAUGHTERING CONTRACTORS) LIMITED,www.threedales.co.uk,LS29 8HX,Total Exemption Small
53.56041,-0.0774,P R SHARP LIMITED,,DN32 9QB,Total Exemption Small
53.8363,-1.7928,H.R.JASPER & SON LIMITED,www.jasperslamb.co.uk,BD18 4LY,Full accounts
53.66341,-1.09375,RM KEALEY FARMER & BUTCHER LTD,,DN14 0ES,Micro-entity accounts
53.68459,-1.53964,BRITISH BEEF COMPANY LIMITED,www.kepak.com,WF2 9LP,Micro-entity accounts
54.5737,-1.29301,G A STADLER & CO LIMITED,,TS18 2NH,Total Exemption Small
54.13242,-0.77276,KARRO FOOD LIMITED,www.karro.co.uk,YO17 9HG,Full accounts
53.67784,-1.62654,MUNSHI'S HALAL (DEWSBURY) LIMITED,www.munshis-halal.co.uk,WF12 9BG,Total Exemption Small
53.80606,-1.78689,PRINCE DONOR KEBABS MANUFACTURERS LTD,,BD9 5ER,Total Exemption Small
53.70947,-1.68865,SANDRIDGE FARMHOUSE BACON LIMITED,www.sandridgebacon.co.uk,WF15 6JQ,Total Exemption Small
53.5219,-1.13258,LEO'S CATERING BUTCHERS LIMITED,,DN1 3LW,Not Available
54.14364,-1.46293,OLLEY AND OLLEY LIMITED,,HG4 5DF,Micro-entity accounts
53.77615,-0.33642,CRANSWICK COUNTRY FOODS PLC,www.cranswick.co.uk,HU7 0YW,Full accounts
54.13344,-1.09073,MACHIN YORKSHIRE LAMB LTD,,YO61 4RW,Total Exemption Small
53.87599,-1.041539,A TRAVES & SON LIMITED,,YO19 6TP,Total Exemption Small
