latitude,longitude,name,url,postcode,Registered_accounts_type
53.98005,-1.13268,VISTULA INVESTMENT LIMITED,,YO26 6RW,Not Available
53.90776,-1.40472,WHARFE VALLEY FARMS LIMITED,www.wharfevalleyfarms.co.uk,LS22 5BA,Total Exemption Small
53.77137,-1.75323,GORDON RHODES & SON,,BD5 8HW,Not Available
54.3501,-1.44813,THE KERFOOT GROUP LIMITED,www.kerfootgroup.co.uk,DL6 2XA,Group
53.9772,-1.12997,NATURES CROPS INTERNATIONAL LIMITED,www.techcrops.com,YO26 6RB,Group
54.08376,-0.193,GOLD FROM THE WOLD LIMITED,www.goldfromthewold.com,YO15 2AE,Total Exemption Small
53.74627,-0.26977,AAK (UK) LIMITED,www.aak-uk.com,HU9 5PX,Full accounts
53.697264,-0.876144,THE KERFOOT GROUP LIMITED,www.kerfootgroup.co.uk,DN14 5TA,Group
53.5337,-1.13797,NORTECH FOODS LIMITED,www.nortechfoods.co.uk,DN5 9TL,Full accounts
53.7781,-0.66438,BROCKLESBY LIMITED,www.brocklesby.org,HU15 2PG,Full accounts
53.52373,-0.42138,P.B.C. ENTERPRISES LIMITED,,LN7 6JZ,Total Exemption Small
54.13485,-1.52163,NM DEVELOPMENTS LTD,,HG4 1PE,Total Exemption Small
53.77137,-1.75323,GORDON RHODES LIMITED,www.gordonrhodes.co.uk,BD5 8HW,Total Exemption Full
53.68129,-0.33179,CAINCO LIMITED,,DN19 7JN,Total Exemption Small
53.69859,-0.88558,OLAM FOOD INGREDIENTS UK LIMITED,www.olamgroup.com,DN14 6ES,Full accounts
