latitude,longitude,name,url,postcode,Registered_accounts_type
53.93535,-0.40064,ICECO EUROPE LIMITED,www.bluekeld.co.uk,YO25 9RE,Small company
53.71905,-0.4239,AUNT BESSIE'S LIMITED,www.auntbessies.co.uk,HU13 0DZ,Full accounts
53.58995,-1.30994,THE ICE CO LONDON LIMITED,www.theiceco.co.uk,WF9 3AP,Small company
53.93833,-1.37946,FILMORE AND UNION (HQ) LIMITED,www.filmoreandunion.co.uk,LS22 7TW,Total Exemption Small
53.75401,-1.66217,ASTON FOOD MANAGEMENT LTD,,BD11 1EX,Micro-entity accounts
53.61305,-0.46739,THE PASTRY ROOM LTD,www.thepastryroom.co.uk,DN20 0NH,Total Exemption Small
53.52902,-1.1356,THE TOPPING PIE COMPANY LIMITED,www.toppingspies.co.uk,DN1 2RF,Total Exemption Small
53.79015,-1.71894,ARCADIA FOOD INDUSTRIES LIMITED,www.famos.co.uk,BD4 8AJ,Small company
54.43247,-1.46303,TSW BUSINESS DEVELOPMENT LIMITED,,DL6 2EX,Total Exemption Small
54.47976,-1.63198,THE HONEYBCOMPANY LTD,,DL10 6HQ,Total Exemption Small
53.71894,-1.85184,NESTLE UK LTD.,www.nestle.co.uk,HX3 9XT,Full accounts
53.58707,-0.65338,INNER KITCHEN LIMITED,,DN15 7PA,Not Available
54.57305,-1.2361,GC CONES LIMITED,,TS1 2JN,Total Exemption Small
54.46189,-1.18131,MARLOW FOODS LIMITED,www.cauldronfoods.co.uk,TS9 7AB,Group
53.74297,-0.33774,FRIPURA LIMITED,www.fripura.com,HU1 2LD,Total Exemption Small
54.12551,-0.81859,THE TOFOO COMPANY LIMITED,www.clearspottofu.co.uk,YO17 6YD,Total Exemption Small
54.22116,-1.72365,ROSEBUD PRESERVES LIMITED,www.rosebudpreserves.co.uk,HG4 4LH,Total Exemption Small
53.81527,-1.54352,EXCELLENT FOOD COMPANY YORKSHIRE LIMITED,www.xfoodco.com,LS7 2DF,Total Exemption Small
53.58296,-1.1813,G PEEL LIMITED,,DN6 8DP,Total Exemption Small
