latitude,longitude,name,url,postcode,Registered_accounts_type
53.91694,-1.3204,OPENFIELD AGRICULTURE LIMITED,,LS23 7BJ,Full accounts
53.43167,-1.02189,EASTFIELD PROCESS EQUIPMENT LTD,,DN10 6TF,Total Exemption Small
53.99998,-0.46238,JAMES MORTIMER,LIMITED,,YO25 9DJ,Full accounts
54.00362,-0.43721,YORKSHIRE GRAIN LIMITED,,YO25 6PS,Small company
53.85945,-0.65884,P & M KENDRA MARKET WEIGHTON LIMITED,,YO43 3DB,Total Exemption Small
54.12677,-1.24229,ARGRAIN LIMITED,,YO61 3LB,Medium Company
53.67916,-0.72414,HENSON & JACKSON RETAIL LIMITED,,DN14 8HU,Total Exemption Small
53.75659,-0.09807,J & A SMALES LIMITED,,HU12 9DJ,Not Available
53.78267,-1.06708,WALKER GRAIN STORAGE LIMITED,,YO8 4PW,Total Exemption Small
53.71902,-0.15625,FIELD GRADE LIMITED,,HU12 9NQ,Total Exemption Small
54.48843,-0.7749,J P FLOYD LIMITED,,YO21 2BQ,Micro-entity accounts
54.00258,-0.4243,GRAIN CARE LIMITED,,YO25 5PE,Total Exemption Small
53.95402,-1.09603,CAMPBELL & PENTY LIMITED,,YO24 4AB,Small company
54.52956,-1.55966,RMD (AGRICULTURE) LTD,,DL3 6BQ,Total Exemption Small
54.48376,-1.56164,RMD (AGRICULTURE) LTD,,DL2 2SW,Total Exemption Small
53.51404,-0.09539,ARCADIA TRADING EUROPE LIMITED,,DN37 0HD,Total Exemption Small
53.62584,-1.15194,CANAAN COUNTRY LIMITED,,DN6 0ES,Total Exemption Small
53.99998,-0.46238,HEADLEY STRAW LIMITED,,YO25 9DJ,Not Available
53.58707,-0.65338,CF AGRI LTD,,DN15 7PA,Total Exemption Small
54.27652,-1.49352,HFM LIMITED,,DL7 9PG,Total Exemption Small
53.94553,-1.22716,UNITED POTATO FARMERS LIMITED,,YO26 7LL,Total Exemption Small
53.60665,-0.41879,ARUNDEL KERR PRODUCE (EAST ANGLIA) LIMITED,,DN20 0SQ,Total Exemption Small
53.52591,-1.13091,FIRST CHOICE FERTILISERS LTD,,DN1 1LP,Not Available
53.43167,-1.02189,PG AGRICULTURAL LTD.,,DN10 6TF,Micro-entity accounts
54.07816,-1.19484,MUNFORD HAULAGE LIMITED,,YO61 1RB,Total Exemption Small
53.68097,-1.11749,NORTHERN STRAW CO. LIMITED,,DN14 0BL,Small company
54.18898,-1.50902,NORTHERN PRODUCE LIMITED,,HG4 5JE,Total Exemption Small
