latitude,longitude,name,url,postcode,Registered_accounts_type
53.78629,-1.72839,GLOBAL HALAL FOODS UK LIMITED,www.global-foods.co.uk,BD4 8SX,Small company
53.6767,-1.86316,MEDINA GROUP LIMITED,,HX4 9BH,Not Available
53.67604,-1.49806,CHALLENGER FOODS LIMITED,www.2sfg.com,WF2 8EE,Full accounts
53.81684,-1.5157,NORTHERN HALAL MEAT AND POULTRY LIMITED,,LS8 5BG,Total Exemption Small
53.74407,-1.90678,HALIFAX FARM MEATS LTD,,HX2 0TR,Not Available
54.08889,-1.67042,NIDDERDALE POULTRY PRODUCTS LIMITED,,HG3 5EY,Total Exemption Small
53.64106,-1.80276,PAK POULTRY PRODUCTS LIMITED,www.pakpoultry.com,HD1 4SD,Total Exemption Small
54.22089,-1.08585,D. RUSSELL LIMITED,,YO62 5EH,Total Exemption Small
54.57591,-1.28841,MEAT ZONE UK LIMITED,www.meatzone.co.uk,TS18 2SL,Total Exemption Small
53.82662,-1.90246,HCF POULTRY LIMITED,www.hcfpoultry.co.uk,BD13 5HP,Full accounts
