latitude,longitude,name,url,postcode,Registered_accounts_type
54.53265,-1.52546,C M VARLEY & CO LIMITED,www.cmvarley.co.uk,DL1 2RL,Full accounts
53.95157,-0.44775,FORFARMERS UK LIMITED,www.bocmpauls.co.uk,YO25 9PF,Full accounts
53.5337,-1.13797,SARVAL (HARTSHILL) LIMITED,www.pdm-group.co.uk,DN5 9TL,Full accounts
53.97722,-1.52225,CLEARPOINT ANIMAL FEEDS LIMITED,,HG2 8QT,Not Available
53.7781,-0.66438,ADAMS AND GREEN LIMITED,www.adamsandgreen.com,HU15 2PG,Full accounts
53.87519,-0.83512,NORTHERN CROP DRIERS LIMITED,www.northerncropdriers.co.uk,YO42 4SS,Total Exemption Small
54.17318,-1.36164,PROVIMI LIMITED,www.provimi.co.uk,YO7 3HE,Full accounts
53.6055,-1.78872,KEITH DRAKE LIMITED,,HD9 6PQ,Total Exemption Small
53.83988,-0.40088,WITHERNAY LIMITED,,HU17 0LF,Total Exemption Small
54.43396,-1.49304,OWENS GROUSE GRIT LIMITED,,DL6 2NF,Total Exemption Small
53.77333,-1.79889,KEITH DRAKE LIMITED,,BD7 4PF,Total Exemption Small
53.5337,-1.13797,SARVAL LIMITED,www.saria.co.uk,DN5 9TL,Full accounts
54.02087,-0.66616,AB AGRI LIMITED,www.abagri.com,YO25 9RT,Full accounts
53.79581,-1.22809,AB AGRI LIMITED,www.abagri.com,LS25 6JZ,Full accounts
54.21857,-1.65688,I'ANSON BROS LIMITED,www.ianson.co.uk,HG4 4JB,Full accounts
53.75176,-0.14611,FORFARMERS UK LIMITED,www.bocmpauls.co.uk,HU12 9HD,Full accounts
54.13473,-1.40356,A.ONE FEED SUPPLEMENTS LIMITED,www.a-one.co.uk,YO7 3DH,Full accounts
53.71286,-1.34819,JAMES & SON (GRAIN MERCHANTS) LIMITED,www.james-son.co.uk,WF10 4UA,Full accounts
53.95245,-0.24436,MANOR FARM FEEDS LIMITED,,YO25 8EG,Total Exemption Small
53.77928,-1.24917,AB AGRI LIMITED,www.abagri.com,LS25 5AA,Full accounts
54.43396,-1.49304,OWENS NUTRITION LIMITED,www.owensnutrition.co.uk,DL6 2NF,Total Exemption Small
53.43213,-1.09086,RYTON FEEDS LIMITED,www.tornevalley.co.uk,DN11 9EX,Total Exemption Small
54.4611,-1.18017,DALLASKEITH LIMITED,www.dallaskeith.co.uk,TS9 5GB,Total Exemption Small
53.95157,-0.44775,AB AGRI LIMITED,www.abagri.com,YO25 9PF,Full accounts
53.668,-1.84277,PENNINE FEEDS LIMITED,,HD3 3SZ,Total Exemption Small
53.67371,-1.64884,BROFEEDS LIMITED,,WF12 9EE,Total Exemption Small
53.7092,-1.89993,MEARCLOUGH FARM FEEDS & FARM SERVICES LTD,,HX6 3LF,Total Exemption Small
53.924,-0.80023,MO-TOX LIMITED,,YO42 1NR,Total Exemption Small
53.72683,-1.98349,LLOYD'S (ANIMAL) FEEDS LIMITED,www.lloydsanimalfeeds.com,HX7 5HQ,Full accounts
53.78765,-1.05046,FORFARMERS UK LIMITED,www.bocmpauls.co.uk,YO8 5AF,Full accounts
53.87457,-0.83012,WITHERNAY LIMITED,,YO42 4NF,Total Exemption Small
53.924,-0.80023,TOP FORM NUTRITION LIMITED,,YO42 1NR,Total Exemption Small
53.5337,-1.13797,SECANIM LIMITED,www.pdm-group.co.uk,DN5 9TL,Full accounts
54.223,-1.66638,W.E. JAMESON AND SON LIMITED,www.wejameson.co.uk,HG4 4EL,Full accounts
53.58373,-0.12926,JOHN E.HAITH LIMITED,www.haiths.com,DN37 9TU,Total Exemption Small
54.18422,-1.05897,IAN MOSEY (FEED) LIMITED,www.ianmosey.com,YO62 4JH,Full accounts
53.58008,-0.10175,UNITED FISH INDUSTRIES (UK) LIMITED,www.iaws.ie,DN31 2SL,Full accounts
53.71479,-1.55665,LEAFIELD FEEDS LIMITED,www.leafieldfeeds.co.uk,WF3 2LB,Full accounts
