latitude,longitude,name,url,postcode,Registered_accounts_type
53.93217,-0.78424,PERSONAL CUISINE LIMITED,,YO42 2DP,Not Available
53.79247,-1.77307,MUMTAZ FOOD PRODUCTS LIMITED,www.mumtazonline.co.uk,BD7 1ND,Group
53.79736,-1.76374,RAJA'S FOOD LIMITED,www.rajas.co.uk,BD1 2RX,Total Exemption Small
53.77353,-1.58688,TROY FOODS (SALADS) LIMITED,www.troyfoods.co.uk,LS12 6DX,Full accounts
53.67947,-1.62677,THE SANDWICH CLUB LTD,,WF12 9DB,Not Available
53.79603,-1.76431,FOODELICIOUS LTD,,BD1 2HQ,Not Available
54.58551,-1.24328,FOOD NETWORK CORPORATION LIMITED,www.food-network.co.uk,TS2 1PU,Total Exemption Small
54.17288,-0.71808,THE YORKSHIRE PUDDING PIE COMPANY LTD,,YO17 8JU,Not Available
53.99999,-1.45314,TRUEFOODS INTERNATIONAL LIMITED,,HG5 8NZ,Not Available
53.60658,-0.66252,ABBEYDALE FOOD GROUP LIMITED,www.abbeydalefoodgroup.co.uk,DN15 8QJ,Group
53.94342,-2.04174,BANCROFT LENTIL LIMITED,,BD23 3DD,Total Exemption Small
53.81055,-1.51924,FOGG LTD,,LS8 5LW,Not Available
53.79247,-1.77307,MUMTAZ FOODS PLC,www.mumtaz.com,BD7 1ND,Full accounts
54.14819,-0.8409,THE BARBELL BISTRO LIMITED,,YO17 6SN,Not Available
53.81637,-1.78787,FUELBOX NUTRITION LTD,,BD9 4BY,Not Available
53.5722,-1.66098,CHAPEL FOODS LIMITED,www.chapelfoods.co.uk,HD8 8QH,Full accounts
53.67604,-1.49806,ETHNIC CUISINE LIMITED,www.ethniccuisine.co.uk,WF2 8EE,Full accounts
53.92395,-1.58668,THE RURAL FOOD COMPANY LTD,,LS17 0EA,Not Available
53.88318,-1.26094,SARAH BROWNRIDGE,www.sarahbrownridge.co.uk,LS24 9SB,Not Available
53.99999,-1.45314,TRUEFOODS EUROPE LIMITED,,HG5 8NZ,Not Available
53.98005,-1.13268,RETAINED 1ST LIMITED,,YO26 6RW,Total Exemption Small
53.76219,-0.9392,FEEL FREE FOODS LIMITED,,YO8 6EL,Not Available
53.97709,-1.11058,BARE MINIMUM LIMITED,,YO30 5PA,Not Available
54.30799,-1.56642,THE YORKSHIRE PROVENDER LTD,www.yorkshireprovender.co.uk,DL7 9EE,Total Exemption Small
53.581421,-0.123077,BAKKAVOR FOODS LIMITED,www.bakkavor.com,DN37 9SY,Full accounts
54.57098,-1.23116,AROMA TEESSIDE LIMITED,,TS1 3DT,Not Available
53.57525,-0.11793,ICELANDIC GROUP UK LIMITED,www.icelandic-group.co.uk,DN31 2TG,Full accounts
54.57158,-1.18298,JEFF THE CHEF FOODS LIMITED,www.jeffthecheffoodsltd.co.uk,TS6 6DU,Total Exemption Small
53.74443,-1.68721,PICNIC IN THE PARK LTD,,BD11 2PQ,Not Available
53.5114,-1.12551,KINGASIA FOODS LIMITED,www.kingasia.co.uk,DN4 5JJ,Medium Company
53.78214,-0.41986,OLIVE SPICE AND DRINKS LIMITED,,HU16 4BQ,Not Available
53.68703,-1.72293,BLITZED SOUP LTD,,WF14 0BY,Total Exemption Small
53.89155,-1.23934,SARAH BROWNRIDGE,www.sarahbrownridge.co.uk,LS24 8EA,Not Available
53.77609,-0.326,EAST COAST KITCHENS LIMITED,,HU7 0XF,Micro-entity accounts
53.8466,-1.63247,BUSSY'S FISH BAR LIMITED,,LS18 5NT,Total Exemption Small
54.54834,-1.31176,STARR & STYLE LTD,www.lunch2you.org,TS18 3BL,Micro-entity accounts
53.99999,-1.45314,TRUE FOODS LTD,www.true-foodsltd.co.uk,HG5 8NZ,Total Exemption Small
53.78596,-1.75746,MEDINA FOOD GROUP LIMITED,www.medinafoods.co.uk,BD5 0SG,Total Exemption Small
53.55231,-0.67576,CHAPEL FOODS LIMITED,www.chapelfoods.co.uk,DN17 2AY,Full accounts
54.19533,-1.4004,APETITO LIMITED,www.apetito.co.uk,YO7 3SE,Full accounts
53.89837,-1.62056,INDIAN TIFFIN BITES LIMITED,,LS21 1TY,Total Exemption Small
54.52987,-1.55314,PIZZA BOX NARIMAN LTD,,DL1 1TZ,Not Available
53.97548,-1.56692,PAKEEZAH GOURMET LIMITED,,HG3 1GY,Total Exemption Small
54.572544,-1.201273,GREENCORE FOOD TO GO LIMITED,www.greencore.com,TS3 8DD,Full accounts
53.82798,-1.57818,THE POWER KITCHEN LTD.,,LS6 4BR,Not Available
54.46189,-1.18131,MONDE NISSIN (UK) LIMITED,,TS9 7AB,Not Available
53.80909,-1.43933,THE YORKSHIRE CHEF LIMITED,,LS15 8HX,Not Available
54.12684,-0.818,PRO-PAK FOODS LIMITED,www.pro-pakfoods.co.uk,YO17 6YA,Full accounts
53.69192,-1.62679,THE PULSE FOOD CO LIMITED,,WF12 8DJ,Not Available
