latitude,longitude,name,url,postcode,Registered_accounts_type
53.73364,-0.35607,BHJ UK SEAFOOD LIMITED,www.bhjfood.co.uk,HU3 2BP,Full accounts
53.64011,-1.77847,FORTHGLADE FOODS LIMITED,www.forthglade.com,HD1 3BD,Full accounts
53.679401,-1.500734,TRUFFELICIOUS LTD.,,WF1 5PF,Not Available
53.86729,-0.67532,MARRIAGES SPECIALIST FOODS LIMITED,www.marriages.co.uk,YO43 3GL,Full accounts
54.17318,-1.36164,IPN MIDCO 2 LIMITED,,YO7 3HE,Small company
53.60472,-0.18211,SKIPPER'S PET PRODUCTS LIMITED,,DN41 8TH,Total Exemption Small
53.9674,-1.09043,TOP COLLAR LTD,,YO30 6HZ,Total Exemption Small
53.72861,-1.58194,PET DELICIOUS LIMITED,,WF3 1LW,Not Available
54.17325,-1.48159,THE INNOCENT PET CARE COMPANY LTD,www.innocentpetcare.co.uk,HG4 5NJ,Total Exemption Small
54.23843,-0.7593,BURGESS GROUP PLC,www.burgessgroup.co.uk,YO18 7YB,Group
53.78405,-1.79327,HEALTHY OPTION PET FOOD LIMITED,www.healthyoptionpetfood.com,BD7 2NL,Total Exemption Small
53.68593,-1.8641,PURE PET FOOD LTD,www.purepetfood.co.uk,HX4 8LZ,Total Exemption Full
53.99942,-0.45912,C&D FOODS (DRIFFIELD) UNLIMITED,www.pascoes.co.uk,YO25 9GG,Full accounts
53.77776,-1.2326,DNA BAITS LTD,,LS25 5BX,Total Exemption Small
53.77134,-1.24578,DNA BAITS LTD,,LS25 5DR,Total Exemption Small
54.17318,-1.36164,INSPIRED PET NUTRITION LIMITED,www.waggfoods.co.uk,YO7 3HE,Full accounts
53.61767,-0.94939,WORLD FEEDS LIMITED,www.worldfeeds.uk,DN8 5JS,Total Exemption Small
53.74193,-0.73121,JOHNSTON AND JEFF LIMITED,www.johnstonandjeff.co.uk,HU15 2TB,Full accounts
53.94571,-2.01691,HOLLINGS LIMITED,www.hollings.uk.com,BD23 2QR,Full accounts
53.68105,-1.06414,BURGESS GROUP PLC,www.burgessgroup.co.uk,DN14 0AT,Group
54.54804,-1.33424,T. FORREST & SONS LIMITED,www.pet-snacks.co.uk,TS18 3RU,Total Exemption Small
54.17318,-1.36164,IPN TOPCO LIMITED,,YO7 3HE,Group
53.77214,-1.87459,PURE PET FOOD LTD,www.purepetfood.co.uk,HX2 9XD,Total Exemption Full
54.09853,-1.26818,AYURA FEED LIMITED,,YO61 1SR,Total Exemption Small
53.99998,-0.46238,C&D FOODS (DRIFFIELD) UNLIMITED,www.pascoes.co.uk,YO25 9DJ,Full accounts
53.77491,-0.65236,SCAMPNEYS LIMITED,www.scampneysdoggrooming.co.uk,HU15 2NR,Total Exemption Small
53.78879,-1.23045,M J FEED & FOOD LIMITED,,LS25 6ES,Total Exemption Small
54.17318,-1.36164,THE REAL PETFOOD COMPANY LIMITED,www.realpetco.com,YO7 3HE,Small company
54.17318,-1.36164,IPN MIDCO 1 LIMITED,,YO7 3HE,Small company
53.57553,-0.05217,TOWER PET PRODUCTS UK LIMITED,,DN31 3SX,Total Exemption Small
54.17318,-1.36164,IPN BIDCO LIMITED,,YO7 3HE,Small company
53.60655,-0.18016,SKIPPER'S PET PRODUCTS LIMITED,,DN41 8FD,Total Exemption Small
