latitude,longitude,name,url,postcode,Registered_accounts_type
54.17418,-1.48073,NIBNIBS LTD,www.nibnibs.com,HG4 5NB,Micro-entity accounts
53.80891,-1.76884,REFRESHMENT CENTRE LTD,,BD9 4PU,Total Exemption Small
54.6091,-1.26481,UNITED BISCUITS (UK) LIMITED,www.unitedbiscuits.com,TS23 4DU,Full accounts
54.28546,-0.39032,THE TRAVELLING CUPCAKE COMPANY LTD,www.thetravellingcupcakecompany.co.uk,YO11 1QY,Total Exemption Small
54.57087,-1.25099,GRECO BROTHERS LIMITED,www.grecobrothers.co.uk,TS1 5QS,Total Exemption Small
53.79682,-1.4265,NORTHERN FOODS GROCERY GROUP LIMITED,www.northernfoods.com,LS15 8ZB,Full accounts
53.67604,-1.49806,NORTHERN FOODS GROCERY GROUP LIMITED,www.northernfoods.com,WF2 8EE,Full accounts
53.7955,-1.76237,FRESCO CAKES LTD,,BD1 2HA,Total Exemption Small
53.83938,-1.61076,RAKUSEN'S LIMITED,www.rakusens.co.uk,LS16 6QN,Total Exemption Small
53.70986,-1.52151,NORTHERN FOODS GROCERY GROUP LIMITED,www.northernfoods.com,WF2 0XG,Full accounts
54.17325,-1.48159,NIBNIBS LTD,www.nibnibs.com,HG4 5NJ,Micro-entity accounts
53.79833,-1.76548,FRESCO CAKES LTD,,BD8 8ET,Total Exemption Small
53.79574,-1.76152,WEST END BAKERY LIMITED,,BD1 2PN,Total Exemption Small
53.712,-1.63324,NORTHERN FOODS GROCERY GROUP LIMITED,www.northernfoods.com,WF17 5JE,Full accounts
53.8115,-1.79953,VANNESSAS CAKES (UK) LIMITED,,BD9 5LT,Total Exemption Small
53.86121,-1.526,CAKE POP HEAVEN LIMITED,,LS17 8FB,Total Exemption Small
53.6771,-1.66486,REFRESHMENT CENTRE LTD,,WF13 3LU,Total Exemption Small
53.73178,-0.37544,UNITED BISCUITS (UK) LIMITED,www.unitedbiscuits.com,HU3 4XT,Full accounts
54.58166,-1.18319,BAKETIME LIMITED,www.baketime.co.uk,TS6 6BA,Full accounts
53.80875,-1.77128,HAND MADE CAKE FACTORY LTD,,BD9 4QB,Not Available
54.58166,-1.18319,BRITANNIA BISCUITS COMPANY (INTERNATIONAL) LIMITED,www.biscuits.eu.com,TS6 6BA,Total Exemption Small
54.35109,-1.43812,SWEET MOMENTS LIMITED,www.sweetmomentsltd.com,DL6 2NG,Total Exemption Small
53.80123,-1.77047,REGAL INT LTD,,BD8 8EA,Not Available
53.87536,-1.15861,CAKEY LIMITED,,YO23 7EB,Not Available
53.79713,-1.54684,GINGER ACQUISITION COMPANY LIMITED,,LS1 5AB,Not Available
54.62963,-1.33221,BRITANNIA BISCUITS COMPANY (INTERNATIONAL) LIMITED,www.biscuits.eu.com,TS22 5QN,Total Exemption Small
