latitude,longitude,name,url,postcode,subactivity
54.23295,-1.34061,ALLANSON LIMITED,,YO7 1DA,Buffaloes
54.43691,-1.70165,D.H. WILLIS & SONS LIMITED,,DL10 5LN,Buffaloes
53.58952,-1.79632,TURNER FARMS LIMITED,,HD9 6RL,Buffaloes
54.13579,-1.10571,FARMHOUSE DIRECT LIMITED,,YO61 4RT,Buffaloes
53.82616,-1.87952,T. JOWETT & SONS (FARMERS) LIMITED,,BD15 0BN,Buffaloes
54.24504,-0.77474,R R MACKLEY LIMITED,,YO18 7AW,Buffaloes
54.15119,-1.64962,VERITY LIMITED,,HG4 3NX,Buffaloes
54.07289,-1.75788,HESSELDEN BROS. LIMITED,,HG3 5JA,Buffaloes
53.43167,-1.02189,TW + PT MOSS LTD.,,DN10 6TF,Buffaloes
53.69559,-1.97331,SALERS CATTLE SOCIETY OF THE UK LIMITED,,HX6 3EZ,Buffaloes
53.52589,-0.82191,MARTIN FLETCHER (LIVESTOCK) LTD,,DN9 1EP,Buffaloes
53.99151,-0.56598,WOLD BEEF SOLUTIONS LIMITED,,YO25 9JZ,Buffaloes
53.91415,-0.9601,R.M. BRABBS LIMITED,,YO41 4AZ,Buffaloes
53.84117,-0.4319,EASTFIELD FARM RESIDENTIAL HOME LIMITED,,HU17 8EU,Buffaloes
54.08414,-1.15708,C R & C L DONALDSON LTD,,YO61 1JA,Buffaloes
53.63401,-1.88169,H. GARSIDE & SON (FARMERS) LIMITED,,HD7 5UT,Buffaloes
53.70516,-1.82085,ASHDAY HALL FARM LIMITED,,HX3 9TR,Buffaloes
53.88745,-1.25583,B.BUCKINGHAM AND SONS LIMITED,,LS24 8AF,Buffaloes
54.08376,-0.193,MANOR FARM BEEF LIMITED,,YO15 2AE,Buffaloes
54.4247,-1.46843,HOWIE PROPERTY LTD,,DL6 2HA,Buffaloes
53.65755,-1.85771,WHITAKERS TURF SUPPLIES LIMITED,,HD3 3TG,Buffaloes
53.92982,-0.77991,J & J FARM SERVICES LTD,,YO42 2QR,Buffaloes
53.98576,-1.69701,WYDRA FARMERS LIMITED,,HG3 1SY,Buffaloes
54.11479,-1.1812,GRANTS PRO-AGRI LIMITED,,YO61 3ET,Buffaloes
53.86865,-0.95062,PINFOLD FARM FRESH MEATS LIMITED,,YO19 6DA,Buffaloes
53.83491,-1.79507,SEVENACRES LIVESTOCK LIMITED,,BD18 4JH,Buffaloes
53.74186,-1.59774,M G KLIMA & SON LIMITED,,LS27 9AL,Buffaloes
53.89852,-1.04288,PRIMROSE HILL WAGYU LTD,,YO19 6HQ,Buffaloes
54.38378,-1.43161,D.L. & P.R. PREST LIMITED,,DL6 2SP,Buffaloes
53.76479,-0.04587,MALTAS FARMS (SCOTLAND) LIMITED,,HU12 0JB,Buffaloes
53.87427,-1.66446,HIGHLAND CATTLE U.K. LIMITED,,LS19 7ZA,Buffaloes
54.11197,-1.51761,ABEL FARMS LTD,,HG4 3LU,Buffaloes
54.23256,-1.34374,D L LEEMING LIMITED,,YO7 1HD,Buffaloes
54.23256,-1.34374,LEEMING LIVESTOCK LIMITED,,YO7 1HD,Buffaloes
54.23462,-0.38894,AGRIAGO LTD,,YO11 3SH,Buffaloes
54.0796,-1.63844,K SIMPSON & SONS LIMITED,,HG3 3LF,Buffaloes
53.57981,-1.18095,QUAINTON DAIRY LIMITED,,DN6 8DD,Buffaloes
54.23256,-1.34374,HUNTON FARMS LIMITED,,YO7 1HD,Buffaloes
54.24512,-1.05998,THOMPSONS OF HELMSLEY LIMITED,,YO62 5DX,Buffaloes
53.56003,-1.72279,J.G. PEARS LIMITED,,HD8 8YD,Buffaloes
54.22549,-1.60152,WEBSTERS (FARMERS) LIMITED,,DL8 2QL,Buffaloes
54.00362,-0.43721,MILLINGTON LIMOUSINS LIMITED,,YO25 6PS,Buffaloes
53.96054,-1.08627,HATTCHAR AGRI LIMITED,,YO1 7DN,Buffaloes
54.28152,-0.40536,RYTON BEEF LIMITED,,YO11 1JU,Buffaloes
53.7696,-0.87406,ANGUS BEEF COMPANY LIMITED,,DN14 7LA,Buffaloes
