latitude,longitude,name,url,postcode,subactivity
54.25119,-0.90416,J & E M GILL & SON LIMITED,,YO62 6NY,Dairy cattle
53.5598,-1.73241,C RHODES FARM LIMITED,,HD8 8YE,Dairy cattle
53.66325,-1.84689,LEWIS J. RILEY LIMITED,,HD3 3TQ,Dairy cattle
53.90317,-1.70643,J.S.MORTON & SONS LIMITED,,LS21 3JP,Dairy cattle
54.48138,-0.73711,G T NICHOLSON & SON LIMITED,,YO21 3SF,Dairy cattle
53.99138,-1.53981,SPLENDIDSUCCESS LIMITED,,HG1 1LX,Dairy cattle
54.34589,-1.44753,BARTON ROSE HOLSTEINS,,DL6 2XQ,Dairy cattle
53.86656,-0.34143,HN SINKLER & SON LIMITED,,HU17 9SR,Dairy cattle
53.713,-1.73698,WINDY BANK DAIRY FARM LIMITED,,WF15 8EZ,Dairy cattle
54.07599,-1.99937,TOWN HEAD FARM PRODUCTS LIMITED,,BD23 5BL,Dairy cattle
54.17756,-1.65824,R N VERITY LIMITED,,HG4 3DP,Dairy cattle
53.83316,-1.68035,GAWTHORP BROS. LIMITED,,LS28 5QN,Dairy cattle
54.14305,-1.10399,WATSONS OF BRANDSBY LIMITED,,YO61 4RP,Dairy cattle
53.6367,-1.83504,ALDRIDGE FARMS LTD,,HD4 5TA,Dairy cattle
54.46628,-0.79212,J.H. HUTCHINSON & SON LIMITED,,YO21 2AA,Dairy cattle
53.95285,-1.18131,CHAMPION LIVESTOCK LIMITED,,YO23 3QA,Dairy cattle
53.61923,-1.06216,LEWIS J. RILEY LIMITED,,DN7 5TB,Dairy cattle
53.60005,-1.19818,NATURAWL MILK LIMITED,,DN6 9JT,Dairy cattle
54.08189,-1.60056,MILES BAUL & SONS LIMITED,,HG3 3JZ,Dairy cattle
53.57502,-1.74412,M.P. & J. FIRTH LIMITED,,HD9 7DG,Dairy cattle
53.43167,-1.02189,HARDWICK HALL FARM LTD,,DN10 6TF,Dairy cattle
54.00413,-0.43998,H.W. COLLEY & SON LIMITED,,YO25 6RA,Dairy cattle
54.1704,-1.68295,N W & M VASEY & SON LTD,,HG4 3QG,Dairy cattle
53.55769,-1.67494,DELPH HOUSE FARM LIMITED,,HD8 8XY,Dairy cattle
54.32851,-0.66626,W. HODGSON & PARTNERS LIMITED,,YO18 7NR,Dairy cattle
53.56731,-1.63099,NETHER END FARMS (DENBY DALE) LIMITED,,HD8 8YL,Dairy cattle
53.65755,-1.85771,LEWIS J. RILEY LIMITED,,HD3 3TG,Dairy cattle
54.17773,-1.62498,E.P. & J ROBERTSHAW LIMITED,,HG4 3DS,Dairy cattle
53.57003,-1.76422,MONARCH FARMS LIMITED,,HD9 1UW,Dairy cattle
54.26878,-0.43253,STEPNEY HILL FARM LIMITED,,YO12 5NL,Dairy cattle
53.6678,-1.97578,BEESTON HALL FARMS LIMITED,,HX6 4LW,Dairy cattle
54.39685,-1.46824,LEGGOTT FARMING LIMITED,,DL7 0NR,Dairy cattle
54.0683,-1.61602,A SOWRAY & SONS LIMITED,,HG3 3JX,Dairy cattle
53.5876,-1.66064,WILSON ARMITAGE & SONS LIMITED,,HD8 9AW,Dairy cattle
54.4843,-0.6191,A.P. HODGSON FARM LTD,,YO21 1QL,Dairy cattle
53.608,-1.67528,WOOLROW FARM LIMITED,,HD8 8LR,Dairy cattle
54.28964,-1.59281,BAILEY FARMS LIMITED,,DL8 1AQ,Dairy cattle
54.27901,-0.40799,OVERDALE FARMS LIMITED,,YO11 1TS,Dairy cattle
53.64548,-1.78505,DONALD RANGELEY LIMITED,,HD1 2EX,Dairy cattle
53.98823,-1.09846,R.G. CHURCH LIMITED,,YO30 4XF,Dairy cattle
54.10829,-1.57203,JENNINGS FARMERS LIMITED,,HG4 3AP,Dairy cattle
53.60666,-1.61857,D W BROOK & SON LTD,,HD8 9QT,Dairy cattle
53.95285,-1.18131,E.W.S. TRANSPORT LIMITED,,YO23 3QA,Dairy cattle
54.42371,-1.09153,DP & FM DAY & SON LTD,,TS9 6RQ,Dairy cattle
53.66748,-1.90988,P & R ROBINSON LIMITED,,HX4 0ET,Dairy cattle
53.79643,-0.21994,J & R MORLEY LIMITED,,HU11 4LL,Dairy cattle
54.34589,-1.44753,WHIN HILL FARMING,,DL6 2XQ,Dairy cattle
53.83903,-1.34196,GOLDEN FOODS SIAM EUROPE LTD,,LS25 3AW,Dairy cattle
53.608,-1.67528,C & M HALL LIMITED,,HD8 8LR,Dairy cattle
53.81049,-0.45015,G.WOODMANSEY & SON LIMITED,,HU17 8PP,Dairy cattle
53.68892,-1.84337,J.S.MORTON & SONS LIMITED,,HX5 0SL,Dairy cattle
53.93524,-1.4648,J. & E. MEDCALF LIMITED,,LS22 4DD,Dairy cattle
54.0213,-1.57094,J.G. BELLERBY (FARMS) LIMITED,,HG3 2BD,Dairy cattle
53.66686,-1.61268,EVOLUTION FARMING LIMITED,,WF12 0QL,Dairy cattle
53.6767,-1.86316,J. & E. MEDCALF LIMITED,,HX4 9BH,Dairy cattle
53.72084,-1.86594,ALDRIDGE FARMS LTD,,HX1 2SH,Dairy cattle
54.34589,-1.44753,MIRESDALE DAIRY LIMITED,,DL6 2XQ,Dairy cattle
54.20023,-1.20689,A E BANKS AND SON LIMITED,,YO61 4AF,Dairy cattle
54.56727,-1.23961,J.F. GREAVES & SONS (FARMERS) LIMITED,,TS1 3QX,Dairy cattle
54.03956,-0.3377,ST QUINTIN'S CREAMERY LTD,,YO25 4QZ,Dairy cattle
