latitude,longitude,name,url,postcode,subactivity
53.68055,-0.32293,NICK BRADLEY BLOODSTOCK LIMITED,,DN19 7NN,Horses
53.85279,-1.76718,BATLEY HALL FARM RIDING CENTRE LIMITED,,BD17 5EJ,Horses
54.14048,-0.76785,NORTON GROVE STUD LIMITED,,YO17 8EF,Horses
53.53064,-0.86435,BEADLE BLOODSTOCK LIMITED,,DN9 1DZ,Horses
54.18971,-1.50696,ROBIN ELLERBECK (BLOODSTOCK) LIMITED,,HG4 5ER,Horses
53.85405,-1.63639,GMTMA LIMITED,,LS18 5HH,Horses
53.72418,-1.86435,WINNING POST CONSULTANCY LIMITED,,HX1 5SP,Horses
53.72135,-1.93369,ESS JAY ARABIANS LIMITED,,HX2 6BZ,Horses
54.56055,-1.31899,SHAEGER LIMITED,,TS18 3EA,Horses
54.24265,-0.76811,MINIATURE MEDITERRANEAN DONKEY ASSOCIATION,,YO18 7EU,Horses
54.27725,-0.4097,RJ & R MARLEY LIMITED,,YO11 1UB,Horses
53.77037,-1.49796,ACE BLOODSTOCK LIMITED,,LS10 1RT,Horses
54.3569,-1.63745,MONIVEA BLOODSTOCK LIMITED,,DL10 7QE,Horses
53.74033,-1.8199,LAURA BRENNAN EQUESTRIAN CENTRE LTD,,HX3 7TL,Horses
54.03844,-0.24043,JAMES H. TENNANT LIMITED,,YO15 3QT,Horses
54.12211,-0.7919,CAMACHO RACING LIMITED,,YO17 9DU,Horses
53.83192,-1.78263,WESTWYNS RIDING SCHOOL LIMITED,,BD18 3DZ,Horses
54.28435,-1.63656,EMMA CHAPMAN TRAINING LTD,,DL8 1RR,Horses
53.86328,-0.4822,ANNE BEDFORD LIMITED,,HU17 7RA,Horses
53.71905,-0.4239,SWANBRIDGE BLOODSTOCK LIMITED,,HU13 0DZ,Horses
54.52518,-1.56186,ASHGILL RACING LIMITED,,DL3 7SD,Horses
53.5254,-0.82055,MDP 2000 LIMITED,,DN9 1ET,Horses
53.97709,-1.11058,DHI EVENT HORSES LTD,,YO30 5PA,Horses
54.27573,-1.85647,JEDD O'KEEFFE RACING LTD,,DL8 4TJ,Horses
53.85406,-1.50297,FALCON'S LINE LIMITED,,LS17 8AW,Horses
54.00362,-0.43721,NAFFERTON PARK FARM LTD,,YO25 6PS,Horses
54.33098,-0.47418,FOULSYKE STABLES LTD,,YO13 0DN,Horses
53.8931,-0.28275,LES EYRE RACING LIMITED,,HU17 5PJ,Horses
54.64968,-1.19122,HANCHELLE LIMITED,,TS25 1DE,Horses
53.9359,-0.77487,CSB BREEDING LIMITED,,YO42 2JD,Horses
54.11989,-1.59709,MELL123 LIMITED,,HG4 3BE,Horses
54.0787,-0.78969,BATTLEFIELD STUD LIMITED,,YO17 9LB,Horses
53.7423,-1.64359,LET'S GET RACING LIMITED,,WF17 9TD,Horses
54.12418,-0.79884,CAMACHO RACING LIMITED,,YO17 9QE,Horses
53.52254,-1.13014,RIGHT HORSE 4U LIMITED,,DN1 3NA,Horses
53.86328,-0.4822,MARINAS WHITAKER (SPORT HORSES) LIMITED,,HU17 7RA,Horses
53.78342,-1.57517,BRANTON COURT STABLES LIMITED,,LS12 6LT,Horses
53.75273,-1.59928,BRITISH APPALOOSA SOCIETY,,LS27 8LT,Horses
53.79135,-1.82625,WHITE ROSE EQUESTRIAN LIMITED,,BD13 3BD,Horses
53.65732,-1.96486,LONG GATE EQUESTRIAN LTD,,HX6 4SD,Horses
53.76232,-0.70928,MENDELITA LTD,,HU15 2PX,Horses
54.4867,-1.37503,KILLASHEE HOUSE LIMITED,,TS15 9PG,Horses
53.99038,-1.558,LANGROVE BLOODSTOCK LIMITED,,HG1 2NB,Horses
53.69017,-1.31333,AQUILA SPORTHORSES LIMITED,,WF8 1LY,Horses
54.33409,-1.56446,GILL RICHARDSON BLOODSTOCK LIMITED,,DL7 0TS,Horses
54.23651,-1.26037,PINNACLE BLOODSTOCK LIMITED,,YO7 2PS,Horses
54.21677,-1.29263,CRAIG ELENOR EQUESTRIAN LTD,,YO7 2PH,Horses
54.00322,-0.95119,BRADLEY KELLY BLOODSTOCK LIMITED,,YO41 1JX,Horses
54.42482,-1.27024,BSH RACING LIMITED,,DL6 3HA,Horses
53.7519,-0.79199,HEATHER BENNETT EQUESTRIAN LIMITED,,DN14 7BF,Horses
53.84555,-1.73131,NORTH STREET STABLING LIMITED,,BD10 0RP,Horses
54.5491,-1.56901,RITCHIE-BLAND ESTATES LTD,,DL3 0UP,Horses
54.21677,-1.29263,SARA PARROTT EQUESTRIAN LTD,,YO7 2PH,Horses
54.33181,-1.34036,OXBANK FARM LIMITED,,DL6 3TA,Horses
