latitude,longitude,name,url,postcode,subactivity
54.00322,-0.95119,HELMSLEY HORSE RACING LTD.,,YO41 1JX,Other animals
53.54397,-1.03379,ARMTHORPE FALCONRY LIMITED,,DN3 3EA,Other animals
54.24425,-1.38336,WHIZOO LIMITED,,YO7 4DD,Other animals
53.75482,-0.67182,WALLINGFEN GAME FARM LIMITED,,HU15 1RD,Other animals
54.02918,-0.82538,J HAGAR LIMITED,,YO17 9RW,Other animals
54.25231,-0.47961,UK VENISON & DEER FARMING LTD,,YO13 9EW,Other animals
54.0622,-0.97286,MARCON GAMESTOCK LIMITED,,YO60 7PZ,Other animals
53.87119,-1.44363,HERITAGE BLOODSTOCK LIMITED,,LS14 3AR,Other animals
53.49341,-0.62492,NJA FARMS LIMITED,,DN21 3HZ,Other animals
53.64873,-1.37933,LONGLEY LABRADORS LTD,,WF4 1QX,Other animals
53.94237,-0.72448,WARRENDALE FARMS LIMITED,,YO42 1XG,Other animals
53.69717,-1.68906,F.R. NAYLOR (NORRISTHORPE) LIMITED,,WF15 7AJ,Other animals
53.79791,-0.05905,B & K UNIVERSAL LIMITED,,HU11 4QE,Other animals
53.75944,-1.44674,YORKSHIRE GAME FARM,,LS26 8PN,Other animals
54.40168,-0.543,THOMAS FAWCETT & SON (TIMBER) LIMITED,,YO22 4UL,Other animals
53.75389,-0.36262,HULL BEES LTD.,,HU5 3RL,Other animals
53.75984,-0.67793,WALLINGFEN GAME FARM LIMITED,,HU15 1RF,Other animals
53.74839,-1.47972,PEDIGREE FALCONS LIMITED,,LS26 0QD,Other animals
53.74551,-0.33786,DYNAMIC GILLS LIMITED,,HU1 3AJ,Other animals
53.99287,-1.55494,ARCADIAN APIARIES LIMITED,,HG1 2PY,Other animals
54.44703,-1.1581,BLUE FALCON - MARK ROBB LTD,,TS9 7HF,Other animals
53.89327,-0.32831,AMANDALE LIMITED,,HU17 5LR,Other animals
53.85912,-0.28933,RICHCOTT REARING LIMITED,,HU11 5HP,Other animals
53.61648,-1.26416,HUMPHRYS KENNELS LTD,,WF9 1EU,Other animals
54.68698,-1.20508,DROMONBY BRIDGE FARM LIMITED,,TS24 7DN,Other animals
54.07153,-1.19486,FLEETBANK FARMS LIMITED,,YO61 1RA,Other animals
53.753316,-1.392863,YORKSHIRE GAME FARM,,LS26 8AN,Other animals
53.96562,-1.05274,WOODSIDE LOFTS LIMITED,,YO31 0QS,Other animals
53.98863,-1.61661,D & A LIVESTOCK LIMITED,,HG3 1SQ,Other animals
53.78269,-0.40497,WIGGLZ LIMITED,,HU16 4LZ,Other animals
53.99031,-1.1007,URBAN CONSTRICTORS LTD,,YO30 4AG,Other animals
53.92329,-0.61288,HORSEWOLD FARMS LIMITED,,YO25 9DD,Other animals
53.72448,-1.65274,DJ PYTHONS LTD,,WF17 8JN,Other animals
54.0592,-0.73235,MENETHORPE GOLDENDOODLES LTD,,YO17 9ST,Other animals
53.93365,-1.37794,BLACKBOY FARMS LIMITED,,LS22 7RD,Other animals
53.5219,-1.13258,BELTON FALCONRY LIMITED,,DN1 3LW,Other animals
53.53542,-0.04471,LINCOLNSHIRE WILD VENISON LIMITED,,DN36 4AS,Other animals
53.57516,-0.07228,OLD GRANGE PUPPIES LIMITED,,DN31 3ER,Other animals
53.4766,-0.17046,PINGLEY LIVERY LIMITED,,DN37 0SW,Other animals
53.96467,-1.0768,HOLIDAYS 4 DOGS LTD,,YO31 7QZ,Other animals
53.78066,-2.00813,GRAIN FARM LIMITED,,HX7 8RG,Other animals
