latitude,longitude,name,url,postcode,subactivity
54.11066,-1.15058,CR & J PIERCY LTD,,YO61 1LT,Pigs
53.78386,-1.08742,CROSSHILLS PIGS LIMITED,,YO8 4RU,Pigs
54.04958,-0.78245,PORKWELL LIMITED,,YO17 9LW,Pigs
54.36612,-1.39491,HALLIKELD LIMITED,,DL6 2UF,Pigs
53.79522,-0.79977,JOHN OLIVER (MOORS FARM) LIMITED,,DN14 7NB,Pigs
53.90949,-0.85194,WOODLAND PIGS LIMITED,,YO42 4RU,Pigs
53.57025,-0.9726,RHUBARB AND MUSTARD NURSERY LTD,,DN7 6NX,Pigs
54.46535,-1.69768,T.J FARMS LIMITED,,DL10 5PR,Pigs
53.70666,0.03354,C. DRESCHER LIMITED,,HU19 2RS,Pigs
53.64958,-1.05228,T J GREENWOOD LIMITED,,DN14 9BJ,Pigs
54.19535,-0.45693,WILLERBY WOLD PIGGERIES LIMITED,,YO12 4SN,Pigs
54.02248,-0.44516,YORKWOLD PIGPRO LIMITED,,YO25 5UY,Pigs
54.46046,-1.70462,T.J FARMS LIMITED,,DL10 5NY,Pigs
53.7186,-0.01837,I. M. HODGSON & SON (PIG ENTERPRISES) LIMITED,,HU12 0NR,Pigs
54.11984,-0.36035,HAIRSINE PIGS LIMITED,,YO25 3DP,Pigs
54.4857,-1.83618,G. & M. WESTGARTH LIMITED,,DL11 7RA,Pigs
54.10333,-1.358,J.C. LISTER FARMS LIMITED,,YO51 9HJ,Pigs
53.78494,-0.18412,GRANGE PIGS LIMITED,,HU11 4PT,Pigs
54.08486,-0.20088,J G EVISON LIMITED,,YO16 4LZ,Pigs
53.9227,-0.5241,SNOWDEN FARM SERVICES LIMITED,,YO25 9TF,Pigs
53.98352,-1.24781,WHITE SYKE FARM LTD,,YO26 8JN,Pigs
53.97576,-0.49257,PORKWELL LIMITED,,YO25 9ED,Pigs
53.63117,-1.52727,WILLOW FARM PRODUCERS LIMITED,,WF4 3NG,Pigs
54.11185,-1.35833,SOWRAY LIVESTOCK LIMITED,,YO61 2RX,Pigs
53.89654,-0.81174,TA & PJ STEPHENSON LIMITED,,YO42 4JS,Pigs
53.77615,-0.33642,WOLD FARMS LIMITED,,HU7 0YW,Pigs
54.08376,-0.193,A & L BOYNTON LIMITED,,YO15 2AE,Pigs
54.46248,-1.75771,MIDDLE CAVES LTD,,DL10 5LB,Pigs
53.68912,-0.79336,MIDLAND PIG PRODUCERS LIMITED,,DN14 8HF,Pigs
53.46397,-0.60983,LARKRISE FARM ENTERPRISES LIMITED,,DN21 4EN,Pigs
53.94123,-0.46273,PRIOR'S PRODUCE LIMITED,,YO25 9AP,Pigs
54.22465,-1.11419,COURT HOUSE FARMS LIMITED,,YO62 5EJ,Pigs
53.99551,-0.20899,C N WARKUP & SONS (PIGS) LIMITED,,YO25 8TU,Pigs
53.87494,-1.90043,ROUGHAM FARM LIMITED,,BD21 3ND,Pigs
53.61299,-0.42847,ELSHAM LINC LIMITED,www.rj&aegodfrey,DN20 0NU,Pigs
53.83988,-0.40088,PURE PIG GENETICS LIMITED,,HU17 0LF,Pigs
54.05548,-0.4112,POCKMOR LIMITED,,YO25 4SX,Pigs
53.76259,-0.1861,SOUTHFIELD PIGS LIMITED,,HU12 8SJ,Pigs
54.5024,-1.21714,STEADYAWAY PIGS LIMITED,,TS8 0AD,Pigs
53.78494,-0.18412,BEADLE PRICE LIVESTOCK LIMITED,,HU11 4PT,Pigs
54.11433,-1.38309,J.C. LISTER FARMS LIMITED,,YO51 9DU,Pigs
53.96107,-1.00689,ELITE SIRES (GB) LIMITED,,YO19 5UF,Pigs
53.79902,-0.16494,KNAPTON FARMS LIMITED,,HU11 4ND,Pigs
53.72256,-0.52707,CHAFER FARMS LTD,,HU14 3RS,Pigs
54.43069,-1.35923,DONALD PIG & POULTRY LTD,,DL6 2LU,Pigs
53.8021,-0.2534,FOXTON CONTRACTORS LIMITED,,HU11 4JX,Pigs
54.08625,-0.20052,CRESCENT GRANGE PIGS LIMITED,,YO16 4JB,Pigs
54.50198,-1.74654,F V PIGS LIMITED,,DL11 7SJ,Pigs
53.66782,0.03512,ABBEY GARTH PIGS LIMITED,,HU12 0SD,Pigs
54.02005,-0.39132,FRIDAYTHORPE PIG PRODUCERS LIMITED,,YO25 4JR,Pigs
53.71905,-0.4239,R G CALEY LIMITED,,HU13 0DZ,Pigs
54.21557,-1.60048,J S ALTON & SON LIMITED,,HG4 5JT,Pigs
54.13551,-0.79712,WOOD FARM (HATFIELD) LIMITED,,YO17 7HT,Pigs
