latitude,longitude,name,url,postcode,subactivity
53.74302,-0.80631,RP KERR & SON LIMITED,,DN14 7XH,Poultry
53.52856,-1.04274,CLARENCE COURT EGGS LIMITED,,DN3 3TU,Poultry
53.5714,-0.0622,OAKLAND FARMS LIMITED,,DN32 7RG,Poultry
54.29156,-1.58834,MUSTERFIELD POULTRY GROWERS LTD,,DL8 1AU,Poultry
53.73744,-0.01072,K. FRESH LTD,,HU19 2BZ,Poultry
53.64132,-1.03308,EGGS R US LTD,,DN14 9AN,Poultry
53.83288,-0.78005,LCS AGRICULTURE LIMITED,,YO43 4BH,Poultry
53.70932,-1.49308,COLLEY FOLD TURKEYS LIMITED,,WF1 3EB,Poultry
54.09168,-0.3976,BROACHDALE BIRDS LIMITED,,YO25 4EF,Poultry
53.94237,-0.72448,WOT-A-HEN LIMITED,,YO42 1XG,Poultry
53.91856,-1.20129,H BARKER & SON LIMITED,,YO23 3PQ,Poultry
54.19645,-1.43383,YORKSHIRE FARMHOUSE EGGS LIMITED,,YO7 4SQ,Poultry
54.29515,-1.76371,EASTFIELD GAME FARM LIMITED,,DL8 5PU,Poultry
53.75657,-0.21887,WESTDALE PARTNERS LIMITED,,HU12 8TL,Poultry
53.93839,-0.9054,C & K WOOD (U.K.) LIMITED,,YO41 4EB,Poultry
54.08414,-1.15708,FIR TREE FARM (YORKSHIRE) LIMITED,,YO61 1JA,Poultry
54.23655,-1.24638,NORTHFIELDS FARM LIMITED,,YO7 2QA,Poultry
54.00752,-0.37554,LITTLE HAMAR FARM COMPANY,,YO25 8HB,Poultry
54.41489,-1.62388,MILL POULTRY LIMITED,,DL10 6DA,Poultry
54.16191,-0.46873,WALK FARM EGGS LIMITED,,YO12 4PQ,Poultry
54.2407,-1.00404,LOOSE BIRDS (HAROME) LTD.,,YO62 5HZ,Poultry
53.74237,-0.33283,EAST RIDING CHICKENS LIMITED,,HU1 1RS,Poultry
53.85187,-0.82216,R.G.KENDALL & SONS LIMITED,,YO42 4NA,Poultry
53.88417,-0.42185,ARRAM GRANGE PIGS LIMITED,,HU17 7NR,Poultry
53.8527,-1.64332,WHITE ROSE EGGS LIMITED,,LS18 5SL,Poultry
54.04139,-0.37807,RUSTON EGGS LIMITED,,YO25 4DG,Poultry
54.1154,-0.39271,BOARCROSS LIMITED,,YO25 3DS,Poultry
54.1154,-0.39271,CROOKED DALE EGGS LIMITED,,YO25 3DS,Poultry
53.91779,-0.75533,MARTINDALE POULTRY CO. LTD,,YO42 1UL,Poultry
54.05366,-0.62554,LIGHTHOUSE COTTAGE QUALITY PRODUCE LTD,,YO25 3HD,Poultry
54.4366,-1.43785,GRANGE FARM EGGS LTD,,DL6 2HF,Poultry
54.03506,-1.459,WEBSTER FARMING (FARNHAM) LIMITED,,HG5 9NB,Poultry
54.3875,-1.56714,BARKER CHICKENS LIMITED,,DL10 6AZ,Poultry
54.31594,-1.49929,MORTON GRANGE LIMITED,,DL7 9RQ,Poultry
