latitude,longitude,name,url,postcode,subactivity
54.27883,-0.41062,BURDASS LAMB LTD,,YO12 5ED,Sheep/Goats
54.61553,-1.34805,OASIS RESOURCES LIMITED,,TS21 3JJ,Sheep/Goats
54.22329,-0.55448,A.H. MUDD AGRICULTURAL SERVICES LIMITED,,YO13 9DJ,Sheep/Goats
53.72976,-1.84904,HOLLY TREE FARM LIMITED,,HX3 6AS,Sheep/Goats
54.27725,-0.4097,A.G. PENNOCK LIMITED,,YO11 1UB,Sheep/Goats
53.88862,-1.86556,LEWIS ROBERTSHAW (UPWOOD) LIMITED,,BD20 5RB,Sheep/Goats
54.28306,-0.41885,ROSEDALE RESERVOIR FARM LTD,,YO12 7RT,Sheep/Goats
54.28346,-0.43189,SAINT DAVID PROPERTIES LIMITED,,YO12 6TB,Sheep/Goats
54.03983,-1.65534,BROWN BANK (FARMERS) LIMITED,,HG3 3EX,Sheep/Goats
53.7606,-1.21422,CATNAPS FARM LIMITED,www.catnaps'online.co.uk,LS25 5EJ,Sheep/Goats
53.54686,-1.84595,J M & V J HOWARD LIMITED,,HD9 2QF,Sheep/Goats
54.24504,-0.77474,D W MARLEY LIMITED,,YO18 7AW,Sheep/Goats
53.90387,-1.08852,NABURN MOOR LIMITED,,YO19 4PR,Sheep/Goats
54.27883,-0.41062,J C WATSON AND SON LIMITED,,YO12 5ED,Sheep/Goats
53.66486,-0.32124,BUTTERSWOOD FARM LIMITED,,DN19 7NA,Sheep/Goats
54.52756,-1.56138,PROUDLEY FARMS LTD,,DL3 7BJ,Sheep/Goats
53.75572,-1.95172,R J SCHOLEFIELD LTD,,HX2 7TR,Sheep/Goats
54.08486,-0.20088,COATES FARMING COMPANY LIMITED,,YO16 4LZ,Sheep/Goats
54.13215,-1.52526,DEARNEHEAD FARMS LIMITED,,HG4 1SN,Sheep/Goats
53.81994,-0.35561,KENLEY MANAGEMENT SERVICES LIMITED,,HU7 5XY,Sheep/Goats
54.13344,-1.09073,JELSYE LIMITED,,YO61 4RW,Sheep/Goats
54.41761,-1.99545,STUBBS FARMING LIMITED,,DL11 6EJ,Sheep/Goats
54.41772,-1.99348,STUBBS FARMING LIMITED,,DL11 6RE,Sheep/Goats
54.22289,-1.63607,C.H. GREENSIT LIMITED,,HG4 4DH,Sheep/Goats
54.36222,-1.0536,BRECK HOUSE ENTERPRISES LTD,,YO62 7JW,Sheep/Goats
53.96289,-0.22109,R.L.KIRKWOOD AND SON LIMITED,,YO25 8EE,Sheep/Goats
53.63103,-1.74713,ANTROBUS FARM LIMITED,,HD5 8XF,Sheep/Goats
53.8989,-1.1058,SALLY SLEIGHTHOLME LTD,,YO23 2UJ,Sheep/Goats
53.52359,-0.85943,LAPWING LAMB LIMITED,,DN9 1EA,Sheep/Goats
54.22223,-1.55573,W.A. ALMACK LIMITED,,DL8 2RJ,Sheep/Goats
53.823,-1.53699,SAINT DAVID PROPERTIES LIMITED,,LS7 3LJ,Sheep/Goats
54.31816,-1.94882,R.M.S. LIVESTOCK LIMITED,,DL8 4EY,Sheep/Goats
53.63194,-1.17707,SAINT DAVID PROPERTIES LIMITED,,DN6 9GB,Sheep/Goats
54.30292,-2.08808,K CALVERT LTD,,DL8 3ER,Sheep/Goats
54.41105,-1.79949,ATKINSON FARMS LIMITED,,DL10 4SD,Sheep/Goats
53.68337,-1.49366,G WILLIAM BALLARD LIMITED,,WF1 1SA,Sheep/Goats
